time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.8,,24,23.7,,0,,,52,1.9,50,1.8,29,7,,,,,,,,,,,
2013-9-1 00:00:00,23.8,,24,23.6,,0,,,63,2,42,1.8,18,6.4,,,,,,,,,,,
2013-8-31 23:00:00,23.8,,24.1,23.8,,0,,,57,1.1,48,1.2,15,4.5,,,,,,,,,,,
2013-8-31 22:00:00,24.1,,24.3,24,,0,,,63,2.3,60,2,29,6.9,,,,,,,,,,,
2013-8-31 21:00:00,24.3,,24.7,24.2,,0,,,113,1,42,3.2,38,8.4,,,,,,,,,,,
2013-8-31 20:00:00,24.7,,25.3,24.7,,0,,,63,3,61,2.1,60,6.9,,,,,,,,,,,
2013-8-31 19:00:00,25.3,,25.9,25.3,,0,,,46,0.9,56,1.8,23,7.3,,,,,,,,,,,
2013-8-31 18:00:00,25.9,,27.2,25.9,,0,,,113,2.3,48,3.1,49,7.5,,,,,,,,,,,
2013-8-31 17:00:00,27.2,,28.3,27.1,,0,,,49,2,47,2.1,63,6.8,,,,,,,,,,,
2013-8-31 16:00:00,28.4,,29.5,28.2,,0,,,46,3.8,43,3.6,46,7.1,,,,,,,,,,,
2013-8-31 15:00:00,28.8,,29.8,28.4,,0,,,322,2.1,16,2.3,32,6.7,,,,,,,,,,,
2013-8-31 14:00:00,29.1,,29.8,28.4,,0,,,66,3.8,48,2.9,29,6.4,,,,,,,,,,,
2013-8-31 13:00:00,28.8,,30.5,28.8,,0,,,4,2.5,335,2.5,40,6.6,,,,,,,,,,,
2013-8-31 12:00:00,29,,29.8,28,,0,,,341,2.8,349,2.3,26,5.3,,,,,,,,,,,
2013-8-31 11:00:00,28.3,,28.9,27.6,,0,,,38,1.9,357,1.9,29,8,,,,,,,,,,,
2013-8-31 10:00:00,27.9,,28.1,26.4,,0,,,358,0.9,55,2.5,18,6.7,,,,,,,,,,,
2013-8-31 9:00:00,26.6,,26.9,26,,0,,,12,2.2,33,1.9,7,4.9,,,,,,,,,,,
