time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.6,,23.7,23.2,,0,,,52,0,0,0,282,2.6,,,,,,,,,,,
2013-9-1 00:00:00,23.3,,23.6,23.2,,0,,,71,0.1,340,0.8,7,3.5,,,,,,,,,,,
2013-8-31 23:00:00,23.4,,23.5,23.1,,0,,,333,0.1,257,0.4,316,3.5,,,,,,,,,,,
2013-8-31 22:00:00,23.3,,24,23.3,,0,,,46,0.8,56,0.8,119,3.8,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.3,23.8,,0,,,164,0,307,0.3,133,2.9,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.9,24.3,,0,,,274,0,226,0.3,88,5.7,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.5,24.9,,0,,,66,0.1,12,0.3,341,3.9,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,27,25.5,,0,,,232,0.5,337,0.7,336,4.9,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,27.9,27.1,,0,,,218,1.1,266,1,302,3.1,,,,,,,,,,,
2013-8-31 16:00:00,27.5,,29.2,27.3,,0,,,52,0.5,22,1,43,4.4,,,,,,,,,,,
2013-8-31 15:00:00,28.8,,30.6,28.3,,0,,,282,0.7,310,0.8,350,4.4,,,,,,,,,,,
2013-8-31 14:00:00,30.1,,30.3,29.3,,0,,,125,0.4,76,0.7,293,4.4,,,,,,,,,,,
2013-8-31 13:00:00,30,,30.1,29.3,,0,,,23,1.6,28,0.9,353,3.3,,,,,,,,,,,
2013-8-31 12:00:00,29.3,,29.5,27.7,,0,,,358,0,28,0.6,167,2.6,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.9,27.1,,0,,,119,0,97,0.2,310,3.1,,,,,,,,,,,
2013-8-31 10:00:00,27.1,,28,26.1,,0,,,243,0,335,0.1,243,2.6,,,,,,,,,,,
2013-8-31 9:00:00,25.9,,25.9,24.5,,0,,,77,0.9,326,0.1,52,2.2,,,,,,,,,,,
2013-8-31 8:00:00,24.5,,24.5,23.6,,0,,,341,0,0,0,282,2,,,,,,,,,,,
2013-8-31 7:00:00,23.6,,23.8,23.6,,0,,,198,0,0,0,308,1.4,,,,,,,,,,,
2013-8-31 6:00:00,23.6,,24.5,23.6,,0,,,310,0,0,0,330,2.2,,,,,,,,,,,
2013-8-31 5:00:00,24.4,,24.6,24.4,,0,,,251,0,0,0,310,2.1,,,,,,,,,,,
2013-8-31 4:00:00,24.6,,25,24.5,,0,,,139,0,0,0,341,4.3,,,,,,,,,,,
2013-8-31 3:00:00,25,,25.2,24.9,,0,,,293,0.8,345,0.6,80,3.1,,,,,,,,,,,
2013-8-31 2:00:00,25.2,,25.3,25.1,,0,,,327,0,30,0.1,52,2.4,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.5,25.2,,0,,,57,0,0,0,344,2.7,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,25.9,25.3,,0,,,195,0,17,0.4,277,4.3,,,,,,,,,,,
2013-8-30 23:00:00,25.9,,26.2,25.9,,0,,,74,0.3,355,0.3,38,3.8,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.5,26.1,,0,,,26,0.1,27,0.5,288,4.1,,,,,,,,,,,
2013-8-30 21:00:00,26.5,,28,26.5,,0,,,285,0.2,248,0.6,330,5.9,,,,,,,,,,,
2013-8-30 20:00:00,27.4,,28,27.4,,0,,,102,0.8,358,0.7,15,4.9,,,,,,,,,,,
2013-8-30 19:00:00,28,,29,28,,0,,,263,0.8,326,0.8,94,4.8,,,,,,,,,,,
2013-8-30 18:00:00,29,,29.9,29,,0,,,18,0.5,316,0.4,38,5,,,,,,,,,,,
2013-8-30 17:00:00,29.9,,30.5,29.9,,0,,,268,0,274,0.3,164,3.6,,,,,,,,,,,
2013-8-30 16:00:00,30.5,,31.7,30.4,,0,,,285,1.1,217,0.9,32,4,,,,,,,,,,,
2013-8-30 15:00:00,31.6,,32.4,31.3,,0,,,218,0,164,0.2,35,2.8,,,,,,,,,,,
2013-8-30 14:00:00,31.7,,32.7,31.5,,0,,,128,0.2,350,0.7,99,3.3,,,,,,,,,,,
2013-8-30 13:00:00,32,,32.4,30.5,,0,,,350,2.2,342,0.9,21,2.9,,,,,,,,,,,
2013-8-30 12:00:00,31,,31.3,29.9,,0,,,263,0.1,270,0.5,133,5.5,,,,,,,,,,,
2013-8-30 11:00:00,30.4,,30.7,29.6,,0,,,229,0.8,145,0.3,43,5.1,,,,,,,,,,,
2013-8-30 10:00:00,30.5,,30.8,30,,0,,,322,0.9,330,0.6,77,3.5,,,,,,,,,,,
2013-8-30 9:00:00,30.2,,30.2,27.9,,0,,,85,0.6,337,0.5,85,4.3,,,,,,,,,,,
2013-8-30 8:00:00,27.9,,27.9,27,,0,,,288,0,348,0.3,68,3.1,,,,,,,,,,,
2013-8-30 7:00:00,27.1,,27.1,26.6,,0,,,212,0,0,0,9,2.1,,,,,,,,,,,
2013-8-30 6:00:00,27,,27.2,27,,0,,,133,0,0,0,71,1.3,,,,,,,,,,,
2013-8-30 5:00:00,27.2,,27.4,27.2,,0,,,215,0,0,0,344,2.3,,,,,,,,,,,
2013-8-30 4:00:00,27.2,,27.3,27.2,,0,,,23,0,0,0,274,0.1,,,,,,,,,,,
2013-8-30 3:00:00,27.3,,27.3,27,,0,,,277,0,271,0,277,0,,,,,,,,,,,
2013-8-30 2:00:00,27.3,,27.5,27.3,,0,,,133,0,133,0,133,0,,,,,,,,,,,
2013-8-30 1:00:00,27.5,,27.7,27.3,,0,,,26,0,36,0,26,0,,,,,,,,,,,
2013-8-30 00:00:00,27.8,,27.8,27.6,,0,,,229,0,0,0,229,0,,,,,,,,,,,
