time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.7,,23.7,23.3,,0,,,133,0.4,37,1.4,12,5,,,,,,,,,,,
2013-9-1 00:00:00,23.4,,23.7,23.4,,0,,,4,0.8,20,1.2,18,6.8,,,,,,,,,,,
2013-8-31 23:00:00,23.5,,23.9,23.5,,0,,,23,2,5,2,353,5.5,,,,,,,,,,,
2013-8-31 22:00:00,23.9,,24.1,23.7,,0,,,32,2.1,7,3.2,29,6.4,,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.4,23.9,,0,,,21,3.9,26,2.5,15,7.1,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,24.9,24.4,,0,,,60,0.8,27,1.3,26,6.1,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.4,25,,0,,,83,0.4,26,2.2,40,6.4,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.4,25.5,,0,,,29,5.5,31,2.1,15,6.9,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.3,26.3,,0,,,327,2.8,12,2.2,353,9,,,,,,,,,,,
2013-8-31 16:00:00,27.2,,28.5,27,,0,,,40,1.9,40,1.5,26,8.8,,,,,,,,,,,
2013-8-31 15:00:00,27.6,,28.3,27.1,,0,,,52,1.6,32,2.1,23,7.9,,,,,,,,,,,
2013-8-31 14:00:00,28.2,,29.4,27.7,,0,,,341,3.2,7,3.8,344,7.6,,,,,,,,,,,
2013-8-31 13:00:00,29,,29,27.2,,0,,,29,1.2,5,3.2,344,6.9,,,,,,,,,,,
2013-8-31 12:00:00,28.8,,28.8,27.6,,0,,,4,1.8,1,2.1,355,7,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.4,26.7,,0,,,322,1.8,357,3.1,9,6.4,,,,,,,,,,,
