time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.9,13.4,24,23.9,1005.1,0,52,52,77,3.8,69,4,77,9.8,,,,,,,,,,,
2013-9-1 00:00:00,24,13.8,24.1,24,1005,0,53,52,12,2.2,80,3.8,77,10.4,,,,,,,,,,,
2013-8-31 23:00:00,24.1,13.9,24.2,24.1,1004.7,0,53,51,119,2.3,92,4.4,77,10.5,,,,,,,,,,,
2013-8-31 22:00:00,24.2,14.1,24.5,24.2,1004.9,0,53,51,60,3.6,75,5.5,77,11.1,,,,,,,,,,,
2013-8-31 21:00:00,24.5,14.3,24.6,24.5,1004.9,0,53,52,77,2,78,2.2,119,9.6,,,,,,,,,,,
2013-8-31 20:00:00,24.6,14.2,25.1,24.6,1004.7,0,52,51,119,2.3,81,4.7,60,10.6,,,,,,,,,,,
2013-8-31 19:00:00,25.2,14.4,25.5,25.1,1004.4,0,51,48,77,5.2,70,5.4,77,11.5,,,,,,,,,,,
2013-8-31 18:00:00,25.6,14.3,26.3,25.6,1004.3,0,50,50,12,6.4,62,4.9,77,12,,,,,,,,,,,
2013-8-31 17:00:00,26.4,15.3,27.2,26.4,1003.8,0,50,41,102,5.7,83,7.4,77,10.7,,,,,,,,,,,
2013-8-31 16:00:00,27.1,13,27.9,27,1003.6,0,42,40,77,7.7,74,5.8,77,10.5,,,,,,,,,,,
2013-8-31 15:00:00,27.4,13.8,27.8,27.3,1003,0,43,43,60,7,66,7.9,77,12.1,,,,,,,,,,,
2013-8-31 14:00:00,27.4,15.2,27.9,27.2,1003.2,0,47,46,77,4.5,75,5,77,12.3,,,,,,,,,,,
2013-8-31 13:00:00,27.2,16.5,28.2,27.2,1003.2,0,52,43,77,5.2,95,4.8,77,10,,,,,,,,,,,
2013-8-31 12:00:00,27.5,15.6,27.6,27,1003.5,0,48,47,77,1.9,53,3.1,77,10.3,,,,,,,,,,,
2013-8-31 11:00:00,27,16,27.2,26.4,1003.6,0,51,50,12,2.2,77,3.9,77,9.7,,,,,,,,,,,
2013-8-31 10:00:00,26.7,18.3,26.7,25.5,1003.7,0,60,60,77,4.6,78,4.7,77,8.6,,,,,,,,,,,
2013-8-31 9:00:00,25.7,19,25.7,25,1003.6,0,66,66,102,2.2,72,2.1,60,6.7,,,,,,,,,,,
2013-8-31 8:00:00,24.9,19,25.1,24.8,1003.2,0,70,69,77,4.2,73,3.6,77,7.3,,,,,,,,,,,
2013-8-31 7:00:00,24.9,19.3,24.9,24.6,1002.8,0,71,71,119,3,75,3.5,77,6.9,,,,,,,,,,,
2013-8-31 6:00:00,24.8,19.2,24.8,24.7,1002.1,0,71,71,60,4.1,74,4.2,60,7.2,,,,,,,,,,,
2013-8-31 5:00:00,24.7,19.2,24.8,24.7,1001.6,0,71,71,60,2.9,79,2,77,8.9,,,,,,,,,,,
2013-8-31 4:00:00,24.8,19.1,24.9,24.8,1001.4,0,71,71,330,1.2,97,2.6,77,10.1,,,,,,,,,,,
2013-8-31 3:00:00,24.9,19.4,25.1,24.9,1001.1,0,72,71,77,4.7,58,3.7,77,11.2,,,,,,,,,,,
2013-8-31 2:00:00,25.2,19.6,25.4,25.2,1000.8,0,71,70,60,2.1,81,5.1,77,10.2,,,,,,,,,,,
2013-8-31 1:00:00,25.3,19.6,25.7,25.3,1000.4,0,71,69,60,3.1,37,4.9,77,13.5,,,,,,,,,,,
2013-8-31 00:00:00,25.7,19.5,26,25.7,1000.2,0,69,68,347,2.9,16,5.1,77,15.1,,,,,,,,,,,
