time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.4,,23.4,22.7,,0,,,198,0,0,0,299,2,,,,,,,,,,,
2013-9-1 00:00:00,23,,23.3,22.7,,0,,,347,0,0,0,302,2.8,,,,,,,,,,,
2013-8-31 23:00:00,22.7,,23.5,22.6,,0,,,195,0,0,0,254,3.2,,,,,,,,,,,
2013-8-31 22:00:00,23.3,,23.8,23.2,,0,,,288,0.1,135,0.2,313,2.6,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24,23.5,,0,,,251,0,294,0.1,302,3.3,,,,,,,,,,,
2013-8-31 20:00:00,24,,24.6,23.9,,0,,,142,0.1,283,0.3,299,2.6,,,,,,,,,,,
2013-8-31 19:00:00,24.6,,25.3,24.6,,0,,,237,0,0,0,63,5.8,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,26.3,25.2,,0,,,282,0.6,337,0.2,251,3.1,,,,,,,,,,,
2013-8-31 17:00:00,26.3,,28,26.3,,0,,,46,0,334,0.1,277,3.3,,,,,,,,,,,
2013-8-31 16:00:00,27.3,,28.1,27.1,,0,,,347,0,232,0.2,279,3.6,,,,,,,,,,,
2013-8-31 15:00:00,27.8,,28.8,27.4,,0,,,313,0.1,151,0.2,296,3.5,,,,,,,,,,,
2013-8-31 14:00:00,28.8,,30.5,28.1,,0,,,353,0.9,329,0.7,29,4.1,,,,,,,,,,,
2013-8-31 13:00:00,29.2,,30,27.5,,0,,,128,0,231,0.3,263,4,,,,,,,,,,,
2013-8-31 12:00:00,29.8,,29.8,27.8,,0,,,248,0.6,340,0.2,308,2.9,,,,,,,,,,,
2013-8-31 11:00:00,28.5,,29.2,27.4,,0,,,226,0,0,0,330,3.2,,,,,,,,,,,
2013-8-31 10:00:00,28.2,,28.2,25.9,,0,,,282,0,0,0,282,2.4,,,,,,,,,,,
2013-8-31 9:00:00,25.8,,25.8,24.7,,0,,,355,0,315,0.1,341,2.6,,,,,,,,,,,
2013-8-31 8:00:00,25,,25,24.3,,0,,,246,0,273,0,251,2.6,,,,,,,,,,,
2013-8-31 7:00:00,24.4,,24.7,24.4,,0,,,52,0,0,0,254,1.9,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24,,0,,,257,1,318,1.2,358,2.9,,,,,,,,,,,
2013-8-31 5:00:00,24,,24.7,24,,0,,,330,0,0,0,277,2.2,,,,,,,,,,,
2013-8-31 4:00:00,24.6,,24.8,24.5,,0,,,353,0,63,0.2,203,2.6,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25.1,24.8,,0,,,218,0,0,0,15,3.1,,,,,,,,,,,
