time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.3,,21.8,21.2,,0,,,7,3.5,350,2.5,350,4.2,,,,,,,,,,,
2013-9-1 00:00:00,21.7,,22.2,21.7,,0,,,1,2.7,8,2.7,355,6.4,,,,,,,,,,,
2013-8-31 23:00:00,22,,22.4,21.8,,0,,,350,2.5,4,3.2,4,7.2,,,,,,,,,,,
2013-8-31 22:00:00,22.4,,22.5,22.2,,0,,,7,2.6,13,4.3,15,7.1,,,,,,,,,,,
2013-8-31 21:00:00,22.5,,23,22.4,,0,,,358,2.9,1,3.6,358,6.6,,,,,,,,,,,
2013-8-31 20:00:00,23.1,,23.5,23,,0,,,9,4.5,5,3.8,32,8.2,,,,,,,,,,,
2013-8-31 19:00:00,23.5,,24.2,23.3,,0,,,23,4.1,17,4.9,32,9.8,,,,,,,,,,,
2013-8-31 18:00:00,24.2,,25.3,24.2,,0,,,350,5.4,9,4.9,18,10.7,,,,,,,,,,,
2013-8-31 17:00:00,25.3,,26.6,25.3,,0,,,9,7.2,14,6.3,23,11,,,,,,,,,,,
2013-8-31 16:00:00,26.7,,27.4,26.3,,0,,,7,4.1,26,6.5,18,11,,,,,,,,,,,
2013-8-31 15:00:00,27.3,,27.4,26.4,,0,,,26,4.6,27,6,23,11,,,,,,,,,,,
2013-8-31 14:00:00,27.1,,27.8,26.5,,0,,,29,4.6,19,5.7,26,11.3,,,,,,,,,,,
2013-8-31 13:00:00,27.4,,27.8,26.3,,0,,,46,6.3,27,6.3,15,10.4,,,,,,,,,,,
2013-8-31 12:00:00,27.6,,27.6,26.7,,0,,,7,3.5,22,5.4,18,10,,,,,,,,,,,
2013-8-31 11:00:00,27.6,,27.9,27,,0,,,26,5.7,24,5.3,358,8.5,,,,,,,,,,,
2013-8-31 10:00:00,27.1,,27.1,26.1,,0,,,353,5.9,358,5.9,353,8.8,,,,,,,,,,,
2013-8-31 9:00:00,26.6,,26.6,25.4,,0,,,26,4.5,18,5.1,26,8.5,,,,,,,,,,,
2013-8-31 8:00:00,25.7,,25.8,24.7,,0,,,355,4.6,4,5.2,358,7.2,,,,,,,,,,,
2013-8-31 7:00:00,24.6,,24.6,23.2,,0,,,355,2.5,5,3.5,7,7,,,,,,,,,,,
2013-8-31 6:00:00,23.2,,23.4,23.1,,0,,,358,4.3,9,4.3,15,7.8,,,,,,,,,,,
2013-8-31 5:00:00,23.3,,23.9,23.3,,0,,,4,5.5,12,4.6,4,8.1,,,,,,,,,,,
2013-8-31 4:00:00,23.9,,24,23.8,,0,,,7,4.6,9,3.9,12,9.6,,,,,,,,,,,
2013-8-31 3:00:00,23.8,,24.1,23.7,,0,,,7,4.7,5,5.3,12,10.2,,,,,,,,,,,
2013-8-31 2:00:00,24.1,,24.4,23.7,,0,,,7,5.3,9,5.7,4,10,,,,,,,,,,,
2013-8-31 1:00:00,24.3,,24.6,24.2,,0,,,7,5.6,5,5.4,353,10.1,,,,,,,,,,,
2013-8-31 00:00:00,24.4,,24.8,24.3,,0,,,341,7.9,356,6.2,18,10.7,,,,,,,,,,,
2013-8-30 23:00:00,24.7,,24.9,24.6,,0,,,15,6.8,6,6.7,7,11.1,,,,,,,,,,,
2013-8-30 22:00:00,24.9,,25.5,24.7,,0,,,353,3.8,12,5.3,15,11,,,,,,,,,,,
2013-8-30 21:00:00,25.5,,26.3,25.4,,0,,,23,9.1,9,6.7,7,11.8,,,,,,,,,,,
2013-8-30 20:00:00,26.3,,26.8,26.2,,0,,,18,9.2,9,7.3,18,12.3,,,,,,,,,,,
2013-8-30 19:00:00,26.8,,27.5,26.8,,0,,,29,5.2,15,6.4,7,12.1,,,,,,,,,,,
2013-8-30 18:00:00,27.5,,28.4,27.5,,0,,,12,6.9,9,6.6,15,14.6,,,,,,,,,,,
2013-8-30 17:00:00,28.4,,29.4,28.4,,0,,,29,7.7,12,6.8,358,10.5,,,,,,,,,,,
2013-8-30 16:00:00,29.1,,30.9,29.1,,0,,,353,7.3,1,6.2,15,10.1,,,,,,,,,,,
2013-8-30 15:00:00,30.5,,31.1,29.7,,0,,,15,5.5,7,5.1,7,9.8,,,,,,,,,,,
2013-8-30 14:00:00,29.9,,30.4,29.8,,0,,,26,7.8,17,5.6,21,10.5,,,,,,,,,,,
2013-8-30 13:00:00,30,,30.7,29.7,,0,,,7,4.2,12,6,12,11.1,,,,,,,,,,,
2013-8-30 12:00:00,30.3,,30.5,29.6,,0,,,35,5.6,15,6.1,32,10.6,,,,,,,,,,,
2013-8-30 11:00:00,29.7,,29.7,28.6,,0,,,23,7.2,24,6.3,29,11,,,,,,,,,,,
2013-8-30 10:00:00,28.9,,30.6,28.9,,0,,,358,5.6,3,5.2,12,12.4,,,,,,,,,,,
2013-8-30 9:00:00,29.9,,30.4,29.1,,0,,,4,6,4,5.3,7,9.7,,,,,,,,,,,
2013-8-30 8:00:00,29.1,,29.1,27.8,,0,,,353,5,353,3.7,341,5.3,,,,,,,,,,,
2013-8-30 7:00:00,28,,28.1,26.6,,0,,,15,2.8,9,2.3,26,3.1,,,,,,,,,,,
2013-8-30 6:00:00,26.7,,26.7,26,,0,,,341,1.5,339,1.5,330,1.8,,,,,,,,,,,
2013-8-30 5:00:00,26.2,,26.8,26.1,,0,,,15,0.6,14,0.6,333,2,,,,,,,,,,,
2013-8-30 4:00:00,26.7,,27,26.6,,0,,,32,0,58,0.2,133,1.3,,,,,,,,,,,
2013-8-30 3:00:00,27,,27.2,27,,0,,,133,0.9,136,0.8,133,2,,,,,,,,,,,
2013-8-30 2:00:00,27.1,,27.4,26.5,,0,,,173,1.3,156,0.4,164,2.2,,,,,,,,,,,
2013-8-30 1:00:00,27.2,,27.5,26.9,,0,,,187,1.3,186,1.2,170,3.9,,,,,,,,,,,
2013-8-30 00:00:00,27.3,,27.4,27.1,,0,,,175,0.8,160,1.3,130,3.8,,,,,,,,,,,
2013-8-29 23:00:00,27.3,,27.5,27.3,,0,,,175,2.2,163,2,150,3.8,,,,,,,,,,,
2013-8-29 22:00:00,27.6,,27.8,27.4,,0,,,150,1.5,160,2.4,153,4.5,,,,,,,,,,,
2013-8-29 21:00:00,27.9,,28.2,27.8,,0,,,156,1.9,162,2.1,153,5,,,,,,,,,,,
2013-8-29 20:00:00,28.1,,28.4,27.9,,0,,,147,1.1,153,1.4,144,5.4,,,,,,,,,,,
2013-8-29 19:00:00,28.3,,28.9,28.2,,0,,,142,3.5,145,2.9,170,5.5,,,,,,,,,,,
2013-8-29 18:00:00,28.9,,29.6,28.9,,0,,,153,2,138,2.2,128,7.1,,,,,,,,,,,
2013-8-29 17:00:00,29.6,,30.3,29.4,,0,,,215,1.9,152,2.1,150,6,,,,,,,,,,,
2013-8-29 16:00:00,30.2,,32.3,30.2,,0,,,167,3.9,145,4.2,130,6.5,,,,,,,,,,,
2013-8-29 15:00:00,32.1,,32.8,31.5,,0,,,189,2.5,169,3,181,6.5,,,,,,,,,,,
