time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.2,,23.2,23,,0,,,63,1.8,45,1.5,46,2.9,,,,,,,,,,,
2013-9-1 00:00:00,23.1,,23.5,23.1,,0,,,49,1.1,24,1.4,40,5.4,,,,,,,,,,,
2013-8-31 23:00:00,23.5,,23.7,23.4,,0,,,40,3.5,40,4.3,46,6.3,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,24,23.7,,0,,,113,2,43,3.3,49,7.4,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.4,24,,0,,,23,3.7,43,3.7,66,8,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,25.1,24.4,,0,,,40,3.8,46,3.5,46,7.8,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,26,25.1,,0,,,49,4.1,37,3.3,40,7.3,,,,,,,,,,,
2013-8-31 18:00:00,26,,27.1,26,,0,,,66,0.8,39,3.2,4,6.7,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,28.1,27.1,,0,,,355,2.5,19,2.7,293,7.8,,,,,,,,,,,
2013-8-31 16:00:00,28.2,,29.1,27.8,,0,,,355,4.4,351,2.8,355,7.5,,,,,,,,,,,
2013-8-31 15:00:00,28.9,,29.1,28.5,,0,,,18,3.3,354,3.5,43,6.7,,,,,,,,,,,
2013-8-31 14:00:00,29,,29.2,28.4,,0,,,246,1.6,305,2.2,341,7,,,,,,,,,,,
2013-8-31 13:00:00,29,,29.1,27.2,,0,,,23,4.3,8,2.4,358,7.8,,,,,,,,,,,
2013-8-31 12:00:00,28.1,,28.9,27.4,,0,,,293,2,355,3,319,6.1,,,,,,,,,,,
2013-8-31 11:00:00,27.9,,27.9,26.5,,0,,,338,1.9,357,2.4,18,5.4,,,,,,,,,,,
2013-8-31 10:00:00,26.6,,27.2,25.8,,0,,,338,3.5,329,3.1,341,5.7,,,,,,,,,,,
2013-8-31 9:00:00,25.8,,25.8,24.4,,0,,,341,2.6,342,2.6,341,4.7,,,,,,,,,,,
2013-8-31 8:00:00,24.4,,24.4,23.2,,0,,,4,1.9,340,2.6,333,4.8,,,,,,,,,,,
2013-8-31 7:00:00,23.2,,23.3,23.1,,0,,,184,0.1,321,1,333,4,,,,,,,,,,,
2013-8-31 6:00:00,23,,23.2,23,,0,,,248,1.2,327,1.6,355,4.3,,,,,,,,,,,
2013-8-31 5:00:00,23.1,,24.1,23.1,,0,,,293,1.3,293,1.5,23,3,,,,,,,,,,,
2013-8-31 4:00:00,24.1,,24.5,24.1,,0,,,23,1,8,0.8,1,3.5,,,,,,,,,,,
2013-8-31 3:00:00,24.5,,24.6,24.4,,0,,,49,1.5,14,1.8,43,6,,,,,,,,,,,
2013-8-31 2:00:00,24.6,,24.7,24.5,,0,,,40,1.4,12,2.8,341,5.5,,,,,,,,,,,
2013-8-31 1:00:00,24.7,,25.1,24.7,,0,,,18,2.3,15,1.8,336,5,,,,,,,,,,,
2013-8-31 00:00:00,25.1,,25.6,25.1,,0,,,18,2.3,1,1.6,355,6,,,,,,,,,,,
2013-8-30 23:00:00,25.6,,26,25.6,,0,,,341,2.2,3,2.8,23,7.1,,,,,,,,,,,
2013-8-30 22:00:00,26,,26.3,26,,0,,,358,1.5,40,1.8,85,10,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,27.3,26.3,,0,,,46,3.2,49,3.7,40,9.3,,,,,,,,,,,
2013-8-30 20:00:00,27.3,,28.1,27.3,,0,,,49,3.5,44,4.4,40,8.8,,,,,,,,,,,
2013-8-30 19:00:00,28.2,,29.1,28.2,,0,,,26,4.8,42,3.9,40,9,,,,,,,,,,,
2013-8-30 18:00:00,29.1,,30,29.1,,0,,,40,3.7,42,4.6,40,8.8,,,,,,,,,,,
2013-8-30 17:00:00,30,,30.4,30,,0,,,46,4.7,42,3.8,88,7.1,,,,,,,,,,,
2013-8-30 16:00:00,30.4,,31.4,30.4,,0,,,46,3.9,41,4.2,43,7.8,,,,,,,,,,,
2013-8-30 15:00:00,31.3,,32,31.3,,0,,,71,2.6,62,2.3,49,6.9,,,,,,,,,,,
2013-8-30 14:00:00,31.5,,32.2,31.5,,0,,,18,3.8,43,2.8,23,7.9,,,,,,,,,,,
2013-8-30 13:00:00,31.9,,31.9,30.8,,0,,,358,5,15,2.5,40,8.6,,,,,,,,,,,
2013-8-30 12:00:00,31.1,,31.2,30.3,,0,,,23,5.5,43,4.6,66,8,,,,,,,,,,,
2013-8-30 11:00:00,30.3,,30.8,30.2,,0,,,49,2.9,58,3.8,40,8.8,,,,,,,,,,,
2013-8-30 10:00:00,30.4,,30.8,30.1,,0,,,43,2.2,55,3,23,8.9,,,,,,,,,,,
2013-8-30 9:00:00,30.9,,30.9,29.4,,0,,,26,6,50,3.5,355,7.3,,,,,,,,,,,
2013-8-30 8:00:00,29.3,,29.4,28.5,,0,,,85,2.4,25,1.5,341,5.5,,,,,,,,,,,
2013-8-30 7:00:00,28.5,,28.5,27.8,,0,,,66,2.4,39,1.9,40,4.2,,,,,,,,,,,
2013-8-30 6:00:00,27.8,,27.9,27.7,,0,,,18,2.8,25,1.9,26,3.6,,,,,,,,,,,
2013-8-30 5:00:00,27.9,,28.1,27.9,,0,,,18,0.5,8,0.4,319,2.4,,,,,,,,,,,
2013-8-30 4:00:00,28.1,,28.3,28,,0,,,310,0.5,346,0.9,94,2.1,,,,,,,,,,,
2013-8-30 3:00:00,28.2,,28.2,27.9,,0,,,49,0.6,67,1.2,63,2,,,,,,,,,,,
2013-8-30 2:00:00,27.9,,28,27.8,,0,,,333,0.1,316,0.3,161,1.3,,,,,,,,,,,
2013-8-30 1:00:00,27.8,,27.9,27.7,,0,,,130,0.5,119,0.4,333,1,,,,,,,,,,,
2013-8-30 00:00:00,27.8,,27.8,27.5,,0,,,313,0.8,300,0.4,184,1.9,,,,,,,,,,,
2013-8-29 23:00:00,27.6,,27.9,27.5,,0,,,265,0.8,271,0.5,341,1.4,,,,,,,,,,,
2013-8-29 22:00:00,27.9,,27.9,27.5,,0,,,293,0.4,320,0.5,46,1,,,,,,,,,,,
2013-8-29 21:00:00,27.4,,28,27.4,,0,,,175,0.4,163,0.6,288,2.6,,,,,,,,,,,
2013-8-29 20:00:00,27.9,,28.1,27.9,,0,,,310,0.8,297,0.5,46,2.5,,,,,,,,,,,
2013-8-29 19:00:00,28,,28,27.4,,0,,,63,1,55,1.3,26,4.8,,,,,,,,,,,
2013-8-29 18:00:00,27.4,,27.5,26.2,,0.3,,,175,1.9,164,1.9,111,4.8,,,,,,,,,,,
2013-8-29 17:00:00,26.5,,32.7,26.4,,8.9,,,91,3.9,105,3.9,63,7.8,,,,,,,,,,,
2013-8-29 16:00:00,32.7,,35.6,32.6,,0,,,66,1.5,72,1.7,94,5.5,,,,,,,,,,,
2013-8-29 15:00:00,35.6,,36.6,35.4,,0,,,251,1.6,217,1,181,4.7,,,,,,,,,,,
2013-8-29 14:00:00,36.2,,36.2,34.7,,0,,,243,0.8,182,1.7,175,5,,,,,,,,,,,
2013-8-29 13:00:00,34.6,,35.8,34.4,,0,,,310,0.6,212,0.8,175,6.3,,,,,,,,,,,
2013-8-29 12:00:00,34.9,,35.7,34.9,,0,,,203,2.3,158,2.7,184,5.4,,,,,,,,,,,
2013-8-29 11:00:00,34.9,,34.9,33.6,,0,,,181,1.9,180,1.8,220,4.3,,,,,,,,,,,
2013-8-29 10:00:00,33.7,,33.8,32,,0,,,243,2.1,239,1.9,271,4.7,,,,,,,,,,,
2013-8-29 9:00:00,32.2,,32.2,30.6,,0,,,243,1.5,230,1.8,265,3.8,,,,,,,,,,,
2013-8-29 8:00:00,30.5,,30.5,29,,0,,,243,1.1,235,0.9,158,5,,,,,,,,,,,
2013-8-29 7:00:00,29,,29,27.5,,0,,,161,2.1,165,2.8,161,3.9,,,,,,,,,,,
2013-8-29 6:00:00,27.5,,27.7,27.3,,0,,,161,1.6,187,1.3,139,4.1,,,,,,,,,,,
2013-8-29 5:00:00,27.6,,27.8,27.6,,0,,,206,0.9,162,2.2,153,5.2,,,,,,,,,,,
2013-8-29 4:00:00,27.8,,28,27.8,,0,,,156,2.2,164,2.4,153,6.1,,,,,,,,,,,
2013-8-29 3:00:00,28,,28.2,28,,0,,,156,3.8,160,2.9,175,6.7,,,,,,,,,,,
2013-8-29 2:00:00,28.2,,28.3,28.2,,0,,,161,4.2,162,3.8,161,6,,,,,,,,,,,
2013-8-29 1:00:00,28.3,,28.5,28.3,,0,,,161,3.1,165,3.4,175,6.5,,,,,,,,,,,
2013-8-29 00:00:00,28.5,,28.6,28.5,,0,,,156,4.8,167,4,156,6.4,,,,,,,,,,,
2013-8-28 23:00:00,28.5,,28.9,28.5,,0,,,161,4.4,166,3.2,175,6.9,,,,,,,,,,,
2013-8-28 22:00:00,28.9,,29.2,28.9,,0,,,161,3.3,154,3.7,136,7.2,,,,,,,,,,,
2013-8-28 21:00:00,29.2,,29.8,29.2,,0,,,139,4.1,150,2.8,139,7.7,,,,,,,,,,,
2013-8-28 20:00:00,29.8,,30.4,29.8,,0,,,161,1,146,1.8,153,6.1,,,,,,,,,,,
2013-8-28 19:00:00,30.4,,31.5,30.4,,0,,,156,3.6,163,3,161,5.6,,,,,,,,,,,
2013-8-28 18:00:00,31.5,,32.8,31.5,,0,,,139,2,168,2.5,156,7,,,,,,,,,,,
2013-8-28 17:00:00,32.8,,34.4,32.8,,0,,,198,3.3,178,2.8,161,6.7,,,,,,,,,,,
2013-8-28 16:00:00,34.2,,34.7,33.9,,0,,,158,2.5,177,2.7,184,6.2,,,,,,,,,,,
2013-8-28 15:00:00,33.9,,34.5,33.7,,0,,,178,1,175,2,158,6.2,,,,,,,,,,,
2013-8-28 14:00:00,34.1,,35.1,33.4,,0,,,184,0.9,155,3,175,5.6,,,,,,,,,,,
