time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.7,15.7,22.7,22.1,,0,65,62,7,3.2,360,3.3,23,6.5,20000,20000,,,,,,,,,
2013-9-1 00:00:00,22.1,16.1,23,22.1,,0,69,61,7,2,5,2.1,20,7.4,20000,20000,,,,,,,,,
2013-8-31 23:00:00,23,15.8,23.3,23,,0,64,63,7,2.9,3,3.3,349,7.4,20000,20000,,,,,,,,,
2013-8-31 22:00:00,23.3,16.4,23.5,23.2,,0,65,63,10,3.9,12,4.4,23,8.5,20000,20000,,,,,,,,,
2013-8-31 20:00:00,23.8,15.5,24,23.7,,0,60,57,11,3.7,11,3.7,23,8.8,20000,20000,,,,,,,,,
2013-8-31 18:00:00,24.2,15.6,25.6,24.1,,0,59,59,20,4.8,17,5.1,23,10.3,20000,20000,,,,,,,,,
2013-8-31 16:00:00,26.3,18.3,26.8,26.2,,0,61,59,14,6.1,15,6.8,17,12.9,20000,20000,,,,,,,,,
2013-8-31 15:00:00,26.7,18.5,27.2,26.7,,0,61,59,17,6.7,18,7.2,13,12.9,20000,20000,,,,,,,,,
2013-8-31 14:00:00,26.9,18.7,27.1,26.4,,0,62,60,14,5.1,11,6.6,21,11.5,20000,20000,,,,,,,,,
2013-8-31 12:00:00,26.9,20,26.9,26.3,,0,67,63,24,4.7,21,4.8,17,9.8,20000,20000,,,,,,,,,
2013-8-31 11:00:00,26.5,19.4,26.7,26.1,,0,65,63,25,4.4,32,4,24,10.1,20000,20000,,,,,,,,,
2013-8-31 10:00:00,26.3,19.5,26.3,25.6,,0,67,66,4,3.4,2,3.6,0,8.5,20000,20000,,,,,,,,,
2013-8-31 9:00:00,26,19.7,26,25.3,,0,69,68,12,4.3,3,4.4,15,9.4,20000,20000,,,,,,,,,
2013-8-31 8:00:00,25.5,20.4,25.5,24.7,,0,74,73,51,2.3,26,3.4,13,8.8,20000,20000,,,,,,,,,
2013-8-31 7:00:00,24.8,20.5,24.7,24.1,,0,77,76,8,3.9,10,4,19,8.1,20000,20000,,,,,,,,,
2013-8-31 6:00:00,24.2,20.1,24.2,23.8,,0,78,78,16,3.7,18,3.2,8,7.9,20000,17156,,,,,,,,,
2013-8-31 5:00:00,23.9,20.4,24.2,23.9,,0,81,76,16,2.9,18,3.1,15,10.7,15973,15973,,,,,,,,,
2013-8-31 4:00:00,24.1,19.8,24.3,24.1,,0,76,75,19,6.1,8,4.7,28,10.1,20000,20000,,,,,,,,,
2013-8-31 3:00:00,24.3,20.1,24.4,24.3,,0,78,77,12,4.5,11,5.1,23,11.2,20000,20000,,,,,,,,,
2013-8-31 2:00:00,24.4,20.6,24.8,24.4,,0,79,78,10,5.3,7,4.6,19,11.8,20000,20000,,,,,,,,,
2013-8-31 1:00:00,24.8,21.5,24.9,24.7,,0,82,80,10,4.8,3,4.9,19,10.9,20000,18462,,,,,,,,,
2013-8-31 00:00:00,24.9,21.5,25.2,25,,0,81,79,348,5.7,354,5.4,26,11.1,20000,18523,,,,,,,,,
2013-8-30 22:00:00,25.4,22.2,25.8,25.4,,0,82,81,359,5,5,4.8,23,11.6,14191,12042,,,,,,,,,
2013-8-30 21:00:00,25.8,22.7,26.3,25.7,,0,83,83,9,5.3,9,5.3,28,11.9,12815,6742,,,,,,,,,
2013-8-30 20:00:00,26.3,24.5,26.8,26.3,,0.1,90,89,20,6.2,13,6.4,358,14.1,6770,5278,,,,,,,,,
2013-8-30 19:00:00,26.8,25.3,27.5,26.8,,0,91,91,10,7.9,12,6.8,13,14.5,5787,4401,,,,,,,,,
2013-8-30 18:00:00,27.4,26,28.2,27.5,,0,92,88,8,5.6,10,6.6,17,12.5,4863,4692,,,,,,,,,
2013-8-30 16:00:00,28.8,24.9,29.9,28.9,,0,79,76,10,5.2,2,5.8,26,10.1,10655,7827,,,,,,,,,
2013-8-30 15:00:00,29.2,26,30.5,29.1,,0,83,76,360,3.5,4,4.1,15,11.5,7722,6755,,,,,,,,,
2013-8-30 14:00:00,30.3,26.4,30.4,29.9,,0,80,78,355,4.1,7,4.3,21,10.6,7319,6318,,,,,,,,,
2013-8-30 13:00:00,30.4,26.8,30.3,29.3,,0,81,79,358,4.2,357,4,24,12.3,7288,5946,,,,,,,,,
2013-8-30 12:00:00,29.3,26.5,29.2,28.5,,0,86,84,28,3.9,18,4.6,8,11.1,7082,6025,,,,,,,,,
2013-8-30 11:00:00,28.6,26.5,28.9,28.5,,0,88,84,15,4.9,11,5,13,11.1,7830,7145,,,,,,,,,
2013-8-30 10:00:00,28.8,26.5,28.9,28.1,,0,88,86,23,5.2,10,4.9,30,13.1,7819,7287,,,,,,,,,
2013-8-30 9:00:00,28.6,26.2,28.7,28.2,,0,87,75,355,5.1,354,5.8,27,10.7,10299,9231,,,,,,,,,
2013-8-30 8:00:00,28.4,23.5,28.6,28.1,,0.1,75,72,3,4.7,359,4.9,13,8.7,12999,8665,,,,,,,,,
2013-8-30 7:00:00,28.1,28.3,28.1,27.4,,0,101,101,15,2.6,8,2.3,347,4.3,16930,13677,,,,,,,,,
2013-8-30 6:00:00,27.4,27.5,27.6,27.2,,0,101,99,345,2.5,345,2.4,350,3.1,17702,15422,,,,,,,,,
2013-8-30 5:00:00,27.6,27.5,28.1,27.6,,0,99,97,35,0.1,35,0.1,129,2.6,17998,16656,,,,,,,,,
2013-8-30 4:00:00,28.1,27.7,28.2,28.1,,0,98,97,142,1.6,145,1.4,158,3.4,18053,15907,,,,,,,,,
2013-8-30 3:00:00,28.2,27.7,28.3,28.2,,0,97,96,151,2.5,152,2.7,183,3.4,17853,16938,,,,,,,,,
2013-8-30 2:00:00,28.2,27.6,28.3,28.2,,0,96,96,177,2.3,182,2.3,186,4.2,19751,17132,,,,,,,,,
2013-8-30 1:00:00,28.3,27.9,28.5,28.3,,0.1,98,96,211,3.5,209,3.2,195,5.7,20000,17468,,,,,,,,,
2013-8-30 00:00:00,28.4,27.9,28.6,28.4,,0,97,96,194,4.7,197,4.6,158,8,20000,18979,,,,,,,,,
2013-8-29 23:00:00,28.5,27.8,28.7,28.5,,0,96,95,142,7,146,7.1,152,8.2,20000,19133,,,,,,,,,
2013-8-29 22:00:00,28.7,28,28.8,28.7,,0,96,94,154,6.4,151,6.6,161,8.4,20000,19284,,,,,,,,,
2013-8-29 20:00:00,29,27.7,29.3,28.9,,0,91,93,168,7.9,168,7.5,158,9.5,20000,19618,,,,,,,,,
2013-8-29 19:00:00,29.2,28.2,29.3,29.2,,0,94,93,157,7.9,155,8,154,9.3,20000,15541,,,,,,,,,
2013-8-29 18:00:00,29.3,28.2,29.4,29.2,,0.1,95,93,156,7.2,155,7.3,152,9.3,20000,20000,,,,,,,,,
2013-8-29 17:00:00,29.4,28.2,29.8,29.1,,0,93,91,135,7.5,136,7.3,113,8.5,20000,20000,,,,,,,,,
2013-8-29 13:00:00,32.3,26.9,32.3,31.5,,0,74,69,176,6.4,178,6.5,174,8.9,20000,20000,,,,,,,,,
2013-8-29 12:00:00,31.6,26.4,31.6,30.8,,0,75,73,187,7.4,186,7.5,191,10.2,20000,20000,,,,,,,,,
2013-8-29 11:00:00,30.8,25.9,30.8,30.2,,0,74,75,191,9.2,189,9.1,174,10.7,20000,20000,,,,,,,,,
2013-8-29 10:00:00,30.3,26.6,30.4,29.7,,0,80,79,179,7.7,178,7.7,174,9.5,20000,20000,,,,,,,,,
2013-8-29 9:00:00,29.7,26.3,29.7,28.9,,0.1,83,82,181,7.2,183,7.5,172,9.1,20000,20000,,,,,,,,,
2013-8-29 8:00:00,28.9,27,28.9,28.4,,0,89,89,176,8.2,182,7.8,191,10.4,20000,19527,,,,,,,,,
2013-8-29 7:00:00,28.4,27,28.4,28.1,,0,93,92,196,7.9,197,7.9,174,10.1,20000,20000,,,,,,,,,
2013-8-29 6:00:00,28.2,27.2,28.2,28,,0,94,93,172,8,177,7.7,169,10.1,20000,20000,,,,,,,,,
2013-8-29 5:00:00,28,27,28.2,28,,0,94,93,181,7.5,181,7.8,174,10.5,20000,20000,,,,,,,,,
2013-8-29 4:00:00,28.1,27,28.2,28.1,,0,93,93,184,8.4,184,8.5,176,11.7,20000,20000,,,,,,,,,
2013-8-29 3:00:00,28.3,27.3,28.4,28.2,,0.1,94,92,174,9.3,172,9.9,174,11.9,20000,20000,,,,,,,,,
2013-8-29 2:00:00,28.4,27,28.5,28.4,,0,92,91,180,8.4,176,8.8,191,11.2,20000,20000,,,,,,,,,
2013-8-29 1:00:00,28.5,26.9,28.5,28.3,,0,91,91,187,9.5,187,9.5,172,12,20000,20000,,,,,,,,,
2013-8-29 00:00:00,28.3,27.7,28.4,28.3,,0,96,95,167,10.4,167,10.2,174,13.3,20000,20000,,,,,,,,,
2013-8-28 23:00:00,28.3,27.5,28.6,28.3,,0,96,90,168,10.3,167,11.1,161,13.8,20000,20000,,,,,,,,,
2013-8-28 20:00:00,28.7,27.5,28.8,28.6,,0,94,91,150,10.7,149,10.5,144,13.7,20000,20000,,,,,,,,,
2013-8-28 19:00:00,28.8,27.3,29.1,28.8,,0,92,89,145,11.1,147,10.8,158,13.6,20000,20000,,,,,,,,,
2013-8-28 18:00:00,29.1,27.7,29.4,29.1,,0.1,92,90,150,10.3,146,10.3,139,12.7,20000,20000,,,,,,,,,
2013-8-28 16:00:00,29.4,27.6,29.5,29.4,,0,90,89,137,9.8,136,9.5,137,11.1,20000,20000,,,,,,,,,
2013-8-28 15:00:00,29.5,28.1,29.8,29.5,,0,92,89,128,8.5,127,8.2,117,9.9,20000,19051,,,,,,,,,
2013-8-28 14:00:00,29.7,28.2,29.8,29.4,,0.1,92,89,119,5.9,122,6.1,126,8.5,20000,17506,,,,,,,,,
2013-8-28 13:00:00,29.4,27.8,29.4,29,,0,91,90,126,6.4,125,6.5,135,7.9,20000,18027,,,,,,,,,
2013-8-28 12:00:00,29,27.8,29.1,28.6,,0,93,93,130,6,124,6,139,7.4,20000,16978,,,,,,,,,
2013-8-28 11:00:00,28.7,28.1,28.7,28.4,,0.1,97,95,127,5.3,127,5.3,131,7.3,19977,17047,,,,,,,,,
