time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.6,23,,0,,,240,0,0,0,257,4.7,,,,,,,,,,,
2013-9-1 00:00:00,23.2,,23.5,23,,0,,,268,1.9,245,0.6,254,4,,,,,,,,,,,
2013-8-31 23:00:00,22.9,,23.8,22.9,,0,,,277,1.4,287,1,212,4,,,,,,,,,,,
2013-8-31 22:00:00,23.8,,23.9,23.4,,0,,,308,1.1,179,0.3,293,3.9,,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.3,23.7,,0,,,263,0.8,307,0.7,246,4.2,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.9,24.1,,0,,,243,0.9,231,0.7,282,5,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.4,24.9,,0,,,189,1.1,135,0.3,237,4.6,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.7,25.5,,0,,,91,1,97,0.6,229,4.9,,,,,,,,,,,
2013-8-31 17:00:00,26.7,,28.4,26.7,,0,,,119,0.3,234,0.5,254,5.5,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,28.8,27.4,,0,,,85,1.3,238,0.7,83,5.3,,,,,,,,,,,
2013-8-31 15:00:00,28.7,,29.7,28,,0,,,7,1.4,274,0.5,251,6.8,,,,,,,,,,,
2013-8-31 14:00:00,28.1,,29.6,27.9,,0,,,209,0.9,358,0.9,277,5,,,,,,,,,,,
2013-8-31 13:00:00,27.9,,29.8,27.9,,0,,,277,0.9,227,0.7,308,6.1,,,,,,,,,,,
2013-8-31 12:00:00,28.6,,28.6,27.2,,0,,,254,0.8,252,1.3,237,4,,,,,,,,,,,
2013-8-31 11:00:00,27.8,,28.2,27.2,,0,,,299,1.3,259,1.7,254,4.8,,,,,,,,,,,
2013-8-31 10:00:00,27.3,,27.6,26.2,,0,,,246,0.3,234,0.9,268,3.8,,,,,,,,,,,
2013-8-31 9:00:00,26.2,,26.3,25.5,,0,,,257,1,280,1.2,4,3.3,,,,,,,,,,,
2013-8-31 8:00:00,25.5,,25.6,24.9,,0,,,215,1.1,248,1.3,257,3.6,,,,,,,,,,,
2013-8-31 7:00:00,24.8,,25,24.5,,0,,,99,0.5,86,0.2,277,3.5,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.1,,0,,,322,0,0,0,18,3.9,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.5,24.2,,0,,,268,1.3,228,0.9,97,3.5,,,,,,,,,,,
2013-8-31 4:00:00,24.3,,24.9,24.3,,0,,,257,0.8,223,0.8,251,3.8,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25,24.7,,0,,,251,1.8,208,0.9,288,3,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.4,25,,0,,,136,0.3,174,0.3,277,4.5,,,,,,,,,,,
