time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.6,23.3,,0,,,344,3.3,9,2.6,358,6,,,,,,,,,,,
2013-9-1 00:00:00,23.3,,23.4,23,,0,,,296,0.8,21,2.2,49,5.3,,,,,,,,,,,
2013-8-31 23:00:00,23,,23.8,23,,0,,,85,1,22,1.6,40,6.7,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,23.8,23.4,,0,,,358,3.5,47,3,32,7,,,,,,,,,,,
2013-8-31 21:00:00,23.7,,24.3,23.7,,0,,,341,3.5,43,2.1,43,6,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,25.1,24.4,,0,,,74,2,63,2.9,23,6.5,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,25.7,25.1,,0,,,122,2.6,67,2.8,9,7.1,,,,,,,,,,,
2013-8-31 18:00:00,25.7,,27,25.7,,0,,,341,2.7,18,3.1,344,8.2,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,28,27.1,,0,,,32,4.2,35,3.8,74,7.7,,,,,,,,,,,
2013-8-31 16:00:00,28,,29.4,27.9,,0,,,54,5.8,36,3.4,338,7.1,,,,,,,,,,,
2013-8-31 15:00:00,29.5,,30.2,29,,0,,,15,5.5,356,2.7,9,7.4,,,,,,,,,,,
2013-8-31 14:00:00,30,,30.4,29.3,,0,,,57,1.6,340,3.6,29,6.8,,,,,,,,,,,
2013-8-31 13:00:00,30,,30.2,28.7,,0,,,302,2.6,2,2.7,355,7.7,,,,,,,,,,,
2013-8-31 12:00:00,29.1,,29.5,28.2,,0,,,9,1.1,334,2.5,350,6.8,,,,,,,,,,,
2013-8-31 11:00:00,28.7,,28.8,27.3,,0,,,74,1.5,345,2.1,341,7,,,,,,,,,,,
2013-8-31 10:00:00,27.6,,27.8,25.8,,0,,,23,2.5,11,2.4,316,5.3,,,,,,,,,,,
2013-8-31 9:00:00,25.7,,25.7,24.9,,0,,,4,1.4,312,1.8,350,4.7,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,24.9,23.9,,0,,,310,3.4,333,2.1,296,4.8,,,,,,,,,,,
2013-8-31 7:00:00,24,,24.1,23.9,,0,,,355,1.7,355,1.6,333,4.4,,,,,,,,,,,
2013-8-31 6:00:00,24.1,,24.6,24.1,,0,,,265,0.5,314,1.9,313,4.5,,,,,,,,,,,
2013-8-31 5:00:00,24.4,,24.7,24.4,,0,,,4,0.9,28,1,52,5.1,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,24.9,24.6,,0,,,80,0.5,29,1.6,344,6.7,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25.1,24.8,,0,,,322,1.8,27,2.4,35,8.1,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.4,25,,0,,,29,2.6,53,2.2,68,6.9,,,,,,,,,,,
2013-8-31 1:00:00,25.3,,25.4,25.3,,0,,,68,2.9,14,2.7,18,6.5,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,26,25.4,,0,,,23,1.8,21,2.4,29,8.6,,,,,,,,,,,
2013-8-30 23:00:00,26,,26.1,26,,0,,,23,3.4,26,4.1,52,7.4,,,,,,,,,,,
2013-8-30 22:00:00,26.1,,26.6,26.1,,0,,,355,3.2,15,2.9,29,9.2,,,,,,,,,,,
2013-8-30 21:00:00,26.7,,27.6,26.7,,0,,,29,4.6,27,4.2,43,8.8,,,,,,,,,,,
2013-8-30 20:00:00,27.6,,28.3,27.6,,0,,,122,0.9,37,2.5,18,9.1,,,,,,,,,,,
2013-8-30 19:00:00,28.3,,29.2,28.3,,0,,,333,4,23,3.8,68,7.9,,,,,,,,,,,
2013-8-30 18:00:00,29.2,,30,29.2,,0,,,52,2,50,3.7,46,8.3,,,,,,,,,,,
2013-8-30 17:00:00,30,,30.5,30,,0,,,26,1.4,57,2.8,23,9.4,,,,,,,,,,,
2013-8-30 16:00:00,30.5,,31.9,30.5,,0,,,1,1.9,24,4,29,6.8,,,,,,,,,,,
2013-8-30 15:00:00,31.9,,32.5,31.6,,0,,,156,1.2,81,2.6,54,7,,,,,,,,,,,
2013-8-30 14:00:00,32.5,,32.5,31.8,,0,,,21,2.3,26,2.3,15,8.3,,,,,,,,,,,
2013-8-30 13:00:00,31.8,,31.9,31.1,,0,,,355,3.3,18,2.3,29,8.7,,,,,,,,,,,
2013-8-30 12:00:00,31.6,,31.7,30.5,,0,,,54,2,45,2.2,18,8,,,,,,,,,,,
2013-8-30 11:00:00,30.6,,31.3,30.2,,0,,,52,3.5,49,3.4,38,7,,,,,,,,,,,
2013-8-30 10:00:00,31,,31,30,,0,,,108,3.2,61,2.4,29,8.5,,,,,,,,,,,
2013-8-30 9:00:00,30.3,,30.3,28,,0,,,23,2.5,57,2.8,358,8.3,,,,,,,,,,,
2013-8-30 8:00:00,28,,28,27,,0,,,23,2.9,12,2.4,43,7.1,,,,,,,,,,,
2013-8-30 7:00:00,27,,27,26.6,,0,,,46,1.4,46,1.2,1,5,,,,,,,,,,,
2013-8-30 6:00:00,27,,27.1,27,,0,,,355,2.4,13,2.5,26,4.1,,,,,,,,,,,
2013-8-30 5:00:00,27,,27.1,27,,0.1,,,353,1.1,354,0.9,7,3.6,,,,,,,,,,,
2013-8-30 4:00:00,27,,27.1,26.4,,0,,,330,0.9,324,0.7,130,1.7,,,,,,,,,,,
2013-8-30 3:00:00,26.4,,27.2,26.4,,0.6,,,158,1.4,161,0.7,170,2.7,,,,,,,,,,,
2013-8-30 2:00:00,27,,27.3,27,,0,,,139,0,0,0,310,0.5,,,,,,,,,,,
2013-8-30 1:00:00,27.3,,27.3,27.1,,0,,,153,0,0,0,305,0.6,,,,,,,,,,,
2013-8-30 00:00:00,27.3,,27.8,27.3,,0,,,322,0,0,0,260,1.4,,,,,,,,,,,
2013-8-29 23:00:00,27.7,,27.7,27.4,,0.1,,,156,0,160,0.3,130,1.6,,,,,,,,,,,
2013-8-29 22:00:00,27.4,,27.4,26.9,,0.1,,,195,0.8,170,0.7,83,2.5,,,,,,,,,,,
2013-8-29 21:00:00,27,,27.1,26.8,,0,,,201,0.5,223,0.1,156,1.3,,,,,,,,,,,
2013-8-29 20:00:00,27,,27.1,26.8,,0,,,147,1.3,151,0.9,49,3.4,,,,,,,,,,,
2013-8-29 19:00:00,26.9,,26.9,26.3,,0.7,,,68,0.6,110,0.2,40,3,,,,,,,,,,,
2013-8-29 18:00:00,26.4,,26.4,25.6,,8.4,,,175,0.9,192,1.3,285,3.5,,,,,,,,,,,
2013-8-29 17:00:00,26,,32.6,26,,17.2,,,21,1.8,323,1.9,74,7.7,,,,,,,,,,,
2013-8-29 16:00:00,32.6,,36.5,32.6,,0,,,63,4.5,51,3,18,7,,,,,,,,,,,
2013-8-29 15:00:00,36.6,,37.7,36.6,,0,,,254,1.1,221,1,319,4.2,,,,,,,,,,,
2013-8-29 14:00:00,37.6,,37.8,36.5,,0,,,113,1,218,1.3,142,5.2,,,,,,,,,,,
2013-8-29 13:00:00,37.3,,37.3,35.7,,0,,,206,1.3,165,1.6,203,5.5,,,,,,,,,,,
2013-8-29 12:00:00,36.1,,36.6,35.8,,0,,,52,2,156,2.2,150,5.3,,,,,,,,,,,
2013-8-29 11:00:00,36.1,,36.2,35.1,,0,,,142,1.4,178,2.1,170,5.2,,,,,,,,,,,
2013-8-29 10:00:00,35,,35.1,33.3,,0,,,251,2.4,231,2.4,136,4.7,,,,,,,,,,,
2013-8-29 9:00:00,33.2,,33.2,31.4,,0,,,144,2.9,148,1.9,240,4.6,,,,,,,,,,,
2013-8-29 8:00:00,31.4,,31.4,28.9,,0,,,156,1.7,177,1.5,206,4.4,,,,,,,,,,,
2013-8-29 7:00:00,28.9,,28.9,28,,0,,,144,2.4,159,2.4,139,3.7,,,,,,,,,,,
2013-8-29 6:00:00,27.9,,27.9,27.7,,0,,,175,1.3,161,1.3,153,2.9,,,,,,,,,,,
2013-8-29 5:00:00,28,,28.1,27.9,,0,,,142,1.2,168,0.8,142,4.5,,,,,,,,,,,
2013-8-29 4:00:00,28,,28.3,28,,0,,,144,0.8,162,0.9,192,5.4,,,,,,,,,,,
2013-8-29 3:00:00,28.3,,28.4,28.2,,0,,,108,1.6,175,1.3,119,5.3,,,,,,,,,,,
2013-8-29 2:00:00,28.3,,28.6,28.3,,0,,,119,0.8,161,1.7,150,6,,,,,,,,,,,
2013-8-29 1:00:00,28.6,,28.7,28.4,,0,,,130,2.3,161,2.7,198,4.9,,,,,,,,,,,
2013-8-29 00:00:00,28.5,,28.6,28.5,,0,,,88,1.1,155,0.8,164,4.4,,,,,,,,,,,
2013-8-28 23:00:00,28.6,,29,28.6,,0,,,130,2.9,152,1.9,147,6.5,,,,,,,,,,,
2013-8-28 22:00:00,28.9,,29.3,28.9,,0,,,150,2.8,159,1.9,170,5.3,,,,,,,,,,,
2013-8-28 21:00:00,29.4,,29.7,29.3,,0,,,130,2.8,152,1.9,150,5.3,,,,,,,,,,,
2013-8-28 20:00:00,29.7,,30.6,29.7,,0,,,133,2.9,156,1.8,181,5.8,,,,,,,,,,,
2013-8-28 19:00:00,30.6,,31.5,30.6,,0,,,133,1.1,145,1.7,158,5.2,,,,,,,,,,,
2013-8-28 18:00:00,31.6,,33,31.6,,0,,,192,2.1,149,2,156,5.4,,,,,,,,,,,
2013-8-28 17:00:00,33.1,,34.5,33.1,,0,,,206,1.7,159,1.1,175,5.8,,,,,,,,,,,
2013-8-28 16:00:00,34.5,,35.8,34.5,,0,,,161,1.1,183,3.1,153,5.9,,,,,,,,,,,
2013-8-28 15:00:00,35.7,,36.4,35.3,,0,,,181,1.9,189,2.2,229,5.2,,,,,,,,,,,
2013-8-28 14:00:00,36,,36,34.2,,0,,,302,1.2,220,1.7,195,6.4,,,,,,,,,,,
2013-8-28 13:00:00,34.5,,35.2,33.9,,0,,,234,1.1,192,0.7,195,4.2,,,,,,,,,,,
2013-8-28 12:00:00,34.4,,34.8,33.6,,0,,,220,1.3,171,2.4,206,5.5,,,,,,,,,,,
2013-8-28 11:00:00,33.5,,33.6,31.6,,0,,,164,3.4,144,1.9,170,5.4,,,,,,,,,,,
