time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,19.9,,20.2,19.9,,0,,,353,0.7,357,0.9,358,1.4,,,,,,,,,,,
2013-9-1 00:00:00,20.1,,21.8,20,,0,,,277,0.5,289,0.3,38,1.9,,,,,,,,,,,
2013-8-31 23:00:00,21.8,,22.8,21.8,,0,,,32,1.3,33,1,23,4,,,,,,,,,,,
2013-8-31 22:00:00,22.8,,23.6,22.8,,0,,,52,1.4,42,1.7,32,6.3,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.3,23.6,,0,,,46,3.5,33,3.2,46,5.6,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,25.2,24.3,,0,,,40,3,36,3,18,7.4,,,,,,,,,,,
2013-8-31 19:00:00,25.2,,26.2,25.1,,0,,,60,3,40,4,23,7.2,,,,,,,,,,,
2013-8-31 18:00:00,26.2,,27.1,26.2,,0,,,49,3.3,42,4.1,23,8.1,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,28,27.1,,0,,,15,2.8,10,3.3,38,6.7,,,,,,,,,,,
2013-8-31 16:00:00,27.9,,30.4,27.9,,0,,,12,1.3,18,3.2,308,6.5,,,,,,,,,,,
2013-8-31 15:00:00,30,,30.8,29.9,,0,,,353,4.5,351,4.6,336,7.4,,,,,,,,,,,
2013-8-31 14:00:00,30.1,,31,28.7,,0,,,353,2.2,333,2.8,336,7.3,,,,,,,,,,,
2013-8-31 13:00:00,29.7,,30.6,28.8,,0,,,12,4.2,355,3.7,350,7.1,,,,,,,,,,,
2013-8-31 12:00:00,30.1,,30.3,28.3,,0,,,15,3.3,358,4.1,353,5.6,,,,,,,,,,,
2013-8-31 11:00:00,28.5,,28.6,27.3,,0,,,21,3.1,360,2.9,1,7.1,,,,,,,,,,,
