time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.3,,23.7,23.2,,0,,,26,2,23,1.5,35,3.8,,,,,,,,,,,
2013-9-1 00:00:00,23.6,,23.9,23.6,,0,,,7,2.9,15,2.7,26,5.7,,,,,,,,,,,
2013-8-31 23:00:00,23.9,,24,23.8,,0,,,7,4,21,3.3,15,5.7,,,,,,,,,,,
2013-8-31 22:00:00,24,,24.3,24,,0,,,49,2.9,47,3.1,32,7.1,,,,,,,,,,,
2013-8-31 21:00:00,24.3,,24.6,24.3,,0,,,15,3.6,25,3.9,26,7.2,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,24.8,24.6,,0,,,29,4.3,16,3.8,49,7.8,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.1,24.8,,0,,,38,2.7,42,2.8,38,8.1,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,25.8,25.1,,0,,,35,6.2,54,4.4,60,9.3,,,,,,,,,,,
2013-8-31 17:00:00,25.8,,26.9,25.8,,0,,,35,3.2,38,4,9,9.3,,,,,,,,,,,
2013-8-31 16:00:00,26.7,,27.8,26.5,,0,,,32,3.8,44,4.8,32,9.7,,,,,,,,,,,
2013-8-31 15:00:00,27.3,,27.6,26.9,,0,,,7,5.9,22,5.4,49,10,,,,,,,,,,,
2013-8-31 14:00:00,27.4,,27.6,26.8,,0,,,29,7.6,33,5,38,7.9,,,,,,,,,,,
2013-8-31 13:00:00,27.3,,28.5,26.8,,0,,,77,3.9,58,3.6,40,8.3,,,,,,,,,,,
2013-8-31 12:00:00,27.4,,28.5,27.2,,0,,,49,3.6,57,3.9,23,8.1,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.4,27.3,,0,,,7,3.5,9,1.5,12,6.8,,,,,,,,,,,
2013-8-31 10:00:00,27.7,,27.7,26.4,,0,,,341,3.3,338,3.5,18,7,,,,,,,,,,,
2013-8-31 9:00:00,26.6,,26.8,25.7,,0,,,341,3.7,351,3.4,18,6.4,,,,,,,,,,,
2013-8-31 8:00:00,25.7,,26,25.4,,0,,,358,3.5,16,2.5,12,6.5,,,,,,,,,,,
2013-8-31 7:00:00,25.8,,25.8,24.8,,0,,,358,4.9,25,2.5,12,6.7,,,,,,,,,,,
2013-8-31 6:00:00,24.8,,24.8,24.6,,0,,,15,2.4,37,2.2,7,5.9,,,,,,,,,,,
2013-8-31 5:00:00,24.8,,24.9,24.6,,0,,,23,2,24,2.5,12,5.7,,,,,,,,,,,
2013-8-31 4:00:00,24.9,,25,24.9,,0,,,18,1.6,39,2.7,35,7.3,,,,,,,,,,,
2013-8-31 3:00:00,25,,25.1,25,,0,,,29,2.8,35,3.2,38,8.4,,,,,,,,,,,
2013-8-31 2:00:00,25.1,,25.5,25.1,,0,,,38,3.5,46,3.9,38,8.5,,,,,,,,,,,
2013-8-31 1:00:00,25.4,,25.7,25.4,,0,,,74,3,26,3.5,12,8.5,,,,,,,,,,,
2013-8-31 00:00:00,25.7,,26,25.7,,0,,,355,4.6,6,4.4,9,10.1,,,,,,,,,,,
2013-8-30 23:00:00,26,,26.2,26,,0,,,29,4.6,6,4.1,4,8.5,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.5,26.2,,0,,,26,4.7,19,5,18,9,,,,,,,,,,,
2013-8-30 21:00:00,26.5,,27.1,26.5,,0,,,12,5.6,15,6.8,15,10.8,,,,,,,,,,,
2013-8-30 20:00:00,27.1,,27.7,27.1,,0,,,353,3.2,35,5.6,60,10,,,,,,,,,,,
2013-8-30 19:00:00,27.7,,28.4,27.7,,0,,,85,3.6,37,5.9,23,10.5,,,,,,,,,,,
2013-8-30 18:00:00,28.4,,29.1,28.4,,0,,,4,5.4,17,6,52,12,,,,,,,,,,,
2013-8-30 17:00:00,29,,30.1,29,,0,,,49,3.8,19,4.6,38,8.5,,,,,,,,,,,
2013-8-30 16:00:00,30,,30.9,29.9,,0,,,7,3.1,42,3.3,40,8.5,,,,,,,,,,,
2013-8-30 15:00:00,30.3,,30.9,30.3,,0,,,29,6.3,19,5.4,57,9,,,,,,,,,,,
2013-8-30 14:00:00,30.7,,31.7,30.7,,0,,,52,4.3,56,4.5,38,8.9,,,,,,,,,,,
2013-8-30 13:00:00,31,,31.5,29.8,,0,,,46,3.4,37,4.6,32,10.3,,,,,,,,,,,
2013-8-30 12:00:00,30.1,,30.2,29.1,,0,,,23,4.3,36,5.8,29,10.8,,,,,,,,,,,
2013-8-30 11:00:00,29.1,,29.3,28.9,,0,,,83,2.8,38,4,32,8.6,,,,,,,,,,,
