time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.8,,24,23.7,,0,,,32,3.5,38,2.9,1,7.8,19990,,,,,,,,,,
2013-9-1 00:00:00,23.9,,24,23.7,,0,,,29,3.5,23,4.1,4,8,19990,,,,,,,,,,
2013-8-31 23:00:00,23.9,,24.1,23.9,,0,,,38,2.2,21,3.5,18,7.6,19990,,,,,,,,,,
2013-8-31 22:00:00,24.1,,24.1,23.9,,0,,,49,1.8,29,3.1,12,7.4,19990,,,,,,,,,,
2013-8-31 21:00:00,24.2,,24.2,24,,0,,,12,3.8,17,2.9,15,6.9,19990,,,,,,,,,,
2013-8-31 20:00:00,24.2,,24.7,24.2,,0,,,26,2.4,25,2.2,23,8.1,19990,,,,,,,,,,
2013-8-31 19:00:00,24.7,,25.3,24.7,,0,,,358,3.3,20,4.2,26,8.3,19990,,,,,,,,,,
2013-8-31 18:00:00,25.1,,25.9,25.1,,0,,,26,5.3,32,3.7,23,9,19990,,,,,,,,,,
2013-8-31 17:00:00,25.9,,27.2,25.9,,0,,,12,6.9,14,4.5,7,8.9,19990,,,,,,,,,,
2013-8-31 16:00:00,27.1,,27.9,26.7,,0,,,15,3.4,14,4.4,9,8.5,19990,,,,,,,,,,
2013-8-31 15:00:00,27.8,,28.6,27.8,,0,,,353,4.4,15,4.3,15,8.8,16816,,,,,,,,,,
2013-8-31 14:00:00,28.5,,28.7,27.9,,0,,,32,4.6,6,3.9,4,9.3,19990,,,,,,,,,,
2013-8-31 13:00:00,28.7,,28.8,28.2,,0,,,347,2.4,342,4.1,7,7.6,19990,,,,,,,,,,
2013-8-31 12:00:00,28.6,,28.6,27.3,,0,,,341,2.6,353,3.5,330,7.6,19990,,,,,,,,,,
2013-8-31 11:00:00,27.5,,27.9,26.6,,0,,,12,3.8,350,3.9,344,6.1,19407,,,,,,,,,,
2013-8-31 10:00:00,26.6,,27.3,26.2,,0,,,310,2.6,335,3.7,336,5.8,17194,,,,,,,,,,
2013-8-31 9:00:00,26.7,,26.7,25.7,,0,,,7,3,6,3.4,341,5.8,12830,,,,,,,,,,
2013-8-31 8:00:00,25.8,,25.8,24.7,,0,,,330,1.9,332,2.5,358,6.1,17806,,,,,,,,,,
2013-8-31 7:00:00,24.7,,24.9,24.5,,0,,,341,3.3,340,2.8,336,5,19990,,,,,,,,,,
2013-8-31 6:00:00,24.8,,24.8,24.5,,0,,,12,2,6,1.9,29,6.1,17854,,,,,,,,,,
2013-8-31 5:00:00,24.6,,24.7,24.5,,0,,,353,4,351,3.5,4,5.8,19990,,,,,,,,,,
2013-8-31 4:00:00,24.6,,24.7,24.4,,0,,,4,1.9,7,3.5,12,6.9,19990,,,,,,,,,,
2013-8-31 3:00:00,24.6,,24.9,24.6,,0,,,353,4,16,3.8,23,6,19990,,,,,,,,,,
2013-8-31 2:00:00,24.8,,25.1,24.8,,0,,,21,2.2,24,2,15,6.5,19990,,,,,,,,,,
2013-8-31 1:00:00,25.1,,25.3,25.1,,0,,,63,2.9,35,2.5,341,7.9,19990,,,,,,,,,,
2013-8-31 00:00:00,25.3,,25.8,25.3,,0,,,29,2,18,3.7,353,8.6,19990,,,,,,,,,,
2013-8-30 23:00:00,25.9,,26,25.8,,0,,,355,4,354,4.6,18,10.1,19626,,,,,,,,,,
2013-8-30 22:00:00,26,,26.1,25.9,,0,,,4,5.4,359,5.5,1,8.4,15279,,,,,,,,,,
2013-8-30 21:00:00,26,,26.5,26,,0,,,12,3.5,25,3.2,26,9.1,11642,,,,,,,,,,
2013-8-30 20:00:00,26.6,,26.9,26.5,,0,,,4,5.5,8,6,9,11.3,9352,,,,,,,,,,
2013-8-30 19:00:00,26.9,,27.8,26.9,,0,,,355,4.5,14,6.2,23,11,4567,,,,,,,,,,
2013-8-30 18:00:00,27.8,,28.9,27.8,,0,,,9,7.3,13,7,23,12.2,3764,,,,,,,,,,
2013-8-30 17:00:00,28.8,,29.7,28.8,,0,,,21,5.8,21,4.9,12,9.5,3970,,,,,,,,,,
2013-8-30 16:00:00,29.7,,30.4,29.7,,0,,,32,4.8,11,5.4,29,7.4,4463,,,,,,,,,,
2013-8-30 15:00:00,30.3,,31.2,30.3,,0,,,40,3.2,36,2.4,18,7.7,4337,,,,,,,,,,
2013-8-30 14:00:00,31.3,,31.4,30.6,,0,,,18,3.9,15,5.1,15,8.6,4343,,,,,,,,,,
2013-8-30 13:00:00,30.7,,31.4,30.3,,0,,,7,3.5,19,3.7,4,7.5,4339,,,,,,,,,,
2013-8-30 12:00:00,30.5,,30.8,30,,0,,,63,2.3,23,3.5,57,7.3,3780,,,,,,,,,,
2013-8-30 11:00:00,30,,30.1,29.4,,0,,,49,3.1,38,4,7,8.3,3668,,,,,,,,,,
