time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22,,22.3,21.7,,0,,,310,0,0,0,18,1.3,,,,,,,,,,,
2013-9-1 00:00:00,21.9,,22.2,21.8,,0,,,46,0,0,0,29,2.3,,,,,,,,,,,
2013-8-31 23:00:00,22.2,,22.7,22.2,,0,,,4,1.7,12,1.1,341,2.9,,,,,,,,,,,
2013-8-31 22:00:00,22.6,,23.5,22.6,,0,,,60,1.6,37,0.8,38,4.7,,,,,,,,,,,
2013-8-31 21:00:00,23.5,,24.2,23.5,,0,,,99,0.6,68,1.4,57,6.3,,,,,,,,,,,
2013-8-31 20:00:00,24.2,,25,24.2,,0,,,66,3,57,3.8,57,6.9,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.6,25,,0,,,40,3.1,47,3.6,29,7.6,,,,,,,,,,,
2013-8-31 18:00:00,25.6,,26.5,25.6,,0,,,54,4.2,47,5.1,7,8.2,,,,,,,,,,,
2013-8-31 17:00:00,26.5,,28.7,26.5,,0,,,32,5,56,3.4,52,7.8,,,,,,,,,,,
2013-8-31 16:00:00,28.6,,29.4,28.1,,0,,,71,2.9,45,2.9,38,7.1,,,,,,,,,,,
2013-8-31 15:00:00,28.2,,29.6,28.1,,0,,,46,3.2,43,3,40,6.9,,,,,,,,,,,
2013-8-31 14:00:00,28.5,,31.4,28.5,,0,,,94,1.9,62,2.3,68,6.8,,,,,,,,,,,
2013-8-31 13:00:00,30.4,,31,29,,0,,,263,2.4,30,3.6,293,7.5,,,,,,,,,,,
2013-8-31 12:00:00,30,,30,28.1,,0,,,265,1.7,324,2.3,66,5.1,,,,,,,,,,,
2013-8-31 11:00:00,28.2,,29.6,27.8,,0,,,350,1.9,355,2.1,7,5.2,,,,,,,,,,,
2013-8-31 10:00:00,28.6,,28.8,27.5,,0,,,63,2.3,44,2.1,49,6.1,,,,,,,,,,,
2013-8-31 9:00:00,27.3,,28.1,26.4,,0,,,74,2.3,68,2,66,5.6,,,,,,,,,,,
2013-8-31 8:00:00,26.7,,27,25.9,,0,,,353,0.7,343,1.3,52,5.2,,,,,,,,,,,
2013-8-31 7:00:00,26,,26,23.9,,0,,,4,1.3,39,1.6,57,3.7,,,,,,,,,,,
2013-8-31 6:00:00,23.8,,24.1,23.7,,0,,,15,1.5,36,1,52,3.1,,,,,,,,,,,
2013-8-31 5:00:00,24.1,,24.5,24.1,,0,,,49,1.5,36,1.6,52,4.4,,,,,,,,,,,
2013-8-31 4:00:00,24.5,,24.8,24.5,,0,,,119,1,51,1.1,60,5.8,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25.1,24.8,,0,,,66,3.2,45,2.9,38,6.4,,,,,,,,,,,
2013-8-31 2:00:00,25.1,,25.2,25.1,,0,,,105,0.7,55,1.5,63,5.7,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.4,25,,0,,,40,3.9,35,2.1,32,5.3,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.8,25.4,,0,,,49,0.7,40,1.5,23,7.4,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,25.9,25.5,,0,,,57,4.3,38,2.4,46,5.9,,,,,,,,,,,
2013-8-30 22:00:00,25.9,,26.7,25.9,,0,,,52,3.8,43,2.2,26,7.4,,,,,,,,,,,
2013-8-30 21:00:00,26.7,,27.6,26.7,,0,,,49,4.9,27,3.6,52,8.4,,,,,,,,,,,
2013-8-30 20:00:00,27.7,,28.4,27.7,,0,,,122,2.1,60,2.7,46,7,,,,,,,,,,,
2013-8-30 19:00:00,28.4,,29,28.4,,0,,,40,3,43,3.6,49,7.5,,,,,,,,,,,
2013-8-30 18:00:00,29,,29.7,29,,0,,,60,3.8,52,3.4,57,7.8,,,,,,,,,,,
2013-8-30 17:00:00,29.7,,30.9,29.7,,0,,,105,1.6,53,3.5,74,6.8,,,,,,,,,,,
2013-8-30 16:00:00,30.6,,32,30.6,,0,,,97,2.7,64,2.8,83,7.7,,,,,,,,,,,
2013-8-30 15:00:00,32.2,,33.9,31.7,,0,,,63,3.6,48,3.8,52,7,,,,,,,,,,,
2013-8-30 14:00:00,33.4,,33.4,32.1,,0,,,355,2.7,46,2.2,63,8,,,,,,,,,,,
2013-8-30 13:00:00,32.6,,33,31.6,,0,,,38,4.9,55,3.7,26,8.4,,,,,,,,,,,
