time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.4,,22.7,22.3,,0,,,136,0.8,128,1,49,3.7,,,,,,,,,,,
2013-9-1 00:00:00,22.6,,22.7,22,,0,,,32,1.6,39,1.9,32,3.7,,,,,,,,,,,
2013-8-31 23:00:00,22.7,,23.1,22.7,,0,,,46,2.1,49,1.5,21,4.6,,,,,,,,,,,
2013-8-31 22:00:00,23.1,,23.8,23.1,,0,,,26,0,25,1,21,5.5,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.2,23.8,,0,,,35,2.7,52,2.6,66,6.5,,,,,,,,,,,
2013-8-31 20:00:00,24.2,,25,24.2,,0,,,63,1.4,54,2.3,60,7.1,,,,,,,,,,,
2013-8-31 19:00:00,25,,26.1,25,,0,,,43,4,51,2.8,26,6.6,,,,,,,,,,,
2013-8-31 18:00:00,26.1,,27,26.1,,0,,,52,4.1,51,3.6,35,6.8,,,,,,,,,,,
2013-8-31 17:00:00,27,,27.5,27,,0,,,46,2.4,34,2.5,43,7.9,,,,,,,,,,,
2013-8-31 16:00:00,27.5,,29.1,27.5,,0,,,52,3.5,46,3.9,35,7.4,,,,,,,,,,,
2013-8-31 15:00:00,28.6,,29.7,28.6,,0,,,49,0.7,12,1.4,26,7.6,,,,,,,,,,,
2013-8-31 14:00:00,29.4,,29.8,29,,0,,,350,1.9,332,3.6,358,7,,,,,,,,,,,
2013-8-31 13:00:00,29.1,,29.3,28.3,,0,,,299,3.4,351,2.7,358,7,,,,,,,,,,,
2013-8-31 12:00:00,28.6,,28.9,28,,0,,,302,2.6,7,3.4,23,6.5,,,,,,,,,,,
2013-8-31 11:00:00,28,,28,26.5,,0,,,7,3.2,353,2.7,293,6,,,,,,,,,,,
2013-8-31 10:00:00,27,,27,25.7,,0,,,336,1.7,316,1.5,353,6.3,,,,,,,,,,,
2013-8-31 9:00:00,25.7,,25.8,24.9,,0,,,291,2.2,300,3.1,358,6.2,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,24.9,24.3,,0,,,288,3,305,2.2,310,4.7,,,,,,,,,,,
2013-8-31 7:00:00,24.4,,24.4,24.1,,0,,,350,2.4,344,2.1,338,3.5,,,,,,,,,,,
2013-8-31 6:00:00,24.1,,24.5,24.1,,0,,,302,0.8,326,1.8,305,4.6,,,,,,,,,,,
2013-8-31 5:00:00,24.5,,24.7,24.5,,0,,,63,1.3,43,1.3,26,3.4,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,25,24.7,,0,,,38,1.4,37,1.4,21,4.1,,,,,,,,,,,
2013-8-31 3:00:00,25,,25.1,24.8,,0,,,91,1.9,31,1.9,7,5.6,,,,,,,,,,,
2013-8-31 2:00:00,24.9,,25,24.8,,0,,,54,1.7,39,1.9,35,5.3,,,,,,,,,,,
2013-8-31 1:00:00,25,,25.5,25,,0,,,43,1.4,43,2.1,38,5.6,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,25.9,25.5,,0,,,355,2.6,26,2.6,9,7.9,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,26.2,25.8,,0,,,63,3,30,2.6,23,6.2,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,27,26.2,,0,,,63,1.8,24,2.8,9,8.2,,,,,,,,,,,
2013-8-30 21:00:00,27.1,,28,27.1,,0,,,54,3.2,43,2.4,52,8,,,,,,,,,,,
2013-8-30 20:00:00,28,,28.7,28,,0,,,49,3.1,41,3.4,35,8.6,,,,,,,,,,,
2013-8-30 19:00:00,28.7,,29.3,28.7,,0,,,358,4.1,43,2.9,54,6.4,,,,,,,,,,,
2013-8-30 18:00:00,29.3,,29.8,29.3,,0,,,54,3.4,46,3.4,85,7.7,,,,,,,,,,,
2013-8-30 17:00:00,29.8,,31.1,29.8,,0,,,74,1.9,39,3,26,7.1,,,,,,,,,,,
2013-8-30 16:00:00,31,,31.4,31,,0,,,35,3.7,49,2.9,38,6.5,,,,,,,,,,,
2013-8-30 15:00:00,31.1,,31.5,31.1,,0,,,91,3.2,62,2.6,60,6.4,,,,,,,,,,,
2013-8-30 14:00:00,31.4,,31.9,31.3,,0,,,32,3.7,37,2.3,9,7.9,,,,,,,,,,,
2013-8-30 13:00:00,31.5,,31.6,31,,0,,,23,2.2,27,3.9,18,7.4,,,,,,,,,,,
2013-8-30 12:00:00,31.2,,31.4,30.2,,0,,,68,4.1,52,4.1,29,7.6,,,,,,,,,,,
2013-8-30 11:00:00,30.2,,30.6,30.2,,0,,,46,3.5,43,3.1,40,6.4,,,,,,,,,,,
2013-8-30 10:00:00,30.3,,31,30.3,,0,,,9,3.7,40,2.5,21,8,,,,,,,,,,,
2013-8-30 9:00:00,30.4,,30.4,28.8,,0,,,9,4.7,30,3.5,35,7.7,,,,,,,,,,,
2013-8-30 8:00:00,28.9,,28.9,27.7,,0,,,21,2.8,12,0.5,40,4.6,,,,,,,,,,,
2013-8-30 7:00:00,27.7,,27.7,27.5,,0.2,,,23,0.9,14,1,35,2.9,,,,,,,,,,,
2013-8-30 6:00:00,27.6,,27.6,27.2,,0.2,,,265,1.4,272,1.1,271,1.6,,,,,,,,,,,
2013-8-30 5:00:00,27.2,,27.3,27.2,,0,,,54,0,0,0,97,1.5,,,,,,,,,,,
2013-8-30 4:00:00,27.3,,27.5,27.2,,0,,,74,1.3,66,1.2,77,2.5,,,,,,,,,,,
2013-8-30 3:00:00,27.5,,27.6,27.4,,0,,,60,1.1,72,1.1,130,2.3,,,,,,,,,,,
2013-8-30 2:00:00,27.5,,27.5,27.4,,0,,,102,0,0,0,80,1.4,,,,,,,,,,,
2013-8-30 1:00:00,27.4,,27.4,27.2,,0,,,99,0,106,0,99,0,,,,,,,,,,,
2013-8-30 00:00:00,27.4,,27.5,27.4,,0,,,97,0,0,0,97,0,,,,,,,,,,,
2013-8-29 23:00:00,27.5,,27.6,27.5,,0,,,74,0,0,0,74,0,,,,,,,,,,,
2013-8-29 22:00:00,27.7,,27.7,27.4,,0,,,263,0,0,0,279,2.8,,,,,,,,,,,
2013-8-29 21:00:00,27.4,,27.6,27.4,,0,,,350,0,0,0,181,2.5,,,,,,,,,,,
2013-8-29 20:00:00,27.5,,27.6,27,,0,,,293,1,334,0.4,35,4.6,,,,,,,,,,,
2013-8-29 19:00:00,27,,27.1,26.1,,1.4,,,60,0,0,0,156,3.1,,,,,,,,,,,
2013-8-29 18:00:00,26.1,,31.8,25.9,,8.6,,,156,1.6,158,0.8,279,8.7,,,,,,,,,,,
2013-8-29 17:00:00,31.8,,33,31.8,,0,,,57,2.5,75,2.6,111,5.4,,,,,,,,,,,
2013-8-29 16:00:00,33,,33.9,33,,0,,,128,2,145,2.1,142,5.5,,,,,,,,,,,
2013-8-29 15:00:00,33.8,,34.7,33.7,,0,,,153,3.1,140,2.7,136,5.9,,,,,,,,,,,
2013-8-29 14:00:00,34.7,,34.9,34.1,,0,,,130,3.9,136,3.3,170,4.8,,,,,,,,,,,
2013-8-29 13:00:00,34,,34,33,,0,,,184,2.3,172,2.1,246,5.8,,,,,,,,,,,
2013-8-29 12:00:00,33.3,,33.7,32.8,,0,,,175,2.2,163,2.5,203,5.5,,,,,,,,,,,
2013-8-29 11:00:00,32.7,,33,32.2,,0,,,178,2.8,178,2,153,6.4,,,,,,,,,,,
2013-8-29 10:00:00,32.5,,32.5,31.5,,0,,,125,2.8,148,3.5,203,6.2,,,,,,,,,,,
2013-8-29 9:00:00,31.8,,32,30.7,,0,,,215,2.7,207,2.3,164,3.8,,,,,,,,,,,
2013-8-29 8:00:00,30.8,,30.8,28.5,,0,,,212,0.7,168,1.7,130,3.5,,,,,,,,,,,
2013-8-29 7:00:00,28.4,,28.4,26.9,,0,,,116,0,160,0.2,156,2.3,,,,,,,,,,,
2013-8-29 6:00:00,26.9,,27,26.8,,0,,,153,0,0,0,161,2.7,,,,,,,,,,,
2013-8-29 5:00:00,27,,27.3,27,,0,,,139,1.4,156,1.2,130,2.8,,,,,,,,,,,
2013-8-29 4:00:00,27.3,,27.7,27.3,,0,,,173,1.6,165,1.2,167,3.1,,,,,,,,,,,
2013-8-29 3:00:00,27.7,,27.9,27.6,,0,,,139,1.1,163,1.8,164,4,,,,,,,,,,,
2013-8-29 2:00:00,27.9,,28.2,27.9,,0,,,220,1.7,156,1.9,153,4.6,,,,,,,,,,,
2013-8-29 1:00:00,28.2,,28.3,28.1,,0,,,212,2.3,176,2.2,175,5.9,,,,,,,,,,,
2013-8-29 00:00:00,28.1,,28.3,28.1,,0,,,158,2.1,164,2.1,175,5.2,,,,,,,,,,,
2013-8-28 23:00:00,28.2,,28.4,28.2,,0,,,164,1.7,153,2.5,167,6,,,,,,,,,,,
2013-8-28 22:00:00,28.4,,28.5,28.4,,0,,,184,3,152,3.9,156,6.2,,,,,,,,,,,
2013-8-28 21:00:00,28.5,,28.7,28.4,,0,,,170,2.5,151,2.6,173,5.3,,,,,,,,,,,
2013-8-28 20:00:00,28.7,,29.2,28.7,,0,,,173,2,153,3,144,5.7,,,,,,,,,,,
2013-8-28 19:00:00,29.2,,30.3,29.2,,0,,,212,1.3,138,1.8,158,5.6,,,,,,,,,,,
2013-8-28 18:00:00,30.3,,31.5,30.3,,0,,,156,3,141,2.8,133,6,,,,,,,,,,,
2013-8-28 17:00:00,31.5,,32.1,31.5,,0,,,156,2.3,147,2.4,161,7.1,,,,,,,,,,,
2013-8-28 16:00:00,32,,32.9,32,,0,,,201,2.3,174,3.7,139,7,,,,,,,,,,,
2013-8-28 15:00:00,33.1,,33.3,32.8,,0,,,153,4.3,145,3.5,150,5.9,,,,,,,,,,,
2013-8-28 14:00:00,33.1,,33.2,32.5,,0,,,167,3.2,165,3.5,144,5.8,,,,,,,,,,,
2013-8-28 13:00:00,32.9,,33.4,32.3,,0,,,175,2.8,154,3.3,158,5.8,,,,,,,,,,,
2013-8-28 12:00:00,32.6,,32.6,31.7,,0,,,189,2.3,161,1.4,130,5.7,,,,,,,,,,,
2013-8-28 11:00:00,32.3,,32.3,31.1,,0,,,105,3.8,127,2.9,175,5.6,,,,,,,,,,,
2013-8-28 10:00:00,31.1,,31.1,29.7,,0,,,108,2.1,157,3.8,161,5.9,,,,,,,,,,,
