time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.4,15.4,23.7,23.3,,0,61,58,62,3.4,58,3,79,6.1,50000,,,,,,,,,,
2013-9-1 00:00:00,23.7,14.9,23.9,23.6,,0,58,58,11,3,45,3.5,79,6.9,50000,,,,,,,,,,
2013-8-31 23:00:00,23.9,15.3,24.2,23.9,,0,59,56,39,4.6,62,4.4,214,8.2,50000,,,,,,,,,,
2013-8-31 22:00:00,24.1,15.1,24.4,24.1,,0,57,57,56,4.8,22,3.3,84,8.8,50000,,,,,,,,,,
2013-8-31 21:00:00,24.3,15.3,24.7,24.3,,0,57,54,39,2.4,46,6,79,11,49117,,,,,,,,,,
2013-8-31 20:00:00,24.7,15.3,25.3,24.7,,0,56,51,45,6.8,54,5.7,73,11.7,50000,,,,,,,,,,
2013-8-31 19:00:00,25.3,14.9,25.9,25.3,,0,52,51,45,6.3,65,4.6,68,11.9,44830,,,,,,,,,,
2013-8-31 18:00:00,25.9,16.2,26.8,25.8,,0,55,50,90,4.2,52,7.4,79,12.6,50000,,,,,,,,,,
2013-8-31 17:00:00,26.6,16.2,28.1,26.6,,0,53,45,51,6.3,45,5.5,96,11.4,50000,,,,,,,,,,
2013-8-31 16:00:00,28.3,15.6,28.3,27.7,,0,46,44,23,5.8,30,2.9,129,8.8,49952,,,,,,,,,,
2013-8-31 15:00:00,27.9,15.3,28.9,27.9,,0,46,45,11,3.9,23,4,68,8.4,37879,,,,,,,,,,
2013-8-31 14:00:00,28.4,15.9,29.4,28.2,,0,47,41,17,3.2,41,3.3,146,11.4,50000,,,,,,,,,,
2013-8-31 13:00:00,28.9,15.2,29.1,28.6,,0,43,42,34,5.4,15,3.1,45,7.3,50000,,,,,,,,,,
2013-8-31 12:00:00,29,15.3,29,27.6,,0,43,43,360,3.6,32,2.5,62,7.4,48251,,,,,,,,,,
2013-8-31 11:00:00,27.6,16.9,27.6,26.6,,0,52,52,51,1.9,358,2.5,62,6.2,42249,,,,,,,,,,
2013-8-31 10:00:00,26.8,17.9,27.4,26.1,,0,58,57,17,2.5,0,1.7,79,9.1,50000,,,,,,,,,,
2013-8-31 9:00:00,26.8,19.1,26.8,25.8,,0,62,62,152,5,22,2.4,96,7.2,30719,,,,,,,,,,
2013-8-31 8:00:00,25.9,19.4,25.9,25.2,,0,67,67,68,0,33,0.9,113,7.8,35847,,,,,,,,,,
2013-8-31 7:00:00,25.3,19.6,25.3,24.5,,0,71,70,45,5.6,55,4.9,68,7.6,43201,,,,,,,,,,
2013-8-31 6:00:00,24.5,19.6,24.7,24.4,,0,74,73,39,5,47,3.8,79,7.5,50000,,,,,,,,,,
2013-8-31 5:00:00,24.6,19.5,24.9,24.5,,0,73,72,68,5.5,54,4.2,107,8,47205,,,,,,,,,,
2013-8-31 4:00:00,24.8,19.7,25,24.8,,0,73,72,45,2.5,54,5.4,84,9.7,46562,,,,,,,,,,
2013-8-31 3:00:00,25,20,25.3,25,,0,74,72,62,6.1,54,4.9,84,9.5,50000,,,,,,,,,,
2013-8-31 2:00:00,25.2,19.9,25.8,25.2,,0,73,70,56,2.6,44,5.2,124,10,42310,,,,,,,,,,
2013-8-31 1:00:00,25.7,19.9,25.9,25.6,,0,70,68,45,5.3,34,4.6,68,9.9,47034,,,,,,,,,,
2013-8-31 00:00:00,25.9,19.6,26.3,25.9,,0,68,67,73,4,12,2.5,79,11.2,46923,,,,,,,,,,
2013-8-30 23:00:00,26.1,20.5,26.4,26.1,,0,71,70,51,6.1,38,4.4,96,10.4,42769,,,,,,,,,,
2013-8-30 22:00:00,26.3,20.3,26.8,26.3,,0,70,69,349,4.3,32,5.8,51,11.1,32919,,,,,,,,,,
2013-8-30 21:00:00,26.7,22,27.5,26.7,,0,76,75,56,3.5,42,5.2,101,12.5,16722,,,,,,,,,,
2013-8-30 20:00:00,27.5,22.9,28.5,27.5,,0,76,74,79,7.8,49,7.2,118,13.7,12606,,,,,,,,,,
2013-8-30 19:00:00,28.5,23.8,29.1,28.5,,0,76,72,68,4.3,45,4.4,152,11.5,11649,,,,,,,,,,
2013-8-30 18:00:00,29.1,23.6,29.6,29.1,,0,72,68,45,10.9,47,6.4,90,11.9,11359,,,,,,,,,,
2013-8-30 17:00:00,29.6,23.3,30.6,29.6,,0,69,65,79,4.5,54,7.2,191,11.7,15007,,,,,,,,,,
2013-8-30 16:00:00,30.6,23.3,31.4,30.6,,0,65,60,62,7.2,63,6.6,84,11.4,13531,,,,,,,,,,
2013-8-30 15:00:00,31.1,22.4,31.5,31.1,,0,60,56,360,2.1,40,5.5,101,12,13720,,,,,,,,,,
2013-8-30 14:00:00,31.6,21.9,31.8,31.2,,0,56,55,23,3.5,33,5.2,107,13.8,15725,,,,,,,,,,
2013-8-30 13:00:00,31.4,22,31.7,30.3,,0,57,57,17,5.5,26,5.6,68,10.2,14923,,,,,,,,,,
2013-8-30 12:00:00,30.3,23.1,30.5,29.9,,0,65,64,45,6.5,51,6.8,90,11.5,14238,,,,,,,,,,
2013-8-30 11:00:00,30,23.8,30.2,29.9,,0,70,65,56,5.8,42,4.8,73,12,16029,,,,,,,,,,
2013-8-30 10:00:00,30.2,22.9,30.6,29.9,,0,65,63,28,3.6,37,4.3,107,11.2,16326,,,,,,,,,,
2013-8-30 9:00:00,30,22.7,30,28.6,,0,65,65,56,7,49,7.6,73,11.4,16649,,,,,,,,,,
2013-8-30 8:00:00,28.9,26.1,28.9,28.1,,0,85,85,28,4.2,48,2.8,62,6.6,12476,,,,,,,,,,
2013-8-30 7:00:00,28.1,26.4,28.2,27.8,,0.2,90,90,34,1.8,31,2,39,5.8,12427,,,,,,,,,,
