time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.4,,23.6,23.3,,0,,,327,1.1,289,1.1,35,3,,,,,,,,,,,
2013-9-1 00:00:00,23.6,,23.6,23.1,,0,,,164,0.5,316,0.2,282,3.6,,,,,,,,,,,
2013-8-31 23:00:00,23.6,,23.8,23.5,,0,,,299,0.1,307,0.6,350,3.3,,,,,,,,,,,
2013-8-31 22:00:00,23.8,,24,23.7,,0,,,80,0.4,314,0.7,310,4.9,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.1,23.9,,0,,,308,0.5,290,0.8,265,4.4,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.6,24,,0,,,353,0.7,323,0.7,277,4.4,,,,,,,,,,,
2013-8-31 19:00:00,24.6,,25.2,24.6,,0,,,32,0.8,302,0.6,319,4.5,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,25.9,25.2,,0,,,265,0.4,307,1.3,23,4.7,,,,,,,,,,,
2013-8-31 17:00:00,25.9,,27.1,25.9,,0,,,195,0.8,311,1.4,296,5.7,,,,,,,,,,,
2013-8-31 16:00:00,26.5,,27.7,26.5,,0,,,279,1.9,274,1.4,310,7.2,,,,,,,,,,,
2013-8-31 15:00:00,27.4,,28.4,27.4,,0,,,260,1.8,264,2,232,5.5,,,,,,,,,,,
2013-8-31 14:00:00,28.1,,28.3,27.1,,0,,,32,1.3,327,1.2,215,7.1,,,,,,,,,,,
2013-8-31 13:00:00,27.6,,29.1,27.5,,0,,,23,0.8,321,1.9,265,4.7,,,,,,,,,,,
2013-8-31 12:00:00,28.1,,28.4,27,,0,,,310,1.9,305,2,237,5.7,,,,,,,,,,,
2013-8-31 11:00:00,27.4,,28.6,26.7,,0,,,268,1.1,305,1,285,3.5,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,27.1,25.6,,0,,,344,1.1,323,1.5,240,5.2,,,,,,,,,,,
2013-8-31 9:00:00,25.6,,26.2,25.4,,0,,,189,0.4,320,1.3,347,3.6,,,,,,,,,,,
2013-8-31 8:00:00,25.3,,25.3,24.6,,0,,,46,0.5,4,0.4,195,2.8,,,,,,,,,,,
