time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.1,,22.9,22.1,,0,,,355,1.3,3,0.7,32,3,,,,,,,,,,,
2013-9-1 00:00:00,22.9,,23.4,22.9,,0,,,18,1,12,1.2,23,4.8,,,,,,,,,,,
2013-8-31 23:00:00,23.4,,23.6,23.4,,0,,,46,1.9,25,1.9,21,4.4,,,,,,,,,,,
2013-8-31 22:00:00,23.6,,24.1,23.6,,0,,,18,2.5,21,2,12,5.9,,,,,,,,,,,
2013-8-31 21:00:00,24.1,,24.6,24,,0,,,29,2.5,27,2.6,38,6.8,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,24.9,24.6,,0,,,353,1.2,19,2.4,15,6.3,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.4,24.9,,0,,,40,3.1,34,3.3,60,8.3,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26.1,25.3,,0,,,32,3.3,34,3.1,46,8.7,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,27.2,26.1,,0,,,54,3.9,29,4.5,23,8.4,,,,,,,,,,,
2013-8-31 16:00:00,27.1,,28.5,27.1,,0,,,60,4.1,31,4.1,71,9.8,,,,,,,,,,,
2013-8-31 15:00:00,27.9,,28.1,26.8,,0,,,7,4.2,27,4,12,7.7,,,,,,,,,,,
2013-8-31 14:00:00,27.5,,28.4,26.7,,0,,,40,5,42,3.3,1,7.8,,,,,,,,,,,
2013-8-31 13:00:00,27.3,,29.1,27.3,,0,,,57,2.4,38,2.8,46,6.5,,,,,,,,,,,
2013-8-31 12:00:00,28.3,,28.9,27.9,,0,,,29,1.9,17,3,18,6.3,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.9,27.5,,0,,,15,2.8,23,3.4,54,7.1,,,,,,,,,,,
2013-8-31 10:00:00,27.7,,28,26.7,,0,,,40,4.1,33,3.8,38,7,,,,,,,,,,,
2013-8-31 9:00:00,26.8,,27,25.9,,0,,,341,1.6,8,3.2,353,6.6,,,,,,,,,,,
2013-8-31 8:00:00,26.3,,26.4,25.2,,0,,,7,2.6,4,3.6,355,5.9,,,,,,,,,,,
2013-8-31 7:00:00,25.2,,25.3,24.4,,0,,,15,3.3,28,2.8,29,5,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.6,24.3,,0,,,52,2.3,22,2.1,40,5,,,,,,,,,,,
2013-8-31 5:00:00,24.6,,24.9,24.6,,0,,,12,1.3,33,1.8,18,6.3,,,,,,,,,,,
2013-8-31 4:00:00,24.9,,25,24.9,,0,,,38,2,35,3.2,15,7.3,,,,,,,,,,,
2013-8-31 1:00:00,25.4,,25.7,25.3,,0,,,18,3.8,25,3.1,9,8.3,,,,,,,,,,,
