time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.4,,23.5,23.3,,0,,,347,0.4,61,0.9,83,4.3,,,,,,,,,,,
2013-9-1 00:00:00,23.5,,23.6,23.4,,0,,,234,0.9,192,1.3,68,3.9,,,,,,,,,,,
2013-8-31 23:00:00,23.6,,23.8,23.6,,0,,,66,1.8,126,0.8,15,4.8,,,,,,,,,,,
2013-8-31 22:00:00,23.6,,24,23.5,,0,,,128,1.7,96,1.1,40,3.4,,,,,,,,,,,
2013-8-31 21:00:00,23.9,,24.3,23.8,,0,,,229,1,149,1.2,102,3.2,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.7,24.2,,0,,,322,0,89,0.1,26,4.7,,,,,,,,,,,
2013-8-31 19:00:00,24.7,,25.2,24.7,,0,,,282,0.3,61,1.2,68,6.8,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,25.8,25.2,,0,,,333,1.5,85,1.2,99,5.5,,,,,,,,,,,
2013-8-31 17:00:00,25.8,,27,25.8,,0,,,12,0.1,138,1.4,133,4.9,,,,,,,,,,,
2013-8-31 16:00:00,26.9,,28.3,26.9,,0,,,139,1.9,165,1.5,203,5.3,,,,,,,,,,,
2013-8-31 15:00:00,28.2,,30,27.7,,0,,,102,0.9,146,1.8,66,5.2,,,,,,,,,,,
2013-8-31 14:00:00,29.5,,30.6,27.6,,0,,,164,1.6,134,1.3,319,4.7,,,,,,,,,,,
2013-8-31 13:00:00,27.9,,30.2,27.9,,0,,,52,0.1,74,0.7,113,5.4,,,,,,,,,,,
2013-8-31 12:00:00,29.5,,29.8,27.4,,0,,,167,0.5,150,0.9,63,4.7,,,,,,,,,,,
2013-8-31 11:00:00,28.3,,29,27.2,,0,,,57,0,136,0.5,97,5.4,,,,,,,,,,,
2013-8-31 10:00:00,27.4,,27.4,25.5,,0,,,125,0,79,1.2,7,4.4,,,,,,,,,,,
