time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.6,,23.7,23.4,,0,,,29,0,48,0.3,330,2.1,,,,,,,,,,,
2013-9-1 00:00:00,23.4,,23.6,23,,0,,,355,0.3,52,0.8,29,2.4,,,,,,,,,,,
2013-8-31 23:00:00,23.6,,23.8,23.4,,0,,,282,0,0,0,7,2.1,,,,,,,,,,,
2013-8-31 22:00:00,23.6,,24.1,23.5,,0,,,195,0.2,325,0.5,32,3.5,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.3,23.7,,0,,,15,0.4,0,0,336,1.6,,,,,,,,,,,
2013-8-31 20:00:00,24,,25,24,,0,,,324,0.6,232,0.3,164,2.9,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.5,25,,0,,,7,0,95,0.3,257,3.8,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.4,25.5,,0,,,327,0.6,336,1.1,49,4.1,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.3,26.4,,0,,,23,0.9,30,0.7,83,4.3,,,,,,,,,,,
2013-8-31 16:00:00,27.3,,28,27.1,,0,,,52,1,32,0.4,153,3.1,,,,,,,,,,,
2013-8-31 15:00:00,27.8,,28.7,27.5,,0,,,322,0.8,345,1.1,7,3.9,,,,,,,,,,,
2013-8-31 14:00:00,28.8,,29.1,27.8,,0,,,350,1,29,1.4,52,2.4,,,,,,,,,,,
2013-8-31 13:00:00,28.6,,29.7,27.7,,0,,,38,0.5,8,0.1,68,2.9,,,,,,,,,,,
2013-8-31 12:00:00,27.7,,29.4,27.3,,0,,,347,0.1,309,0.2,302,1.9,,,,,,,,,,,
2013-8-31 11:00:00,28.3,,28.7,27.3,,0,,,344,0.4,351,0.4,97,4.2,,,,,,,,,,,
2013-8-31 10:00:00,27.3,,27.7,26.7,,0,,,133,0.3,205,0.3,229,2.3,,,,,,,,,,,
2013-8-31 9:00:00,27,,27,25.5,,0,,,344,0.6,10,0.5,164,1.9,,,,,,,,,,,
2013-8-31 8:00:00,26.2,,26.2,25.1,,0,,,26,0,0,0,116,1.7,,,,,,,,,,,
