time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,25.6,14.6,25.7,25.5,,0,51,48,45,3.8,23,2.5,62,7.6,,,,,,,,,,,
2013-9-1 00:00:00,25.6,14.7,25.8,25.6,,0,51,49,39,2.9,10,4.3,56,8.6,,,,,,,,,,,
2013-8-31 23:00:00,25.8,14.6,25.9,25.7,,0,50,48,6,3.3,10,3.9,34,8.5,,,,,,,,,,,
2013-8-31 22:00:00,25.9,14.6,26.1,25.9,,0,50,48,11,3.7,13,5.2,51,8.2,,,,,,,,,,,
2013-8-31 21:00:00,26.1,14.7,26.3,26,,0,50,49,17,3.1,32,4.3,84,7.6,,,,,,,,,,,
2013-8-31 20:00:00,26.3,15.4,26.5,26.3,,0,51,48,62,4.4,28,3.5,62,8.1,,,,,,,,,,,
2013-8-31 19:00:00,26.6,15.2,27.2,26.6,,0,49,46,6,4.1,29,4.1,45,8.5,,,,,,,,,,,
2013-8-31 18:00:00,27.2,14.7,27.6,27,,0,46,44,11,3.7,22,3.5,34,10.2,,,,,,,,,,,
2013-8-31 17:00:00,27.6,15.8,28.8,27.5,,0,49,42,56,3.8,15,4.3,28,8.8,,,,,,,,,,,
2013-8-31 16:00:00,28.5,16,29.8,28.1,,0,46,38,332,3.6,345,3.8,56,10.2,,,,,,,,,,,
2013-8-31 15:00:00,29.7,13.8,30.2,29.1,,0,38,35,338,1.7,336,4.2,56,8.9,,,,,,,,,,,
2013-8-31 14:00:00,29.6,14.1,30.6,29,,0,39,37,28,6,22,6.5,79,9.6,,,,,,,,,,,
2013-8-31 13:00:00,30.3,16.1,30.3,28.7,,0,42,42,326,2.1,329,3.7,34,8.7,,,,,,,,,,,
2013-8-31 12:00:00,29.1,17.7,30.4,28.7,,0,50,46,321,4.5,358,2.9,101,7.1,,,,,,,,,,,
2013-8-31 11:00:00,28.8,17.1,29.4,28.1,,0,49,49,28,4,29,4.2,62,7.3,,,,,,,,,,,
2013-8-31 10:00:00,28.6,17.7,29,27.4,,0,52,51,315,2.5,6,3.3,174,7.2,,,,,,,,,,,
2013-8-31 9:00:00,27.6,18.7,27.8,26.9,,0,58,57,6,1.5,342,2.6,34,5.9,,,,,,,,,,,
2013-8-31 8:00:00,26.9,19,26.9,26.3,,0,62,62,293,3,345,3.3,56,6.4,,,,,,,,,,,
2013-8-31 7:00:00,26.3,19,26.4,26.2,,0,64,63,34,2.1,11,3.6,34,7.7,,,,,,,,,,,
2013-8-31 6:00:00,26.2,18.9,26.4,26.2,,0,64,63,360,5.3,15,3.4,34,6.2,,,,,,,,,,,
2013-8-31 5:00:00,26.3,18.9,26.4,26.3,,0,64,63,326,4.1,339,2.7,34,5.9,,,,,,,,,,,
2013-8-31 4:00:00,26.4,19.1,26.5,26.3,,0,64,63,11,3.4,10,2.7,62,7.4,,,,,,,,,,,
2013-8-31 3:00:00,26.5,19.2,26.7,26.5,,0,64,64,343,3.1,14,3.4,101,8.3,,,,,,,,,,,
2013-8-31 2:00:00,26.7,19.5,26.8,26.6,,0,65,63,39,3.4,27,3.9,56,9.2,,,,,,,,,,,
2013-8-31 1:00:00,26.9,19.4,27.2,26.8,,0,64,63,62,2.6,332,3.6,68,10.4,,,,,,,,,,,
2013-8-31 00:00:00,27.2,19.5,27.5,27.2,,0,63,62,28,5.2,15,4.6,163,8.3,,,,,,,,,,,
2013-8-30 23:00:00,27.5,19.7,27.5,27.4,,0,62,62,45,6.3,16,5.4,39,9.9,,,,,,,,,,,
2013-8-30 22:00:00,27.5,20.5,27.8,27.5,,0,66,63,298,1.3,9,4.8,62,10.1,,,,,,,,,,,
2013-8-30 21:00:00,27.8,20.4,28.3,27.8,,0,64,64,354,4.5,20,5.7,45,12.4,,,,,,,,,,,
2013-8-30 20:00:00,28.2,22.2,29.1,28.2,,0,70,69,45,4.6,346,3.9,51,10.8,,,,,,,,,,,
2013-8-30 19:00:00,29.1,23.2,30,29.1,,0,71,68,343,4.6,22,5.1,45,12.2,,,,,,,,,,,
2013-8-30 18:00:00,30.1,23.7,30.8,30.1,,0,69,65,17,7.7,15,5.5,39,11,,,,,,,,,,,
2013-8-30 17:00:00,30.8,23.3,31.4,30.8,,0,65,62,23,4.3,37,4.6,68,8.7,,,,,,,,,,,
2013-8-30 16:00:00,31.4,23.3,31.9,31.3,,0,62,59,34,5.4,17,4,68,9.4,,,,,,,,,,,
2013-8-30 15:00:00,31.9,23.3,32.5,31.8,,0,60,58,23,4.2,38,4,56,8.6,,,,,,,,,,,
2013-8-30 14:00:00,32.4,23.6,33.2,31.9,,0,60,54,360,3.6,32,4,11,11,,,,,,,,,,,
2013-8-30 13:00:00,32,22.9,32.4,31.6,,0,59,57,354,4.5,21,4.3,56,10.1,,,,,,,,,,,
