time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.7,23.3,,0,,,38,0,103,0.3,35,4.1,,,,,,,,,,,
2013-9-1 00:00:00,23.5,,23.6,23.3,,0,,,15,0.7,351,0.6,338,5.2,,,,,,,,,,,
2013-8-31 23:00:00,23.4,,23.6,23.4,,0,,,88,0.4,56,0.1,83,3.5,,,,,,,,,,,
2013-8-31 22:00:00,23.6,,23.8,23.6,,0,,,91,0.1,0,0,60,5,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.1,23.7,,0,,,322,0.8,64,1.3,60,5.3,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.7,24.1,,0,,,29,1.3,61,1.5,40,5.6,,,,,,,,,,,
2013-8-31 19:00:00,24.7,,25.4,24.7,,0,,,63,0,0,0,12,5.3,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26,25.4,,0,,,319,1.9,25,2.1,32,6.8,,,,,,,,,,,
2013-8-31 17:00:00,26,,27.8,26,,0,,,313,0.1,19,1.3,302,6.6,,,,,,,,,,,
2013-8-31 16:00:00,27.1,,28.3,27.1,,0,,,12,0.6,31,1.3,355,7.7,,,,,,,,,,,
2013-8-31 15:00:00,28.3,,28.3,27.1,,0,,,299,2.7,9,2.8,355,5.7,,,,,,,,,,,
2013-8-31 14:00:00,27.3,,28.6,27,,0,,,32,2.5,4,2,9,6.2,,,,,,,,,,,
2013-8-31 13:00:00,27.8,,28.4,27.6,,0,,,355,1.6,331,1.8,74,6.1,,,,,,,,,,,
2013-8-31 12:00:00,27.8,,27.9,26.4,,0,,,344,1.3,1,0.9,46,4.9,,,,,,,,,,,
2013-8-31 11:00:00,26.5,,27.4,26.1,,0,,,355,2,339,0.8,299,5,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,26.8,25.8,,0,,,302,1.4,335,1.5,353,4.3,,,,,,,,,,,
2013-8-31 9:00:00,25.8,,26.1,25.1,,0,,,319,0.5,1,1.7,344,3.8,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.2,24.4,,0,,,341,0.3,15,0.9,18,3.4,,,,,,,,,,,
2013-8-31 7:00:00,24.4,,24.5,24.4,,0,,,336,1,0,0.5,347,3.6,,,,,,,,,,,
2013-8-31 6:00:00,24.4,,24.4,24.2,,0,,,322,1.7,14,1.1,355,4.4,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.5,24.3,,0,,,83,0,0,0,119,2.8,,,,,,,,,,,
2013-8-31 4:00:00,24.5,,24.9,24.5,,0,,,38,0.9,58,0.3,327,3.7,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25.1,24.9,,0,,,1,0.1,0,0,341,5.8,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.1,25,,0,,,327,1.3,31,0.3,26,5.7,,,,,,,,,,,
2013-8-31 1:00:00,25.1,,25.5,25.1,,0,,,29,2.4,21,1.4,338,5.8,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,25.7,25.5,,0,,,344,3,5,2.2,358,5.9,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,26.1,25.7,,0,,,358,2.8,1,2.5,9,6.5,,,,,,,,,,,
2013-8-30 22:00:00,26,,26.2,26,,0,,,358,0.5,30,0.8,49,5.7,,,,,,,,,,,
2013-8-30 21:00:00,26.2,,27,26.2,,0,,,71,0.8,58,2.1,7,6.8,,,,,,,,,,,
2013-8-30 20:00:00,27,,27.7,27,,0,,,83,0.5,5,2.6,23,7.8,,,,,,,,,,,
2013-8-30 19:00:00,27.7,,28.5,27.7,,0,,,355,2.3,11,1.5,347,6.7,,,,,,,,,,,
2013-8-30 18:00:00,28.5,,29.5,28.5,,0,,,7,1,37,1.6,83,6.6,,,,,,,,,,,
2013-8-30 17:00:00,29.5,,29.9,29.3,,0,,,54,0.4,30,0.4,23,5.3,,,,,,,,,,,
2013-8-30 16:00:00,29.9,,30.7,29.9,,0,,,49,1.5,58,1.2,344,5.9,,,,,,,,,,,
2013-8-30 15:00:00,30.6,,31.2,30.6,,0,,,83,0.8,71,2,63,4.9,,,,,,,,,,,
2013-8-30 14:00:00,31.2,,32,30.9,,0,,,77,2.1,63,1.9,130,6.4,,,,,,,,,,,
2013-8-30 13:00:00,31,,31.3,30.4,,0,,,108,1.7,65,1.3,60,5.2,,,,,,,,,,,
