time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.7,,22.7,21.9,,0,,,35,1.6,36,2.2,35,4,,,,,,,,,,,
2013-9-1 00:00:00,21.9,,22.2,21.8,,0,,,353,2.2,15,2.1,21,4,,,,,,,,,,,
2013-8-31 23:00:00,22.2,,23,22.2,,0,,,29,2.1,24,2,23,6.7,,,,,,,,,,,
2013-8-31 22:00:00,22.9,,23.3,22.8,,0,,,353,2.4,4,2.5,9,4.5,,,,,,,,,,,
2013-8-31 21:00:00,23.3,,24.3,23.3,,0,,,46,3,32,2.1,9,6.4,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,25.1,24.3,,0,,,32,2.7,27,2.7,43,6.6,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,26.3,25.1,,0,,,4,2.6,25,2.8,32,8,,,,,,,,,,,
2013-8-31 18:00:00,26.3,,27.4,26.3,,0,,,358,2,9,3.6,26,6.6,,,,,,,,,,,
2013-8-31 17:00:00,27.4,,28.3,27.4,,0,,,1,1.3,7,2.2,358,7.9,,,,,,,,,,,
2013-8-31 16:00:00,28.3,,30.9,28.3,,0,,,350,1.9,350,3.4,327,7.5,,,,,,,,,,,
2013-8-31 15:00:00,30.7,,30.9,29.8,,0,,,350,3.3,3,2.8,338,7.2,,,,,,,,,,,
2013-8-31 14:00:00,30.9,,30.9,29.7,,0,,,336,2.2,342,3.7,327,8.5,,,,,,,,,,,
2013-8-31 13:00:00,29.9,,30.5,28.9,,0,,,350,3.5,348,3.4,347,7,,,,,,,,,,,
2013-8-31 12:00:00,29.5,,30.3,28.8,,0,,,341,1.9,7,2.2,341,8.2,,,,,,,,,,,
2013-8-31 11:00:00,28.9,,28.9,28,,0,,,336,3.9,317,3.5,347,6.2,,,,,,,,,,,
2013-8-31 10:00:00,28.2,,28.2,26.2,,0,,,32,3.4,25,2.6,330,5.4,,,,,,,,,,,
2013-8-31 9:00:00,26.1,,26.1,25.4,,0,,,308,2.8,320,2.2,347,6.1,,,,,,,,,,,
2013-8-31 8:00:00,25.3,,25.3,24.3,,0,,,336,2.2,314,2,12,4.4,,,,,,,,,,,
2013-8-31 7:00:00,24.4,,24.4,24,,0,,,279,1.9,322,2.1,341,4,,,,,,,,,,,
