time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22,,22.2,21.7,,0,,,355,3.3,359,3.2,344,5.8,,,,,,,,,,,
2013-9-1 00:00:00,22,,22.5,21.7,,0,,,353,3.8,356,3.5,358,6.8,,,,,,,,,,,
2013-8-31 23:00:00,22.5,,22.6,22.1,,0,,,353,4,350,3.8,4,5.7,,,,,,,,,,,
2013-8-31 22:00:00,22.3,,23,22.3,,0,,,353,4.3,351,3.8,12,5.9,,,,,,,,,,,
2013-8-31 21:00:00,22.9,,23.2,22.8,,0,,,15,3.5,14,3.1,353,5.5,,,,,,,,,,,
2013-8-31 20:00:00,23.1,,23.7,23.1,,0,,,18,2.9,20,3.2,18,7.1,,,,,,,,,,,
2013-8-31 19:00:00,23.7,,24.3,23.5,,0,,,21,4,18,4.3,32,6.8,,,,,,,,,,,
2013-8-31 18:00:00,24.3,,25.2,24.3,,0,,,23,4.1,19,4.7,358,8.4,,,,,,,,,,,
2013-8-31 17:00:00,25,,26.1,24.8,,0,,,15,5.1,8,4.6,4,10.6,,,,,,,,,,,
2013-8-31 16:00:00,26.2,,26.3,25.8,,0,,,358,6.7,3,7.5,344,10.7,,,,,,,,,,,
2013-8-31 15:00:00,26.2,,27,25.7,,0,,,15,7.7,5,5.6,15,9.8,,,,,,,,,,,
2013-8-31 14:00:00,26.7,,27.5,26.2,,0,,,7,7,9,7.7,4,10.1,,,,,,,,,,,
2013-8-31 13:00:00,27.1,,27.9,26.5,,0,,,7,7.5,9,6.6,333,11.7,,,,,,,,,,,
2013-8-31 12:00:00,27.2,,27.7,26.6,,0,,,15,4,333,4.3,353,10.1,,,,,,,,,,,
2013-8-31 11:00:00,26.6,,26.6,25.3,,0,,,336,5.8,347,4.8,330,8.3,,,,,,,,,,,
2013-8-31 10:00:00,25.3,,25.8,24.9,,0,,,353,4.4,353,4.1,336,6,,,,,,,,,,,
2013-8-31 9:00:00,25.1,,25.4,24.2,,0,,,353,3.6,330,3.8,319,6,,,,,,,,,,,
2013-8-31 8:00:00,24.7,,25.2,23.3,,0,,,330,3.8,322,4,316,5.4,,,,,,,,,,,
2013-8-31 7:00:00,23.3,,23.3,22.7,,0,,,302,2.8,298,2.4,324,3.4,,,,,,,,,,,
2013-8-31 6:00:00,22.7,,23.1,22.4,,0,,,330,2.1,321,2.2,344,4.8,,,,,,,,,,,
2013-8-31 5:00:00,23.1,,23.7,23.1,,0,,,330,2.2,329,2.5,358,5,,,,,,,,,,,
2013-8-31 4:00:00,23.3,,23.7,23.2,,0,,,4,2.4,2,2.4,29,4.2,,,,,,,,,,,
2013-8-31 3:00:00,23.6,,24.1,23.4,,0,,,23,3.3,23,3.3,18,5.8,,,,,,,,,,,
2013-8-31 2:00:00,24,,24.2,23.9,,0,,,4,2.7,9,3.1,353,7.8,,,,,,,,,,,
2013-8-31 1:00:00,24.1,,24.6,24.1,,0,,,15,3.1,0,3.6,344,8.4,,,,,,,,,,,
2013-8-31 00:00:00,24.4,,24.9,24.4,,0,,,353,5.6,352,5,353,9.7,,,,,,,,,,,
2013-8-30 23:00:00,24.9,,25.1,24.8,,0,,,344,4.2,350,4.6,353,9.2,,,,,,,,,,,
2013-8-30 22:00:00,25.1,,25.4,25,,0,,,347,4.1,350,5.3,353,9.6,,,,,,,,,,,
2013-8-30 21:00:00,25.2,,25.6,25.2,,0,,,358,5.1,0,5.5,7,10.4,,,,,,,,,,,
2013-8-30 20:00:00,25.6,,26,25.5,,0,,,4,4.5,358,6.2,358,11.1,,,,,,,,,,,
2013-8-30 19:00:00,26,,26.9,26,,0,,,353,8.8,357,7.3,7,12.3,,,,,,,,,,,
2013-8-30 18:00:00,26.9,,28,26.9,,0,,,358,6.8,6,7.9,15,11.8,,,,,,,,,,,
2013-8-30 17:00:00,28,,29.5,28,,0,,,7,7.1,2,8.5,358,11.3,,,,,,,,,,,
2013-8-30 16:00:00,29.3,,30.2,29.1,,0,,,358,7.2,358,6.9,355,10.3,,,,,,,,,,,
2013-8-30 15:00:00,30.1,,30.4,29.6,,0,,,347,5.7,1,5.6,353,9.7,,,,,,,,,,,
2013-8-30 14:00:00,30,,30.8,30,,0,,,350,5.5,4,6.9,18,9.2,,,,,,,,,,,
2013-8-30 13:00:00,30.1,,30.8,29.3,,0,,,347,6.6,355,6.9,353,9,,,,,,,,,,,
2013-8-30 12:00:00,29.5,,30.5,29.5,,0,,,355,5.5,4,6.5,26,9,,,,,,,,,,,
2013-8-30 11:00:00,29.7,,30.2,29.1,,0,,,7,5.7,9,7.5,23,11,,,,,,,,,,,
2013-8-30 10:00:00,29,,29.2,27.7,,0,,,4,8.1,4,6.6,353,10.7,,,,,,,,,,,
2013-8-30 9:00:00,27.7,,28,27.6,,0,,,4,7,4,6.3,7,8.9,,,,,,,,,,,
2013-8-30 8:00:00,27.8,,27.9,27.3,,0,,,21,3.8,14,4.5,15,7.3,,,,,,,,,,,
2013-8-30 7:00:00,27.5,,27.5,26.4,,0,,,353,5.4,360,4.3,15,5.5,,,,,,,,,,,
2013-8-30 6:00:00,26.7,,27.1,26.7,,0,,,333,2.2,340,2.1,23,4.7,,,,,,,,,,,
2013-8-30 5:00:00,27.1,,27.3,27,,0,,,26,4,20,3.6,12,5.9,,,,,,,,,,,
2013-8-30 4:00:00,27,,27.1,26.5,,0,,,7,3.5,1,3.1,358,4.6,,,,,,,,,,,
2013-8-30 3:00:00,26.8,,26.9,26.6,,0,,,52,1.9,62,1.8,350,2.4,,,,,,,,,,,
2013-8-30 2:00:00,26.8,,27,26.8,,0,,,336,2.2,331,2.1,347,3.3,,,,,,,,,,,
2013-8-30 1:00:00,27,,27.2,26.9,,0,,,344,2.2,346,2.6,338,3.9,,,,,,,,,,,
2013-8-30 00:00:00,26.9,,26.9,26.6,,0,,,322,2.3,323,2.3,322,2.5,,,,,,,,,,,
2013-8-29 23:00:00,26.9,,27.2,26.9,,0,,,330,0.7,324,0.5,254,1.6,,,,,,,,,,,
2013-8-29 22:00:00,27.1,,27.3,26.7,,0,,,119,0.9,128,0.8,97,2.7,,,,,,,,,,,
2013-8-29 21:00:00,26.9,,26.9,26.4,,0,,,128,1.7,103,1.2,105,2.4,,,,,,,,,,,
2013-8-29 20:00:00,26.8,,26.9,26.6,,0,,,133,1.1,136,1.2,164,2.2,,,,,,,,,,,
2013-8-29 19:00:00,26.6,,26.8,26.1,,0,,,133,1,142,1.2,85,3.8,,,,,,,,,,,
2013-8-29 18:00:00,26.8,,26.8,26.4,,0,,,29,0.5,50,0.6,40,6.1,,,,,,,,,,,
2013-8-29 17:00:00,26.5,,32.4,26,,2.6,,,38,4.2,43,5.4,333,13.8,,,,,,,,,,,
2013-8-29 16:00:00,32.4,,34.9,32.4,,0,,,161,4,152,3.5,139,6.5,,,,,,,,,,,
2013-8-29 15:00:00,35,,35.4,34.4,,0,,,147,4.9,154,4.1,139,7.5,,,,,,,,,,,
2013-8-29 14:00:00,34.7,,35.3,34.4,,0,,,142,5.5,152,4.5,167,6.3,,,,,,,,,,,
2013-8-29 13:00:00,35.1,,35.4,34.4,,0,,,144,5.2,146,4.6,139,6.5,,,,,,,,,,,
2013-8-29 12:00:00,34.8,,34.9,33.5,,0,,,229,3.6,212,3.3,209,5.5,,,,,,,,,,,
2013-8-29 11:00:00,33.6,,33.6,32.3,,0,,,209,3.5,211,4.2,184,6,,,,,,,,,,,
2013-8-29 10:00:00,32.6,,32.6,30.9,,0,,,178,3.5,175,3.5,198,6.5,,,,,,,,,,,
2013-8-29 9:00:00,31,,31,29.8,,0,,,209,4.5,186,4.9,181,6.8,,,,,,,,,,,
2013-8-29 8:00:00,29.8,,29.9,28.7,,0,,,198,3.5,183,4.1,167,6.2,,,,,,,,,,,
2013-8-29 7:00:00,28.7,,28.7,27.7,,0,,,173,3.5,170,3.6,178,5.9,,,,,,,,,,,
2013-8-29 6:00:00,27.7,,27.8,27.6,,0,,,184,3.9,180,3.5,167,6.2,,,,,,,,,,,
2013-8-29 5:00:00,27.8,,28,27.7,,0,,,167,3.1,165,3.1,161,6.4,,,,,,,,,,,
2013-8-29 4:00:00,27.9,,28.1,27.9,,0,,,164,4.1,168,4.2,173,7.9,,,,,,,,,,,
2013-8-29 3:00:00,28,,28.1,27.9,,0,,,156,3.2,162,3.9,150,7.1,,,,,,,,,,,
2013-8-29 2:00:00,28,,28.2,28,,0,,,147,4.3,155,4.4,153,7.7,,,,,,,,,,,
2013-8-29 1:00:00,28.1,,28.2,27.8,,0,,,147,3.9,161,4,173,6.2,,,,,,,,,,,
2013-8-29 00:00:00,27.9,,28,27.9,,0,,,156,3.6,153,3.5,142,5.5,,,,,,,,,,,
2013-8-28 23:00:00,28,,28.3,28,,0,,,150,4.9,151,4,142,7.6,,,,,,,,,,,
2013-8-28 22:00:00,28.3,,28.4,28.2,,0,,,139,5.1,145,4.4,147,6.6,,,,,,,,,,,
2013-8-28 21:00:00,28.4,,28.8,28.4,,0,,,128,4.4,138,4.4,133,7.5,,,,,,,,,,,
2013-8-28 20:00:00,28.8,,29.4,28.8,,0,,,142,4.6,138,4.7,122,7.3,,,,,,,,,,,
2013-8-28 19:00:00,29.4,,30.2,29.4,,0.1,,,130,4.6,134,4.9,128,7,,,,,,,,,,,
2013-8-28 18:00:00,30.2,,30.7,30.2,,0,,,133,3.8,131,3.9,128,7.1,,,,,,,,,,,
2013-8-28 17:00:00,30.7,,31.8,30.7,,0,,,133,3.2,131,4.6,130,8.8,,,,,,,,,,,
2013-8-28 16:00:00,31.9,,32.5,31.6,,0,,,113,6.7,115,5.2,128,7.4,,,,,,,,,,,
2013-8-28 15:00:00,32.7,,33.9,32.5,,0,,,125,5.4,127,6,105,7.6,,,,,,,,,,,
2013-8-28 14:00:00,33.1,,33.9,32.7,,0,,,125,3.4,130,4.4,147,6,,,,,,,,,,,
2013-8-28 13:00:00,33,,33.2,31.7,,0,,,184,2.5,171,3.3,139,6.3,,,,,,,,,,,
2013-8-28 12:00:00,31.7,,32.1,30.7,,0,,,150,3.1,153,2.8,142,5.8,,,,,,,,,,,
2013-8-28 11:00:00,30.9,,31.3,30,,0,,,195,3.1,198,3,153,8.4,,,,,,,,,,,
2013-8-28 10:00:00,30,,30.7,29.1,,0,,,116,6.1,120,4.9,139,7.3,,,,,,,,,,,
2013-8-28 9:00:00,29.1,,29.3,27.7,,0,,,111,3.2,113,3.8,122,6.6,,,,,,,,,,,
2013-8-28 8:00:00,27.7,,27.7,27.1,,0,,,102,3.2,120,3.1,119,6.1,,,,,,,,,,,
2013-8-28 7:00:00,27,,27,26.3,,0,,,102,3.9,105,3.2,83,4.6,,,,,,,,,,,
2013-8-28 6:00:00,26.3,,26.3,26,,0,,,94,2.6,99,2.4,111,4.6,,,,,,,,,,,
2013-8-28 5:00:00,26,,26,25.9,,0,,,97,2.4,99,2.7,105,3.9,,,,,,,,,,,
2013-8-28 4:00:00,26,,26,25.9,,0,,,94,1.6,97,2.3,88,3.8,,,,,,,,,,,
