time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.2,16.4,21.6,21.2,1011.6,0,74,71,344,1.4,344,1.5,347,3.8,10381,1244,19.9,20.5,19.9,23,25.1,26.8,27.5,,
2013-9-1 00:00:00,21.6,16.1,22.4,21.6,1011.6,0,71,66,342,2.1,345,1.8,1,4.4,7482,2066,20.5,21.4,20.5,23.6,25.7,27.2,27.9,,
2013-8-31 23:00:00,22.4,16,22.6,22.4,1011.7,0,67,64,0,2.9,1,2.4,21,3.9,7456,3324,21.5,21.7,21.5,24.2,26.2,27.7,28.3,,
2013-8-31 22:00:00,22.6,15.5,22.6,22.3,1011.6,0,64,64,42,3.1,18,1.7,14,3.8,21810,2583,21.6,22.2,21.6,24.7,26.8,28.2,28.7,,
2013-8-31 21:00:00,22.4,16,23,22.4,1011.8,0,67,64,23,1.6,22,1.5,39,2.7,10975,2987,22.2,22.8,22.2,25.4,27.4,28.8,29.1,,
2013-8-31 20:00:00,23.1,15.9,23.7,23,1011.5,0,64,61,350,1.3,31,1.7,42,3.9,7756,2954,22.9,24.2,22.9,26.3,28.3,29.4,29.5,,
2013-8-31 19:00:00,23.8,15.8,24.8,23.8,1011.1,0,61,56,80,1.4,40,1.7,41,5.7,7394,2206,24.2,25.9,24.2,27.4,29.2,30.1,29.8,,
2013-8-31 18:00:00,24.8,15.4,26.4,24.8,1011,0,56,49,53,3.3,49,2.5,60,7.8,3272,1364,26,31.1,26,29,30.3,30.7,30,,
2013-8-31 17:00:00,26.4,15.1,27.5,26.4,1010.6,0,50,45,35,3.3,40,3.1,11,8.8,9510,1869,30.8,35.5,30.3,30.8,31.2,31,30,,
2013-8-31 16:00:00,27.6,14.9,28,27,1010.2,0,46,45,35,6.2,32,4.3,9,8.8,7607,2589,35.9,37.9,32.9,32.6,31.7,31.1,29.8,,
2013-8-31 15:00:00,27.5,15.5,28.7,27.4,1010.1,0,48,42,57,1.9,36,2.3,18,8.8,6513,3293,35.6,40.8,34.6,33.4,31.9,30.8,29.4,,
2013-8-31 14:00:00,28.7,15.6,28.7,28,1010.1,0,45,44,51,3.8,7,3.8,5,8.3,7145,2933,40.8,41.6,35.7,33.7,31.5,30.3,28.9,,
2013-8-31 13:00:00,28.1,15.4,28.9,28.1,1010,0,46,43,357,3.2,10,3,350,9.4,13818,1957,36,42.8,36,33.8,30.9,29.5,28.3,,
2013-8-31 12:00:00,28.5,15.1,28.6,27.8,1010,0,44,40,350,3,9,3.8,352,8.4,10140,1771,41.3,41.5,35.5,32.5,29.6,28.5,27.7,,
2013-8-31 11:00:00,27.9,17.4,27.9,26.6,1010.1,0,53,51,14,3.7,2,3.2,347,8.3,13254,3216,38.3,38.8,30.6,30.7,28.2,27.6,27.2,,
2013-8-31 10:00:00,27,18,27,25.8,1010.3,0,58,58,17,4,350,3.1,353,7.5,11071,2825,35.6,36,30,28.9,27,26.9,26.9,,
2013-8-31 9:00:00,25.9,18.3,25.9,24.3,1010.1,0,63,63,2,5.1,7,3.7,338,5.8,3367,1769,31.3,31.5,26.7,26.9,25.9,26.3,26.7,,
2013-8-31 8:00:00,24.4,18.3,24.4,22.5,1009.8,0,69,69,359,3.9,9,2.9,341,5.4,6150,3585,27,27.7,23.1,25.1,25,26,26.7,,
2013-8-31 7:00:00,22.5,18.3,22.5,22,1009.3,0,77,77,0,2.3,351,2.8,350,4.6,4563,2003,23.1,23.3,21.8,23.6,24.7,26,26.8,,
2013-8-31 6:00:00,22,18.6,22.3,21.9,1008.6,0,81,80,349,1.6,338,1.5,308,3.6,5323,1107,21.9,21.9,21.3,23.2,24.8,26.2,27,,
2013-8-31 5:00:00,22.3,18.7,22.7,22.3,1008.2,0,80,78,346,2.7,330,2.1,331,3.6,6027,2322,21.4,22,21.4,23.4,25.1,26.5,27.2,,
2013-8-31 4:00:00,22.7,18.9,22.7,22.6,1007.9,0,79,78,345,1.9,329,1.5,325,3.7,5226,1182,22,22,21.9,23.7,25.3,26.7,27.5,,
2013-8-31 3:00:00,22.7,18.9,23,22.7,1007.7,0,79,77,300,0.6,306,0.8,345,3,11398,2965,21.9,22.1,21.9,23.9,25.6,27,27.7,,
2013-8-31 2:00:00,23,19,23.3,23,1007.4,0,78,77,338,2.2,329,1.6,351,4.1,4786,3380,22.1,22.5,22.1,24.2,25.9,27.3,28,,
2013-8-31 1:00:00,23.4,19.1,23.8,23.4,1007.2,0,77,75,323,1.1,336,2,349,4.7,8348,1435,22.5,22.8,22.5,24.5,26.2,27.6,28.3,,
2013-8-31 00:00:00,23.8,19.1,24.5,23.8,1006.9,0,75,72,334,3.6,345,2.7,342,5.6,4837,1769,22.8,23.1,22.8,24.9,26.6,28,28.6,,
2013-8-30 23:00:00,24.5,19.1,25.2,24.5,1006.9,0,72,68,9,2.5,355,2.9,350,6.1,6461,2535,23.1,23.5,23.1,25.2,27,28.4,29,,
2013-8-30 22:00:00,25.2,19.1,25.5,25.2,1006.6,0,69,69,354,2,4,3,350,6.4,7278,1949,23.5,24.2,23.5,25.8,27.5,28.9,29.3,,
2013-8-30 21:00:00,25.5,19.9,26,25.5,1006.7,0,71,71,347,2.8,358,3.4,31,7.3,6919,1193,24.2,24.6,24.2,26.3,28.1,29.4,29.7,,
2013-8-30 20:00:00,26,20.3,26.8,26,1006.2,0,71,71,8,4.3,17,5.4,14,9.2,6825,1280,24.6,25.7,24.6,27,28.8,29.9,30.1,,
