time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.9,,23.1,22.7,,0,,,4,0.7,58,0.5,32,4.7,16284,,,,,,,,,,
2013-9-1 00:00:00,22.6,,23.3,22.6,,0,,,66,3.1,66,1.7,35,4.7,14942,,,,,,,,,,
2013-8-31 23:00:00,23.3,,23.6,23,,0,,,60,3.2,30,1.9,341,5.3,14156,,,,,,,,,,
2013-8-31 22:00:00,23.5,,23.8,23.3,,0,,,358,3.7,22,2.1,54,6.1,14725,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.2,23.6,,0,,,60,1.9,44,2.4,43,6.4,15558,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.6,24.1,,0,,,113,1.9,73,1.9,15,6.1,15675,,,,,,,,,,
2013-8-31 19:00:00,24.6,,25.1,24.6,,0,,,336,1.6,85,2,38,5.8,13584,,,,,,,,,,
2013-8-31 18:00:00,25.1,,26.1,25.1,,0,,,175,1.2,84,2.3,74,7.4,14351,,,,,,,,,,
2013-8-31 17:00:00,26,,26.9,25.9,,0,,,26,5,64,2.4,7,7,14754,,,,,,,,,,
2013-8-31 16:00:00,26.8,,29.3,26.7,,0,,,18,4.3,78,3.5,7,9.4,13822,,,,,,,,,,
2013-8-31 15:00:00,29,,30.1,28,,0,,,4,3.2,3,2.9,358,9.4,14748,,,,,,,,,,
2013-8-31 14:00:00,28.4,,29.1,27,,0,,,299,2.6,352,3.1,85,7.2,12239,,,,,,,,,,
2013-8-31 13:00:00,27.3,,29,27.2,,0,,,40,1,59,1.2,23,6.7,15119,,,,,,,,,,
2013-8-31 12:00:00,28.7,,29.4,27.8,,0,,,43,0.7,14,1.8,15,6.9,10514,,,,,,,,,,
2013-8-31 11:00:00,28.9,,29.3,27.8,,0,,,147,2.2,15,1.9,347,6.6,11507,,,,,,,,,,
2013-8-31 10:00:00,27.7,,28,26.6,,0,,,353,1.1,13,1.5,18,5.3,11267,,,,,,,,,,
2013-8-31 9:00:00,27.6,,28.2,25.8,,0,,,66,1.1,354,1.1,7,5.7,12295,,,,,,,,,,
