time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.4,,20.9,20.2,,0,,,322,0,333,0,322,0,,,,,,,,,,,
2013-9-1 00:00:00,20.8,,21.5,20.6,,0,,,308,0,0,0,308,0,,,,,,,,,,,
2013-8-31 23:00:00,21.2,,21.9,21,,0,,,330,0,0,0,7,1.4,,,,,,,,,,,
2013-8-31 22:00:00,21.8,,22.5,21.7,,0,,,4,0.8,339,0.8,32,2.2,,,,,,,,,,,
2013-8-31 21:00:00,22.4,,23.7,22.4,,0,,,23,1.5,23,1.2,26,2.2,,,,,,,,,,,
2013-8-31 20:00:00,23.8,,24.8,23.8,,0,,,15,0.8,40,1.1,46,5.3,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,26,24.8,,0,,,46,0.8,34,1.5,338,4.3,,,,,,,,,,,
2013-8-31 18:00:00,25.9,,27,25.9,,0,,,38,1.8,3,1.5,336,5,,,,,,,,,,,
2013-8-31 17:00:00,27,,27.6,27,,0,,,344,1.4,358,2.8,355,6.4,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,29,27.6,,0,,,299,4.8,307,3.7,316,8.8,,,,,,,,,,,
2013-8-31 15:00:00,29,,29.3,28.2,,0,,,319,3.1,308,4.1,322,8,,,,,,,,,,,
2013-8-31 14:00:00,28.8,,28.8,27.5,,0,,,322,5,296,5.3,310,9.1,,,,,,,,,,,
2013-8-31 13:00:00,28.4,,28.9,28,,0,,,296,1.8,309,3.6,327,7,,,,,,,,,,,
2013-8-31 12:00:00,28,,28.4,27.2,,0,,,327,1.5,18,2.9,21,6.8,,,,,,,,,,,
2013-8-31 11:00:00,27.3,,27.7,26.7,,0,,,282,4.6,300,3.5,288,6.6,,,,,,,,,,,
2013-8-31 10:00:00,26.6,,26.6,25,,0,,,302,1.6,321,3,327,6.8,,,,,,,,,,,
2013-8-31 9:00:00,25.2,,25.2,24.5,,0,,,347,5.3,339,4.3,308,6.4,,,,,,,,,,,
