time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.8,,23.8,23.2,,0,,,66,0.3,107,0.1,153,2.6,,,,,,,,,,,
2013-9-1 00:00:00,23.2,,23.7,23.2,,0,,,105,0.1,0,0,150,2.2,,,,,,,,,,,
2013-8-31 23:00:00,23.6,,24,23.3,,0,,,105,0.1,50,0.5,178,2.8,,,,,,,,,,,
2013-8-31 22:00:00,23.9,,24.1,23.8,,0,,,175,0.2,130,0.3,35,2.9,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.4,23.8,,0,,,12,0.1,65,0.3,139,2.8,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,25,24.4,,0,,,85,0.1,82,0.2,175,3.3,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.6,24.9,,0,,,32,0,0,0,63,3.5,,,,,,,,,,,
2013-8-31 18:00:00,25.6,,26.3,25.6,,0,,,122,0.3,54,0.3,170,4.5,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.7,26.4,,0,,,150,1.5,117,0.5,164,4.1,,,,,,,,,,,
2013-8-31 16:00:00,27.7,,29.3,27.2,,0,,,4,0.1,31,0.6,142,4.1,,,,,,,,,,,
2013-8-31 15:00:00,29.4,,30,27.5,,0,,,133,1.4,131,0.6,105,4.5,,,,,,,,,,,
2013-8-31 14:00:00,28.6,,29.2,27.6,,0,,,144,0.4,132,0.3,119,2.7,,,,,,,,,,,
2013-8-31 13:00:00,28.1,,29.5,27.4,,0,,,102,0,94,0.4,164,3.8,,,,,,,,,,,
2013-8-31 12:00:00,27.3,,28.4,27,,0,,,153,0.3,133,0.2,156,3,,,,,,,,,,,
2013-8-31 11:00:00,27.8,,28,26.9,,0,,,94,1.1,115,1.1,144,3.1,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,26.8,25.9,,0,,,158,0.4,127,0.3,83,2.9,,,,,,,,,,,
2013-8-31 9:00:00,25.9,,26,25.2,,0,,,97,0.3,121,0.6,144,2,,,,,,,,,,,
2013-8-31 8:00:00,25.4,,25.4,24.8,,0,,,40,0.1,131,0.4,153,2.3,,,,,,,,,,,
2013-8-31 7:00:00,24.9,,24.9,24.5,,0,,,77,0.3,85,0.3,113,3.4,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.2,,0,,,15,0,46,0.1,130,2.5,,,,,,,,,,,
2013-8-31 5:00:00,24.5,,24.6,24.3,,0,,,4,0.6,109,0.5,139,2.1,,,,,,,,,,,
2013-8-31 4:00:00,24.6,,25,24.6,,0,,,170,0.4,71,0.1,150,2.4,,,,,,,,,,,
2013-8-31 3:00:00,25,,25.2,25,,0,,,97,0,0,0,150,3.5,,,,,,,,,,,
2013-8-31 2:00:00,25.2,,25.6,25.2,,0,,,63,0,96,0.3,119,2.4,,,,,,,,,,,
2013-8-31 1:00:00,25.6,,25.9,25.6,,0,,,136,0.3,138,0.3,167,3,,,,,,,,,,,
2013-8-31 00:00:00,25.8,,26.2,25.8,,0,,,158,0.1,74,0.4,133,2.9,,,,,,,,,,,
2013-8-30 23:00:00,26.2,,26.3,26.1,,0,,,139,0.3,78,0.3,133,3.8,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.7,26.2,,0,,,7,0.7,80,0.8,46,3.8,,,,,,,,,,,
2013-8-30 21:00:00,26.7,,27.3,26.7,,0,,,94,0.1,123,0.3,83,4.9,,,,,,,,,,,
2013-8-30 20:00:00,27.2,,28.1,27.2,,0,,,105,0.8,103,0.7,32,4.1,,,,,,,,,,,
2013-8-30 19:00:00,28.1,,29,28.1,,0,,,52,0.3,85,0.2,178,3.6,,,,,,,,,,,
2013-8-30 18:00:00,29,,29.8,29,,0,,,26,0.4,69,1.1,15,4,,,,,,,,,,,
2013-8-30 17:00:00,29.8,,30.1,29.8,,0,,,142,0.6,137,0.7,9,3.1,,,,,,,,,,,
2013-8-30 16:00:00,30.1,,31.4,30.1,,0,,,32,0.3,132,0.8,128,3.3,,,,,,,,,,,
2013-8-30 15:00:00,31.4,,31.8,31.2,,0,,,4,0,89,0.2,91,3,,,,,,,,,,,
2013-8-30 14:00:00,31.8,,32.5,31.8,,0,,,57,1.9,133,0.8,40,3.3,,,,,,,,,,,
2013-8-30 13:00:00,31.8,,31.8,30.7,,0,,,52,0.2,91,0.8,164,3.6,,,,,,,,,,,
2013-8-30 12:00:00,31,,31,29.8,,0,,,43,0,67,0.2,130,4.4,,,,,,,,,,,
2013-8-30 11:00:00,30.1,,30.5,29.4,,0,,,105,0.1,116,0.3,139,4.7,,,,,,,,,,,
2013-8-30 10:00:00,29.5,,29.7,29.2,,0,,,175,0.9,147,0.7,122,3.5,,,,,,,,,,,
2013-8-30 9:00:00,29.4,,29.4,28.7,,0,,,83,0.8,67,0.4,60,3.3,,,,,,,,,,,
2013-8-30 8:00:00,29,,29.1,27.8,,0,,,97,0,38,0.6,164,2.3,,,,,,,,,,,
2013-8-30 7:00:00,27.8,,27.9,27,,0,,,158,0,168,0.3,119,1.7,,,,,,,,,,,
2013-8-30 6:00:00,27.1,,27.5,26.8,,0,,,94,0,0,0,7,2,,,,,,,,,,,
2013-8-30 5:00:00,27.5,,27.6,27.3,,0,,,38,0,0,0,4,1.8,,,,,,,,,,,
2013-8-30 4:00:00,27.4,,27.4,27.2,,0,,,7,0,0,0,156,0.3,,,,,,,,,,,
2013-8-30 3:00:00,27.2,,27.5,27.2,,0,,,1,0,0,0,74,0.8,,,,,,,,,,,
2013-8-30 2:00:00,27.5,,27.5,27.4,,0,,,54,0,0,0,173,0.5,,,,,,,,,,,
2013-8-30 1:00:00,27.4,,27.5,27.4,,0,,,15,0,0,0,83,0.5,,,,,,,,,,,
2013-8-30 00:00:00,27.4,,27.9,27.4,,0,,,29,0,0,0,74,0.9,,,,,,,,,,,
2013-8-29 23:00:00,27.8,,27.9,27.7,,0,,,1,0.5,46,0.2,105,1,,,,,,,,,,,
2013-8-29 22:00:00,27.8,,27.9,27.1,,0,,,12,0.1,33,0.3,94,1.9,,,,,,,,,,,
2013-8-29 21:00:00,27.1,,27.1,26.9,,0.1,,,40,0,0,0,12,0.3,,,,,,,,,,,
2013-8-29 20:00:00,26.9,,26.9,26.5,,0,,,46,0,0,0,12,0.6,,,,,,,,,,,
2013-8-29 19:00:00,26.6,,27,26.6,,0,,,83,0,0,0,133,1.6,,,,,,,,,,,
2013-8-29 18:00:00,26.9,,26.9,26.4,,0.9,,,4,0.2,16,0.3,80,1.9,,,,,,,,,,,
2013-8-29 17:00:00,26.4,,26.4,25.7,,17.1,,,15,0.3,35,0.1,26,2.8,,,,,,,,,,,
2013-8-29 16:00:00,26.1,,35.4,26.1,,25.5,,,38,0.5,90,0.6,125,5.6,,,,,,,,,,,
2013-8-29 15:00:00,35.4,,36.3,35.4,,0,,,9,0,0,0,105,2.9,,,,,,,,,,,
2013-8-29 14:00:00,35.6,,36.2,35.2,,0,,,7,0.1,18,0.4,18,2.7,,,,,,,,,,,
2013-8-29 13:00:00,35.5,,36.8,35.4,,0,,,119,1.4,107,0.8,108,4.1,,,,,,,,,,,
2013-8-29 12:00:00,35.3,,35.9,34.6,,0,,,139,0.2,56,0.5,57,3.7,,,,,,,,,,,
2013-8-29 11:00:00,34.6,,34.8,33.9,,0,,,150,0.5,94,0.7,128,3.8,,,,,,,,,,,
2013-8-29 10:00:00,34.1,,34.1,32.5,,0.1,,,29,1.1,61,0.8,105,3.2,,,,,,,,,,,
2013-8-29 9:00:00,32.5,,32.5,30.6,,0.3,,,23,0,122,0.1,116,2.3,,,,,,,,,,,
2013-8-29 8:00:00,30.6,,30.6,29.1,,0,,,85,0.5,103,0.8,99,2.4,,,,,,,,,,,
2013-8-29 7:00:00,29,,29,28.1,,0,,,23,0.1,113,0.6,88,2.1,,,,,,,,,,,
2013-8-29 6:00:00,28.1,,28.4,27.9,,0,,,32,0,0,0,102,2.1,,,,,,,,,,,
