time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24.1,13.6,24.1,23.9,1011.5,0,52,52,52,1.3,24,0.9,74,4.7,31911,22550,21.6,21.7,21.4,23.3,25,26,26.7,,
2013-9-1 00:00:00,23.9,13.7,24,23.9,1011.4,0,53,52,83,0.8,59,1.4,42,5.5,34838,25383,21.4,21.5,21.3,23.4,25.1,26.2,26.8,,
2013-8-31 23:00:00,24,13.5,24.2,24,1011.3,0,52,51,16,1.1,37,0.4,106,4.9,30327,23876,21.5,21.7,21.5,23.6,25.4,26.4,27,,
2013-8-31 22:00:00,24.3,13.5,24.5,24.3,1011.2,0,51,51,346,1.7,70,1.1,75,4.3,29674,23011,21.7,22,21.7,23.9,25.7,26.7,27.2,,
2013-8-31 21:00:00,24.5,13.7,24.9,24.5,1011.2,0,51,50,323,0.4,12,1.1,83,5.6,28782,19191,22,22.5,21.9,24.3,26.1,26.9,27.3,,
2013-8-31 20:00:00,25,13.9,25.5,25,1011.2,0,50,48,23,0.4,349,0.8,67,5.2,25619,12549,22.5,23.1,22.5,24.8,26.5,27.2,27.5,,
2013-8-31 19:00:00,25.5,13.7,26.1,25.5,1010.6,0,48,47,269,0.2,67,0.9,99,5.2,16624,16624,23.1,23.9,23.1,25.4,26.9,27.4,27.6,,
2013-8-31 18:00:00,26.2,14,27.1,26.1,1010.4,0,47,44,71,3.5,46,2.6,38,6.8,20549,16914,23.8,24.9,23.8,26,27.3,27.6,27.6,,
2013-8-31 17:00:00,27.2,13.9,27.7,27.2,1010.1,0,44,37,92,1.6,61,2.3,74,6.3,21145,18314,24.9,26.5,24.9,26.8,27.6,27.8,27.7,,
2013-8-31 16:00:00,27.7,13.6,28,27.7,1009.6,0,42,40,321,0.3,329,1.5,319,7.3,29331,18856,26.5,26.9,26.3,27.3,27.9,27.8,27.6,,
2013-8-31 15:00:00,27.8,14.1,28.6,27.8,1009.4,0,43,42,57,1.8,24,1.3,351,6.3,34620,11313,26.8,29.1,26.7,28.1,28.2,27.8,27.5,,
2013-8-31 14:00:00,28.6,14.4,29.7,28.6,1009.4,0,42,38,68,1.8,63,1.6,341,5.9,19590,12444,29.1,34.3,29,29.3,28.1,27.6,27.4,,
2013-8-31 13:00:00,29.4,14.8,29.5,28.2,1009.4,0,41,41,60,1.2,62,0.9,285,5.7,12112,12112,33.2,33.2,27.7,27.9,27.6,27.4,27.4,,
2013-8-31 12:00:00,28.3,15.9,29.3,28.3,1009.6,0,47,43,87,2.6,49,2.3,100,4.7,13803,3866,28.6,31.3,28,27.9,27.5,27.3,27.3,,
2013-8-31 11:00:00,28.9,16.1,28.9,26.9,1009.9,0,46,46,333,0.8,32,1.9,350,5,14267,10051,28.6,30.5,28.4,27.8,27.2,27,27.2,,
2013-8-31 10:00:00,26.8,17.6,27.3,26.3,1010,0,57,55,18,1.5,33,1.2,320,4.3,12424,5115,28.8,30.7,28.1,27.3,26.7,26.8,27.2,,
2013-8-31 9:00:00,26.3,17.9,26.3,25.3,1009.7,0,60,60,314,2.4,4,1,347,4.3,13432,7018,28.1,28.1,24.5,25.8,26.1,26.8,27.3,,
2013-8-31 8:00:00,25.3,18.3,25.3,25.1,1009.4,0,65,64,348,1.3,350,1.3,317,4.4,13090,11519,24.5,24.5,23.9,25,26.1,26.9,27.4,,
2013-8-31 7:00:00,25.1,18.1,25.1,25,1009,0,65,65,305,1.6,313,1.6,308,4.3,14469,13057,24,24.1,23.7,25,26.2,27,27.5,,
2013-8-31 6:00:00,25,18.2,25,24.8,1008.4,0,66,65,90,1.2,60,1.3,88,3.3,17696,7550,23.7,23.7,23.3,24.9,26.3,27.1,27.6,,
2013-8-31 5:00:00,25,18,25.1,25,1007.9,0,65,65,344,0.5,111,0.8,62,5.4,17669,14750,23.4,23.7,23.3,25,26.5,27.3,27.8,,
2013-8-31 4:00:00,25.1,18.1,25.4,25.1,1007.6,0,65,64,92,1.7,354,1.3,71,5.1,15335,14938,23.7,24,23.5,25.2,26.7,27.5,27.9,,
2013-8-31 3:00:00,25.4,18.1,25.7,25.4,1007.4,0,64,63,262,0.7,138,1,73,5.3,17830,15265,24,24.1,23.9,25.5,26.8,27.6,28.1,,
2013-8-31 2:00:00,25.7,18.1,26,25.7,1007.2,0,63,63,338,0.8,34,0.7,69,5.3,17148,14004,24.1,24.1,24,25.6,27,27.8,28.3,,
2013-8-31 1:00:00,26,18.4,26.1,25.9,1006.8,0,63,61,60,0.9,29,1.5,300,6,17227,13125,24.1,24.1,23.9,25.8,27.3,28.1,28.4,,
2013-8-31 00:00:00,26.1,18,26.5,26.1,1006.7,0,61,60,14,4.2,348,2.5,333,6.8,14184,14184,24,24.6,24,26.1,27.7,28.3,28.6,,
2013-8-30 23:00:00,26.5,18.4,26.7,26.5,1006.6,0,61,61,120,1.3,38,1.5,347,6,11367,9296,24.6,25.2,24.5,26.6,28,28.6,28.7,,
2013-8-30 22:00:00,26.7,19.1,27.2,26.7,1006.2,0,63,61,38,0.5,30,1.1,316,5.5,10730,8605,25.2,25.6,25.1,27,28.4,28.8,28.9,,
2013-8-30 21:00:00,27.2,19,27.8,27.2,1006.6,0,61,61,21,1.5,69,2.1,104,5.5,9212,4757,25.6,26.4,25.6,27.5,28.7,29.1,29,,
2013-8-30 20:00:00,27.8,21.1,28.6,27.8,1005.6,0,67,65,8,2.3,49,1.8,61,7.3,4964,3850,26.3,26.9,26.3,28,29.1,29.3,29.1,,
2013-8-30 19:00:00,28.6,21.6,29.5,28.6,1004.5,0,66,63,354,1.7,27,1.7,315,6.9,3939,3841,26.9,27.7,26.9,28.5,29.4,29.5,29.2,,
2013-8-30 18:00:00,29.5,22,30.4,29.5,1003.4,0,64,59,104,1.5,10,1.2,68,9.2,4046,3937,27.7,28.8,27.7,29.2,29.9,29.7,29.3,,
2013-8-30 17:00:00,30.4,21.5,31,30.4,1003.2,0,59,58,134,1.1,70,1.7,64,5.9,4275,3988,28.7,29.7,28.7,29.9,30.2,29.8,29.3,,
2013-8-30 16:00:00,31,22,31.7,30.9,1002.8,0,59,56,23,1.4,64,2.3,75,6.4,4552,4426,29.7,31.4,29.6,30.6,30.5,29.9,29.2,,
2013-8-30 15:00:00,31.6,22,31.9,31.5,1002.4,0,57,53,30,2.6,61,2.3,301,5.8,4630,4485,31.3,32.9,31.2,31.4,30.7,29.8,29.1,,
2013-8-30 14:00:00,31.9,21.4,32,31.4,1002.4,0,54,52,218,1.2,33,2,73,6.1,5199,4447,33,35.8,32.9,32,30.5,29.6,28.9,,
2013-8-30 13:00:00,31.5,21.7,31.6,31,1002.4,0,56,55,248,2.3,334,1.5,326,6.1,4779,4356,33.7,33.7,31.6,31,30.1,29.4,28.8,,
2013-8-30 12:00:00,31.4,21.6,31.4,30.6,1003.1,0,56,55,353,2.1,22,1.7,48,6.1,4443,4313,32.6,32.7,31.5,30.8,29.9,29.2,28.7,,
2013-8-30 11:00:00,30.6,21.9,31,30.3,1003.2,0,60,59,230,0.8,109,2.4,49,7.3,5163,3893,31.5,33.9,31.5,30.8,29.7,29,28.6,,
2013-8-30 10:00:00,30.8,22.4,31.2,30.5,1003,0,61,59,348,3.2,327,2,70,6.2,3943,3829,33.8,34.4,31.3,30.6,29.2,28.7,28.6,,
2013-8-30 9:00:00,30.5,21.6,30.6,29.8,1002.9,0,59,59,351,0.9,31,2.1,61,5.5,5349,5255,31.1,31.3,29.1,29.1,28.7,28.7,28.6,,
