time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.1,,20.9,20.1,,0,,,4,1.9,350,1.3,355,2.3,,,,,,,,,,,
2013-9-1 00:00:00,20.9,,21.2,20.5,,0,,,7,1.2,360,1,316,2,,,,,,,,,,,
2013-8-31 23:00:00,21.3,,23.3,21.2,,0,,,344,1.7,334,1.5,57,3.2,,,,,,,,,,,
2013-8-31 22:00:00,23.4,,23.4,23.2,,0,,,71,1.3,33,0.9,46,3.8,,,,,,,,,,,
2013-8-31 21:00:00,23.4,,23.5,23.3,,0,,,49,2.2,49,1.8,60,2.8,,,,,,,,,,,
2013-8-31 20:00:00,23.5,,23.7,23.5,,0,,,77,1.4,67,1.7,32,3.8,,,,,,,,,,,
2013-8-31 19:00:00,23.7,,24.9,23.7,,0,,,49,2.5,52,2.2,52,5.3,,,,,,,,,,,
2013-8-31 18:00:00,24.8,,25.8,24.8,,0,,,29,5,37,3.4,29,7.9,,,,,,,,,,,
2013-8-31 17:00:00,25.8,,26.5,25.8,,0,,,54,5.3,40,5.4,63,8.4,,,,,,,,,,,
2013-8-31 16:00:00,26.4,,27,26.4,,0,,,46,4.5,39,5.1,40,8.8,,,,,,,,,,,
2013-8-31 15:00:00,26.9,,27.3,26.6,,0,,,353,5.1,21,4.1,32,7.7,,,,,,,,,,,
2013-8-31 14:00:00,27.2,,27.9,26.7,,0,,,49,3.7,33,5.2,46,8.1,,,,,,,,,,,
2013-8-31 13:00:00,27.6,,27.8,26.8,,0,,,49,3.3,11,3.1,347,7.3,,,,,,,,,,,
2013-8-31 12:00:00,27.1,,27.6,26.9,,0,,,26,4.5,32,1.9,52,6.5,,,,,,,,,,,
2013-8-31 11:00:00,27,,27,26,,0,,,327,1.6,340,2.4,355,5.7,,,,,,,,,,,
2013-8-31 10:00:00,26,,26.5,25.6,,0,,,358,1.8,355,3.2,358,7.7,,,,,,,,,,,
2013-8-31 9:00:00,25.6,,25.6,24.4,,0,,,353,3.9,2,2.2,7,7,,,,,,,,,,,
2013-8-31 8:00:00,24.3,,24.3,22.3,,0,,,240,0.8,343,1,4,4.2,,,,,,,,,,,
2013-8-31 7:00:00,22.3,,22.3,21.3,,0,,,299,1.5,351,0.8,350,3.8,,,,,,,,,,,
2013-8-31 6:00:00,21.3,,21.4,21.3,,0,,,333,1.1,352,1.2,341,3.1,,,,,,,,,,,
2013-8-31 5:00:00,21.4,,21.6,21.4,,0,,,74,0.4,10,0.9,308,2.9,,,,,,,,,,,
2013-8-31 4:00:00,21.6,,21.8,21.5,,0,,,277,1,310,0.6,282,2.6,,,,,,,,,,,
2013-8-31 3:00:00,21.8,,22.7,21.8,,0,,,341,0.6,350,0.5,336,1.8,,,,,,,,,,,
2013-8-31 2:00:00,22.7,,23.1,22.7,,0,,,23,0.3,347,0.8,4,3.8,,,,,,,,,,,
2013-8-31 1:00:00,23.1,,23.4,23,,0,,,12,1.8,358,1.9,336,5,,,,,,,,,,,
2013-8-31 00:00:00,23.4,,23.6,23.4,,0,,,12,3.2,357,2.9,4,4.5,,,,,,,,,,,
2013-8-30 23:00:00,23.7,,24.4,23.7,,0,,,355,1.8,358,2.2,38,5.2,,,,,,,,,,,
2013-8-30 22:00:00,24.4,,24.8,24.4,,0,,,344,3.2,359,3.3,353,6.1,,,,,,,,,,,
2013-8-30 21:00:00,24.9,,25.9,24.9,,0,,,355,1.8,5,2.2,355,5.9,,,,,,,,,,,
2013-8-30 20:00:00,25.8,,26.5,25.8,,0,,,322,1.9,18,2.9,344,7.5,,,,,,,,,,,
