time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.6,,23.8,23.5,,0,,,232,1.5,215,1.2,218,2.8,,,,,,,,,,,
2013-9-1 00:00:00,23.5,,23.7,23.3,,0,,,203,1.3,215,1.1,192,2.3,,,,,,,,,,,
2013-8-31 23:00:00,23.7,,23.8,23.6,,0,,,206,1.1,211,0.5,150,2.7,,,,,,,,,,,
2013-8-31 22:00:00,23.8,,24.1,23.7,,0,,,282,0.5,266,1,144,2.5,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.4,23.8,,0,,,147,0.9,222,1,257,2.2,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,25,24.4,,0,,,237,0.5,246,0.4,246,3.5,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.5,25,,0,,,240,0.6,243,1.5,218,3.5,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26,25.5,,0,,,195,1.9,210,2,184,4,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,27.6,26.1,,0,,,226,1.1,243,0.8,153,3.4,,,,,,,,,,,
2013-8-31 16:00:00,26.9,,28.5,26.9,,0,,,265,0.6,249,0.5,291,3.8,,,,,,,,,,,
2013-8-31 15:00:00,28.4,,29.1,27.2,,0,,,164,1.3,238,1.7,240,3.8,,,,,,,,,,,
2013-8-31 14:00:00,27.4,,28.9,27.2,,0,,,212,1.5,218,1.3,195,3.7,,,,,,,,,,,
2013-8-31 13:00:00,27.5,,28.8,27.4,,0,,,229,1.3,143,0.6,293,4.5,,,,,,,,,,,
2013-8-31 12:00:00,28,,29.2,27.7,,0,,,54,0.5,305,1.2,293,4.1,,,,,,,,,,,
2013-8-31 11:00:00,27.9,,28.3,27.3,,0,,,263,1,211,1.5,167,4.1,,,,,,,,,,,
2013-8-31 10:00:00,27.6,,28.4,26.5,,0,,,195,1.3,224,1.5,347,4.1,,,,,,,,,,,
2013-8-31 9:00:00,26.4,,26.4,25.2,,0,,,164,0.3,192,0.3,142,3.1,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.4,24.7,,0,,,164,0.8,236,1,254,2.2,,,,,,,,,,,
2013-8-31 7:00:00,24.7,,24.8,24.4,,0,,,232,0.5,259,0.5,234,2.2,,,,,,,,,,,
2013-8-31 6:00:00,24.4,,24.6,24.3,,0,,,226,0,240,0.2,161,2.4,,,,,,,,,,,
2013-8-31 5:00:00,24.5,,24.6,24.4,,0,,,203,2,178,0.8,192,2.5,,,,,,,,,,,
2013-8-31 4:00:00,24.4,,25,24.4,,0,,,285,0.6,238,0.5,203,2.4,,,,,,,,,,,
2013-8-31 3:00:00,25,,25.3,25,,0,,,226,0.8,214,0.6,142,3.8,,,,,,,,,,,
2013-8-31 2:00:00,25.3,,25.4,25.2,,0,,,248,0.9,208,1.4,240,3.5,,,,,,,,,,,
2013-8-31 1:00:00,25.4,,25.8,25.4,,0,,,220,1.5,206,1.6,293,5.4,,,,,,,,,,,
2013-8-31 00:00:00,25.7,,26.1,25.5,,0,,,243,1.4,209,1.6,218,3.8,,,,,,,,,,,
2013-8-30 23:00:00,26.1,,26.2,26,,0,,,187,0.9,203,1.1,184,4.4,,,,,,,,,,,
2013-8-30 22:00:00,26.3,,26.6,26.2,,0,,,220,2.1,238,0.6,164,3.8,,,,,,,,,,,
2013-8-30 21:00:00,26.6,,27.1,26.5,,0,,,195,1.3,171,0.7,232,4.5,,,,,,,,,,,
2013-8-30 20:00:00,27.1,,27.8,27.1,,0,,,201,0.8,228,1.3,209,5.5,,,,,,,,,,,
2013-8-30 19:00:00,27.8,,29.8,27.8,,0,,,187,2.2,241,2.2,161,5,,,,,,,,,,,
2013-8-30 18:00:00,28.8,,29.8,28.8,,0,,,218,1.8,218,2.7,167,3.9,,,,,,,,,,,
2013-8-30 17:00:00,29.8,,30,29.7,,0,,,158,1.6,241,1.4,198,4.1,,,,,,,,,,,
2013-8-30 16:00:00,30,,31.4,30,,0,,,282,1.9,215,1.4,229,3.5,,,,,,,,,,,
2013-8-30 15:00:00,30.9,,32,30.7,,0,,,167,1.2,212,0.7,299,3.8,,,,,,,,,,,
2013-8-30 14:00:00,31.6,,32.8,31.5,,0,,,178,1.1,244,0.8,167,3.8,,,,,,,,,,,
2013-8-30 13:00:00,31.6,,31.9,31,,0,,,209,0.8,236,1.2,234,3.4,,,,,,,,,,,
2013-8-30 12:00:00,31.6,,31.6,29.6,,0,,,234,1.8,228,1.6,212,4.6,,,,,,,,,,,
2013-8-30 11:00:00,30.3,,30.5,29.6,,0,,,333,0.6,266,1,212,4.6,,,,,,,,,,,
2013-8-30 10:00:00,30.2,,30.2,29.1,,0,,,203,0.8,236,0.6,128,5.4,,,,,,,,,,,
