time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.7,,22.7,22.4,,0,,,338,1.9,6,4.2,18,7,,,,,,,,,,,
2013-9-1 00:00:00,22.6,,22.7,22.2,,0,,,12,2.5,360,2.6,7,6.1,,,,,,,,,,,
2013-8-31 23:00:00,22.7,,23,22.6,,0,,,7,2.6,360,1.9,23,6.1,,,,,,,,,,,
2013-8-31 22:00:00,23,,23.3,22.7,,0,,,23,4.1,12,3.5,353,7.7,,,,,,,,,,,
2013-8-31 21:00:00,23.2,,23.7,23.2,,0,,,15,3.1,7,2.4,358,6.5,,,,,,,,,,,
2013-8-31 20:00:00,23.7,,24.3,23.6,,0,,,49,4.4,35,3.4,12,8,,,,,,,,,,,
2013-8-31 19:00:00,24.3,,25,24.3,,0,,,4,5.9,21,4.1,23,8.6,,,,,,,,,,,
2013-8-31 18:00:00,25.1,,26.6,25.1,,0,,,9,2.4,5,3.4,355,8,,,,,,,,,,,
2013-8-31 17:00:00,26.7,,27.4,25.9,,0,,,353,2.9,4,3.4,29,9.6,,,,,,,,,,,
2013-8-31 16:00:00,26.9,,29.7,26.7,,0,,,4,7.1,6,4.5,7,8.8,,,,,,,,,,,
2013-8-31 15:00:00,30.1,,30.9,29.3,,0,,,18,7.4,19,4.9,38,8.5,,,,,,,,,,,
2013-8-31 14:00:00,29.1,,30.1,27.5,,0,,,353,1.7,356,2.8,29,8,,,,,,,,,,,
2013-8-31 13:00:00,27.6,,31.2,27,,0,,,23,4.5,8,3.8,15,7.5,,,,,,,,,,,
2013-8-31 12:00:00,30.9,,30.9,27.7,,0,,,330,2.9,320,2.5,1,6.7,,,,,,,,,,,
2013-8-31 11:00:00,29.8,,30.1,28.4,,0,,,293,3.8,319,1.7,40,5.8,,,,,,,,,,,
2013-8-31 10:00:00,28.6,,28.7,27.4,,0,,,353,2.6,337,1.6,43,5.9,,,,,,,,,,,
2013-8-31 9:00:00,27.7,,28,25.8,,0,,,338,3.6,340,2.4,333,5.2,,,,,,,,,,,
2013-8-31 8:00:00,25.8,,26.2,24.9,,0,,,12,2.5,2,2.3,9,5.2,,,,,,,,,,,
2013-8-31 7:00:00,25.3,,25.5,24.2,,0,,,7,1.9,351,2.6,18,6.4,,,,,,,,,,,
2013-8-31 6:00:00,24.2,,24.2,23.5,,0,,,358,2.8,355,2.6,15,5.7,,,,,,,,,,,
2013-8-31 5:00:00,23.7,,24,23.7,,0,,,18,2.1,1,1.8,15,5.5,,,,,,,,,,,
2013-8-31 4:00:00,24,,24.2,23.9,,0,,,358,2.3,16,3.5,4,7.3,,,,,,,,,,,
2013-8-31 3:00:00,24.1,,24.4,24.1,,0,,,7,4.7,11,3.7,7,7.8,,,,,,,,,,,
2013-8-31 2:00:00,24.3,,24.6,24.3,,0,,,7,2.2,13,3.1,18,7.6,,,,,,,,,,,
2013-8-31 1:00:00,24.6,,25,24.6,,0,,,12,2.9,2,4.7,344,9.3,,,,,,,,,,,
2013-8-31 00:00:00,25,,25.3,25,,0,,,7,4,7,4.1,21,8.4,,,,,,,,,,,
2013-8-30 23:00:00,25.3,,25.6,25.3,,0,,,355,2.9,358,4.7,26,10.4,,,,,,,,,,,
2013-8-30 22:00:00,25.5,,26,25.5,,0,,,7,3,358,4.2,7,8.5,,,,,,,,,,,
2013-8-30 21:00:00,26,,26.4,26,,0,,,12,4.7,9,5,38,9.9,,,,,,,,,,,
2013-8-30 20:00:00,26.4,,27.4,26.4,,0,,,347,3.5,5,5.1,15,10,,,,,,,,,,,
2013-8-30 19:00:00,27.4,,28.2,27.4,,0,,,1,2.8,9,4.5,9,11,,,,,,,,,,,
2013-8-30 18:00:00,28.2,,29.1,28.2,,0,,,7,5.9,15,4.9,35,9.8,,,,,,,,,,,
2013-8-30 17:00:00,29.2,,30.3,29.2,,0,,,7,3.7,25,4.6,23,7.2,,,,,,,,,,,
2013-8-30 16:00:00,30.1,,32,30,,0,,,63,2.1,46,3.9,38,8.1,,,,,,,,,,,
2013-8-30 15:00:00,31.8,,32,30.8,,0,,,23,6.5,19,3.3,46,8.1,,,,,,,,,,,
2013-8-30 14:00:00,31.6,,33,31.5,,0,,,40,3.8,42,2.8,18,8.5,,,,,,,,,,,
2013-8-30 13:00:00,32.1,,33.2,31.7,,0,,,29,4.2,21,4.6,29,9.5,,,,,,,,,,,
2013-8-30 12:00:00,31.8,,32.1,30.2,,0,,,40,4.6,42,3.6,29,8.5,,,,,,,,,,,
2013-8-30 11:00:00,30.3,,30.8,30,,0,,,60,4,40,4.7,23,9.3,,,,,,,,,,,
2013-8-30 10:00:00,30.7,,31.1,30.3,,0,,,18,5.8,16,5.6,46,8.4,,,,,,,,,,,
2013-8-30 9:00:00,30.6,,30.7,29.5,,0,,,353,3.3,8,3.9,29,8,,,,,,,,,,,
2013-8-30 8:00:00,29.4,,29.4,28.1,,0,,,4,4.2,359,2.2,12,7.3,,,,,,,,,,,
2013-8-30 7:00:00,28.2,,28.2,27.5,,0,,,15,2.3,23,2.7,7,4.3,,,,,,,,,,,
2013-8-30 6:00:00,27.4,,27.7,27.1,,0,,,338,2,351,1.6,353,4.8,,,,,,,,,,,
2013-8-30 5:00:00,27.1,,27.5,27,,0,,,4,0,0,0,330,0.9,,,,,,,,,,,
2013-8-30 4:00:00,27.6,,28.1,27.6,,0,,,128,0,0,0,122,1.3,,,,,,,,,,,
2013-8-30 3:00:00,28.1,,28.2,27.9,,0,,,173,0.4,190,0.4,142,2.5,,,,,,,,,,,
2013-8-30 2:00:00,27.9,,27.9,27.6,,0,,,142,1.3,153,0.8,150,1.4,,,,,,,,,,,
2013-8-30 1:00:00,27.7,,28.1,27.7,,0,,,254,0,0,0,178,1.8,,,,,,,,,,,
2013-8-30 00:00:00,28.1,,28.6,28,,0,,,209,1.1,181,1,187,2.7,,,,,,,,,,,
2013-8-29 23:00:00,28.6,,28.7,28.5,,0,,,209,0,219,0.3,142,2.8,,,,,,,,,,,
2013-8-29 22:00:00,28.6,,29.1,28.5,,0,,,156,0.5,169,1,181,4.3,,,,,,,,,,,
2013-8-29 21:00:00,28.5,,28.5,28,,0,,,192,1.4,175,1.2,161,2.8,,,,,,,,,,,
2013-8-29 20:00:00,28.2,,28.4,27.8,,0,,,218,0.9,210,0.7,83,1.8,,,,,,,,,,,
2013-8-29 19:00:00,28.2,,28.6,27.3,,0,,,85,1.4,57,1.2,52,6.1,,,,,,,,,,,
2013-8-29 18:00:00,27.3,,28.2,27.3,,0.1,,,341,1,355,1.3,336,4.4,,,,,,,,,,,
2013-8-29 17:00:00,27.7,,31.2,27.4,,1,,,133,1.7,153,1.6,288,5.5,,,,,,,,,,,
2013-8-29 16:00:00,31.2,,34.2,31.2,,0,,,330,2.4,306,2.5,263,5.6,,,,,,,,,,,
2013-8-29 15:00:00,34.3,,36.4,34.3,,0,,,170,1.5,164,2.1,108,6.6,,,,,,,,,,,
2013-8-29 14:00:00,36.2,,36.6,35.4,,0,,,153,2.9,148,2.4,150,6.1,,,,,,,,,,,
2013-8-29 13:00:00,35.8,,35.8,34.8,,0,,,147,3.3,168,3.5,167,7,,,,,,,,,,,
2013-8-29 12:00:00,35.2,,35.2,34,,0,,,195,1.9,191,3.7,218,6.8,,,,,,,,,,,
2013-8-29 11:00:00,34.2,,34.7,33.6,,0,,,203,2.9,200,2.9,192,7,,,,,,,,,,,
2013-8-29 10:00:00,34.1,,34.3,33,,0,,,173,2.7,208,2.2,195,6.3,,,,,,,,,,,
2013-8-29 9:00:00,33,,33.5,31.8,,0,,,150,2.5,166,2.9,170,5.5,,,,,,,,,,,
2013-8-29 8:00:00,31.7,,31.7,29.6,,0,,,175,3.5,197,2.4,181,6.3,,,,,,,,,,,
2013-8-29 7:00:00,29.6,,29.6,27.7,,0,,,206,3.2,192,3,187,5.8,,,,,,,,,,,
2013-8-29 6:00:00,27.7,,27.9,27.5,,0,,,187,1.1,194,1.2,198,5.5,,,,,,,,,,,
2013-8-29 5:00:00,27.8,,28.1,27.6,,0,,,173,2.1,182,3,181,5.6,,,,,,,,,,,
2013-8-29 4:00:00,28,,28.2,28,,0,,,158,2.3,192,3,173,6.9,,,,,,,,,,,
2013-8-29 3:00:00,28.1,,28.2,28.1,,0,,,184,2.3,188,2.3,198,6.1,,,,,,,,,,,
