time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.9,,23.1,22.7,,0,,,347,0.4,0,0,285,1.9,,,,,,,,,,,
2013-9-1 00:00:00,22.6,,22.9,22.6,,0,,,336,0,21,0.2,341,3.3,,,,,,,,,,,
2013-8-31 23:00:00,22.9,,23.4,22.9,,0,,,324,0.4,320,0.3,353,2.5,,,,,,,,,,,
2013-8-31 22:00:00,23.2,,23.6,23.1,,0,,,9,0.1,353,0.5,52,2.3,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.1,23.6,,0,,,296,0.2,323,0.3,310,3,,,,,,,,,,,
2013-8-31 20:00:00,24.2,,24.9,24.2,,0,,,111,1.3,43,0.5,282,5.3,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.6,24.9,,0,,,122,0.4,75,0.7,108,4.3,,,,,,,,,,,
2013-8-31 18:00:00,25.6,,26.8,25.6,,0,,,322,1.3,144,1,350,4.5,,,,,,,,,,,
2013-8-31 17:00:00,26.8,,29,26.8,,0,,,316,1.6,200,0.4,15,3.9,,,,,,,,,,,
2013-8-31 16:00:00,28.6,,29.5,27.8,,0,,,40,1.5,338,1,344,4.6,,,,,,,,,,,
2013-8-31 15:00:00,29.2,,31,27.9,,0,,,308,2.2,320,1.1,341,4.6,,,,,,,,,,,
2013-8-31 14:00:00,30.7,,30.7,29.4,,0,,,63,0.8,27,1.3,23,5.1,,,,,,,,,,,
2013-8-31 13:00:00,29.9,,29.9,28.2,,0,,,38,1.1,25,1,336,4.6,,,,,,,,,,,
2013-8-31 12:00:00,28.7,,28.8,27.6,,0,,,316,4.2,295,1.8,347,5,,,,,,,,,,,
2013-8-31 11:00:00,28.2,,28.2,26.9,,0,,,353,0.8,88,0.3,7,3.6,,,,,,,,,,,
2013-8-31 10:00:00,26.9,,27.2,26.5,,0,,,12,0.8,305,1,291,5.6,,,,,,,,,,,
2013-8-31 9:00:00,26.3,,26.3,24.6,,0,,,240,0.8,301,1,336,3.7,,,,,,,,,,,
2013-8-31 8:00:00,24.6,,24.6,23.4,,0,,,355,1.8,290,1,341,3.2,,,,,,,,,,,
2013-8-31 7:00:00,23.4,,23.6,23.4,,0,,,209,0,204,0.3,341,1.8,,,,,,,,,,,
2013-8-31 6:00:00,23.5,,24.4,23.5,,0,,,218,0.3,277,0.7,327,3,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.4,24.3,,0,,,310,0.7,340,0.9,338,2.3,,,,,,,,,,,
2013-8-31 4:00:00,24.3,,24.9,24.3,,0,,,15,0,0,0,330,2.7,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25,24.9,,0,,,60,0.4,47,0.4,336,3.4,,,,,,,,,,,
2013-8-31 2:00:00,24.9,,25.1,24.9,,0,,,77,0,326,0.7,12,3.9,,,,,,,,,,,
2013-8-31 1:00:00,25.1,,25.4,25.1,,0,,,29,0.4,325,0.7,330,3.8,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.7,25.2,,0,,,274,1.4,238,1,344,4.4,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,26.2,25.7,,0,,,254,0,314,0.5,336,4.7,,,,,,,,,,,
2013-8-30 22:00:00,26.1,,26.3,26.1,,0,,,94,0,27,0.6,310,3.5,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,27.2,26.3,,0,,,23,1.3,30,0.6,344,4,,,,,,,,,,,
2013-8-30 20:00:00,27.2,,27.8,27.2,,0,,,175,0.8,308,0.9,330,5,,,,,,,,,,,
2013-8-30 19:00:00,27.8,,28.8,27.8,,0,,,192,1.1,30,0.9,91,5.1,,,,,,,,,,,
2013-8-30 18:00:00,28.8,,29.6,28.8,,0,,,29,0.8,47,0.9,319,4.6,,,,,,,,,,,
2013-8-30 17:00:00,29.6,,30.2,29.6,,0,,,52,0.3,349,0.2,77,3.6,,,,,,,,,,,
2013-8-30 16:00:00,30.2,,31.5,30.2,,0,,,136,0.1,23,0.4,130,4.1,,,,,,,,,,,
2013-8-30 15:00:00,31.6,,32.3,31.6,,0,,,263,0.4,62,0.3,322,5.1,,,,,,,,,,,
2013-8-30 14:00:00,31.9,,32.4,31.7,,0,,,57,1,357,0.9,102,3.9,,,,,,,,,,,
2013-8-30 13:00:00,31.7,,31.9,30.2,,0,,,203,0.8,24,0.8,341,4.4,,,,,,,,,,,
2013-8-30 12:00:00,30.2,,30.3,29.7,,0,,,52,0.7,19,1.3,319,4.5,,,,,,,,,,,
2013-8-30 11:00:00,30,,30.2,29.4,,0,,,4,0.7,93,0.9,80,5.7,,,,,,,,,,,
2013-8-30 10:00:00,29.6,,29.6,29.2,,0,,,60,0.3,32,0.8,46,3.8,,,,,,,,,,,
2013-8-30 9:00:00,29.2,,29.3,27.8,,0,,,32,0,66,0.5,330,3.6,,,,,,,,,,,
2013-8-30 8:00:00,27.8,,27.8,27.1,,0,,,49,0.7,29,0.9,355,3.6,,,,,,,,,,,
2013-8-30 7:00:00,27.2,,27.2,26.5,,0,,,60,0.5,38,0.2,91,2.4,,,,,,,,,,,
