time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.3,,22.6,22.2,,0,,,353,1.5,9,1.4,40,2.7,,,,,,,,,,,
2013-9-1 00:00:00,22.6,,22.6,22.3,,0,,,60,1.6,24,1.5,38,2.8,,,,,,,,,,,
2013-8-31 23:00:00,22.6,,23,22.6,,0,,,40,0.8,17,1.4,15,4.4,,,,,,,,,,,
2013-8-31 22:00:00,23,,23.5,23,,0,,,49,1.2,36,2.3,60,5.5,,,,,,,,,,,
2013-8-31 21:00:00,23.5,,24.1,23.5,,0,,,15,2.3,40,2.3,43,6.2,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.9,24.1,,0,,,38,4.3,56,3.2,74,7.4,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.6,24.9,,0,,,60,4.4,39,4.3,46,7,,,,,,,,,,,
2013-8-31 18:00:00,25.6,,26.8,25.6,,0,,,71,3.4,20,3.5,12,7.6,,,,,,,,,,,
2013-8-31 17:00:00,26.9,,27.4,26.9,,0,,,330,3.1,17,3.7,7,6.4,,,,,,,,,,,
2013-8-31 16:00:00,27.4,,28.9,27.4,,0,,,29,3.5,18,3.2,338,7.9,,,,,,,,,,,
2013-8-31 15:00:00,28.4,,28.8,27.5,,0,,,358,2.1,344,2.2,358,7,,,,,,,,,,,
2013-8-31 14:00:00,27.6,,29.5,27.6,,0,,,4,5.4,7,3.6,310,7.6,,,,,,,,,,,
2013-8-31 13:00:00,28.9,,29,27.5,,0,,,296,3.5,324,3.4,336,7,,,,,,,,,,,
2013-8-31 12:00:00,27.7,,28.8,26.9,,0,,,310,2.8,331,3.2,330,6.8,,,,,,,,,,,
2013-8-31 11:00:00,27.3,,27.5,26.5,,0,,,4,1.7,350,2,319,5.3,,,,,,,,,,,
2013-8-31 10:00:00,26.6,,27.1,25.6,,0,,,71,2,23,2.1,12,6.7,,,,,,,,,,,
2013-8-31 9:00:00,25.6,,25.8,24.8,,0,,,324,1.8,348,3.3,330,5.9,,,,,,,,,,,
2013-8-31 8:00:00,24.8,,24.8,22.6,,0,,,21,3.2,342,2.8,322,4.9,,,,,,,,,,,
2013-8-31 7:00:00,22.6,,22.8,22.5,,0,,,322,1.3,340,1.2,338,3.8,,,,,,,,,,,
2013-8-31 6:00:00,22.7,,23.4,22.7,,0,,,330,3,338,2.3,15,4.8,,,,,,,,,,,
2013-8-31 5:00:00,23.3,,23.4,23.2,,0,,,15,1.6,360,2.1,26,3.9,,,,,,,,,,,
2013-8-31 4:00:00,23.4,,23.6,23.3,,0,,,353,2,355,2.3,1,5.2,,,,,,,,,,,
2013-8-31 3:00:00,23.6,,23.9,23.6,,0,,,353,1.8,9,2.1,7,4.9,,,,,,,,,,,
2013-8-31 2:00:00,23.9,,24.4,23.9,,0,,,9,2.6,9,2.3,12,6.1,,,,,,,,,,,
2013-8-31 1:00:00,24.3,,24.7,24.3,,0,,,336,2.1,2,2.6,4,7,,,,,,,,,,,
2013-8-31 00:00:00,24.7,,25.2,24.7,,0,,,80,1.9,5,2.8,46,6.7,,,,,,,,,,,
2013-8-30 23:00:00,25.3,,25.6,25.3,,0,,,350,3.7,11,2.8,4,7.9,,,,,,,,,,,
2013-8-30 22:00:00,25.6,,26.1,25.6,,0,,,23,5.6,9,4.1,18,8.5,,,,,,,,,,,
2013-8-30 21:00:00,26.1,,26.9,26.1,,0,,,49,3.5,28,4,18,8.6,,,,,,,,,,,
2013-8-30 20:00:00,26.9,,27.9,26.9,,0,,,9,5,21,3.3,1,8.6,,,,,,,,,,,
2013-8-30 19:00:00,27.9,,29,27.9,,0,,,15,7.4,19,4.8,46,8.8,,,,,,,,,,,
2013-8-30 18:00:00,29,,29.6,29,,0,,,23,4.6,13,4.4,12,8,,,,,,,,,,,
2013-8-30 17:00:00,29.7,,29.8,29,,0,,,35,3.5,32,3,1,6.5,,,,,,,,,,,
2013-8-30 16:00:00,28.9,,31.9,28.5,,0,,,35,3.4,16,2.3,358,6.5,,,,,,,,,,,
2013-8-30 15:00:00,31.9,,32.5,31.9,,0,,,49,4.1,29,3.4,18,7.7,,,,,,,,,,,
2013-8-30 14:00:00,32.2,,32.6,31.4,,0,,,23,3.8,9,4.2,7,8,,,,,,,,,,,
2013-8-30 13:00:00,32.3,,32.3,31.1,,0,,,350,3.2,23,3.5,21,9.1,,,,,,,,,,,
2013-8-30 12:00:00,31.1,,31.7,30.6,,0,,,7,6.7,21,4.2,29,9.4,,,,,,,,,,,
2013-8-30 11:00:00,30.7,,31.2,29.9,,0,,,4,4.3,28,3,18,8.6,,,,,,,,,,,
2013-8-30 10:00:00,30.2,,30.7,29.7,,0,,,38,4.9,11,4.2,358,7.9,,,,,,,,,,,
2013-8-30 9:00:00,29.7,,29.9,29.1,,0,,,4,3.2,24,3.4,60,7.8,,,,,,,,,,,
2013-8-30 8:00:00,29.1,,29.1,28,,0,,,18,3.5,5,3.3,26,6.2,,,,,,,,,,,
2013-8-30 7:00:00,28.1,,28.2,27.7,,0,,,18,2.3,17,3.1,9,4.7,,,,,,,,,,,
2013-8-30 6:00:00,27.7,,27.8,27.5,,0,,,358,1.9,1,1.9,7,3.9,,,,,,,,,,,
2013-8-30 5:00:00,27.5,,27.8,27.5,,0,,,21,1.9,11,1.9,26,3.9,,,,,,,,,,,
2013-8-30 4:00:00,27.8,,28,27.8,,0,,,1,1.4,346,1.4,46,2.5,,,,,,,,,,,
2013-8-30 3:00:00,28,,28.2,28,,0,,,60,0.7,48,0.9,80,2.9,,,,,,,,,,,
2013-8-30 2:00:00,28.2,,28.3,28.1,,0,,,4,1,19,1.1,15,2.2,,,,,,,,,,,
2013-8-30 1:00:00,28.3,,28.3,27.6,,0,,,4,0.6,36,1.2,35,2.7,,,,,,,,,,,
2013-8-30 00:00:00,27.6,,27.7,27.3,,0,,,350,0,0,0,319,1.6,,,,,,,,,,,
2013-8-29 23:00:00,27.7,,28,27.4,,0,,,43,0,0,0,60,1.7,,,,,,,,,,,
2013-8-29 22:00:00,27.5,,28.1,27.5,,0,,,344,0,0,0,130,1.6,,,,,,,,,,,
2013-8-29 21:00:00,28.1,,28.4,28,,0,,,173,0,0,0,353,3,,,,,,,,,,,
2013-8-29 20:00:00,28.5,,28.5,28.2,,0,,,15,2.1,334,2,319,6.4,,,,,,,,,,,
2013-8-29 19:00:00,28.2,,28.6,28,,0,,,83,2.2,69,1.4,170,3.7,,,,,,,,,,,
2013-8-29 18:00:00,28.6,,30.1,28.6,,0,,,105,0.9,141,1.3,133,4,,,,,,,,,,,
