time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.2,,22.6,22.1,,0,,,355,0,0,0,46,2.8,,,,,,,,,,,
2013-9-1 00:00:00,22.6,,22.9,22.6,,0,,,21,0.6,21,1.4,54,3.6,,,,,,,,,,,
2013-8-31 23:00:00,22.9,,23.1,22.9,,0,,,15,1.7,29,1.6,26,3.1,,,,,,,,,,,
2013-8-31 22:00:00,23,,23.2,23,,0,,,49,2.2,42,1.9,38,3.4,,,,,,,,,,,
2013-8-31 21:00:00,23.2,,23.6,23.2,,0,,,38,1.5,51,1.8,60,3.6,,,,,,,,,,,
2013-8-31 20:00:00,23.6,,24.4,23.6,,0,,,52,2.4,58,2,35,4.7,,,,,,,,,,,
2013-8-31 19:00:00,24.4,,25.4,24.4,,0,,,49,3,42,3,49,5.9,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26.3,25.4,,0,,,80,2.8,39,3,46,6.6,,,,,,,,,,,
2013-8-31 17:00:00,26.3,,27.2,26.2,,0,,,60,3.9,47,4,46,8.5,,,,,,,,,,,
2013-8-31 16:00:00,26.9,,27.6,26.6,,0,,,49,4.8,55,4.5,26,7.3,,,,,,,,,,,
2013-8-31 15:00:00,27.3,,28.1,27,,0,,,46,3.3,23,3.6,32,7.2,,,,,,,,,,,
2013-8-31 14:00:00,27.5,,29.1,27.2,,0,,,296,2,25,3.2,26,6.3,,,,,,,,,,,
2013-8-31 13:00:00,28.5,,28.9,27.5,,0,,,57,2.1,325,3,330,7.4,,,,,,,,,,,
2013-8-31 12:00:00,28,,28.1,26.8,,0,,,330,3.3,341,3.3,333,6.8,,,,,,,,,,,
2013-8-31 11:00:00,27,,27.7,26.4,,0,,,1,2,341,0.8,29,6.1,,,,,,,,,,,
2013-8-31 10:00:00,26.5,,27,25.8,,0,,,40,2.2,19,3.4,38,5.7,,,,,,,,,,,
2013-8-31 9:00:00,25.8,,25.8,24.7,,0,,,49,1.1,7,1.3,322,4.6,,,,,,,,,,,
2013-8-31 8:00:00,24.7,,24.7,23.5,,0,,,60,2.9,2,2.3,23,5,,,,,,,,,,,
2013-8-31 7:00:00,23.5,,23.5,22.8,,0,,,347,1.1,18,0.7,330,3.2,,,,,,,,,,,
2013-8-31 6:00:00,22.8,,22.9,22.6,,0,,,319,1.5,327,1.6,330,4.5,,,,,,,,,,,
2013-8-31 5:00:00,22.9,,23.1,22.9,,0,,,333,0.4,329,0.7,319,4.6,,,,,,,,,,,
2013-8-31 4:00:00,23.1,,23.2,23.1,,0,,,308,1.5,329,1.9,310,3.1,,,,,,,,,,,
2013-8-31 3:00:00,23.2,,24.1,23.2,,0,,,293,0,329,1.2,336,2.3,,,,,,,,,,,
2013-8-31 2:00:00,24.1,,24.4,24.1,,0,,,4,0.1,18,0.7,26,3.8,,,,,,,,,,,
2013-8-31 1:00:00,24.4,,24.7,24.4,,0,,,4,2.1,25,2.4,4,4.5,,,,,,,,,,,
2013-8-31 00:00:00,24.7,,25.1,24.7,,0,,,338,1.7,15,2.1,344,4.6,,,,,,,,,,,
2013-8-30 23:00:00,25.1,,25.6,25.1,,0,,,49,1.9,27,2.8,9,6.3,,,,,,,,,,,
2013-8-30 22:00:00,25.5,,26,25.5,,0,,,46,3.1,32,3.2,38,6.5,,,,,,,,,,,
2013-8-30 21:00:00,26,,26.4,26,,0,,,29,3.2,21,4.7,21,7.2,,,,,,,,,,,
2013-8-30 20:00:00,26.4,,27.3,26.4,,0,,,40,2.3,36,3.6,38,8.8,,,,,,,,,,,
2013-8-30 19:00:00,27.3,,28.1,27.3,,0,,,35,5.2,33,5,38,8.8,,,,,,,,,,,
2013-8-30 18:00:00,28.1,,29.1,28.1,,0,,,43,8.5,42,6.5,43,8.5,,,,,,,,,,,
2013-8-30 17:00:00,29.1,,30.1,29.1,,0,,,57,4.4,40,4.3,52,7.4,,,,,,,,,,,
2013-8-30 16:00:00,30,,30.2,29.8,,0,,,7,3.2,42,3.1,15,7,,,,,,,,,,,
2013-8-30 15:00:00,30.1,,31.7,30.1,,0,,,32,5.4,29,4.2,66,7.9,,,,,,,,,,,
2013-8-30 14:00:00,31.6,,31.7,30.9,,0,,,40,5.7,50,4.4,63,7.4,,,,,,,,,,,
2013-8-30 13:00:00,31.3,,31.6,30.6,,0,,,35,4.9,45,5.5,38,7.6,,,,,,,,,,,
2013-8-30 12:00:00,31.1,,31.1,29.8,,0,,,60,4.5,43,3.6,52,7.4,,,,,,,,,,,
2013-8-30 11:00:00,29.9,,30,29.3,,0,,,38,4,39,4.2,38,8.7,,,,,,,,,,,
2013-8-30 10:00:00,29.3,,29.3,28.7,,0,,,57,3.6,51,4.7,46,7.1,,,,,,,,,,,
2013-8-30 9:00:00,28.7,,28.9,28,,0,,,23,4,28,3.9,26,7.3,,,,,,,,,,,
2013-8-30 8:00:00,28,,28,27.8,,0,,,60,3.2,33,2.6,32,5.2,,,,,,,,,,,
2013-8-30 7:00:00,27.8,,27.8,27.5,,0,,,26,1,27,1.7,23,3.2,,,,,,,,,,,
2013-8-30 6:00:00,27.5,,27.8,27.4,,0,,,9,1.9,21,1.4,4,4.5,,,,,,,,,,,
2013-8-30 5:00:00,27.8,,28,27.8,,0,,,15,3,32,2.2,35,4.4,,,,,,,,,,,
