time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.9,,23.1,22.8,,0,,,330,1.1,8,1.4,18,2.3,,,,,,,,,,,
2013-9-1 00:00:00,23,,23.4,23,,0,,,308,0,0,0,1,2.4,,,,,,,,,,,
2013-8-31 23:00:00,23.4,,23.8,23.3,,0,,,60,1.3,56,0.3,57,4,,,,,,,,,,,
2013-8-31 22:00:00,23.8,,24.3,23.8,,0,,,77,1.7,73,1.6,68,5.3,,,,,,,,,,,
2013-8-31 21:00:00,24.3,,25.1,24.3,,0,,,60,2.3,70,2.6,68,5.5,,,,,,,,,,,
2013-8-31 20:00:00,25,,25.7,25,,0,,,353,2.2,51,2.4,60,6.5,,,,,,,,,,,
2013-8-31 19:00:00,25.7,,26.6,25.6,,0,,,83,3.1,62,3.1,15,5.9,,,,,,,,,,,
2013-8-31 18:00:00,26.6,,27.4,26.6,,0,,,68,0,58,1.4,26,5.7,,,,,,,,,,,
2013-8-31 17:00:00,27.4,,28.1,27.3,,0,,,313,2,9,2.4,38,6.9,,,,,,,,,,,
2013-8-31 16:00:00,27.9,,29.5,27.9,,0,,,7,4.7,10,3.4,26,7.3,,,,,,,,,,,
2013-8-31 15:00:00,28.9,,30.1,28.9,,0,,,285,1.9,286,2.6,288,7.9,,,,,,,,,,,
2013-8-31 14:00:00,29.8,,29.8,28.1,,0,,,243,1.6,289,1.8,18,6.7,,,,,,,,,,,
2013-8-31 13:00:00,28.3,,29.1,27.8,,0,,,302,1.4,342,2,350,5.8,,,,,,,,,,,
2013-8-31 12:00:00,28.6,,29.2,27.6,,0,,,7,3.8,37,2.8,330,6.1,,,,,,,,,,,
2013-8-31 11:00:00,27.6,,28,26.7,,0,,,353,2.3,360,3.1,277,6.2,,,,,,,,,,,
2013-8-31 10:00:00,27,,27.2,25.4,,0,,,29,2.1,335,1.3,38,5.5,,,,,,,,,,,
2013-8-31 9:00:00,25.6,,25.8,24.8,,0,,,347,4.3,333,3.3,265,5.6,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,24.9,24.1,,0,,,291,4.4,286,2.4,313,5.6,,,,,,,,,,,
2013-8-31 7:00:00,24.3,,24.3,23.5,,0,,,319,2,295,0.5,319,3.2,,,,,,,,,,,
2013-8-31 6:00:00,23.5,,23.6,23.4,,0,,,308,2.2,336,1.9,350,3.8,,,,,,,,,,,
2013-8-31 5:00:00,23.6,,24.2,23.6,,0,,,319,0.8,334,1.3,302,2.6,,,,,,,,,,,
2013-8-31 4:00:00,24.2,,24.6,24.2,,0,,,308,1.9,317,1.4,322,3.5,,,,,,,,,,,
2013-8-31 3:00:00,24.6,,24.6,24.5,,0,,,288,0.7,6,1,1,3.4,,,,,,,,,,,
2013-8-31 2:00:00,24.6,,24.8,24.6,,0,,,1,0,22,0.9,29,4.3,,,,,,,,,,,
2013-8-31 1:00:00,24.8,,25.5,24.8,,0,,,49,1.9,30,1.9,15,6.2,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,25.9,25.5,,0,,,21,3.1,43,2.5,7,7.9,,,,,,,,,,,
2013-8-30 23:00:00,25.9,,26.3,25.8,,0,,,57,3,56,2.3,26,6.9,,,,,,,,,,,
2013-8-30 22:00:00,26.3,,27.1,26.3,,0,,,344,4.6,353,2.6,49,7.7,,,,,,,,,,,
2013-8-30 21:00:00,27.2,,28.2,27.2,,0,,,333,2.5,15,2.9,46,8.7,,,,,,,,,,,
2013-8-30 20:00:00,28.2,,29.4,28.2,,0,,,94,1.6,67,2.2,60,6.7,,,,,,,,,,,
2013-8-30 19:00:00,29.4,,30,29.4,,0,,,63,2.8,68,4,32,7.3,,,,,,,,,,,
2013-8-30 18:00:00,30,,30.6,30,,0,,,83,1.9,54,2.2,60,6.8,,,,,,,,,,,
2013-8-30 17:00:00,30.6,,31.7,30.6,,0,,,54,1,74,2.7,74,5.2,,,,,,,,,,,
2013-8-30 16:00:00,31.7,,32.7,31.6,,0,,,49,4.1,63,3.2,60,6.3,,,,,,,,,,,
2013-8-30 15:00:00,32.4,,32.4,31.8,,0,,,74,1,346,1.8,355,6.5,,,,,,,,,,,
2013-8-30 14:00:00,31.7,,32,31.2,,0,,,74,0.7,67,1.7,49,7.2,,,,,,,,,,,
2013-8-30 13:00:00,31.5,,32.2,31.3,,0,,,38,2.6,63,3.1,71,8.2,,,,,,,,,,,
