time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.2,,23.4,23,,0,,,29,5.6,22,5.5,26,6.8,,,,,,,,,,,
2013-9-1 00:00:00,23.4,,23.7,23.3,,0,,,12,3.1,7,4.3,12,8.5,,,,,,,,,,,
2013-8-31 23:00:00,23.6,,23.9,23.5,,0,,,23,6.3,19,5.9,7,8.7,,,,,,,,,,,
2013-8-31 22:00:00,23.9,,24.1,23.8,,0,,,21,5.7,20,6.7,26,8.8,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.3,23.9,,0,,,355,6.3,9,5.4,21,9.5,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.5,24.2,,0,,,7,7.2,6,6.8,18,10.2,,,,,,,,,,,
2013-8-31 19:00:00,24.5,,24.8,24.2,,0,,,15,7.3,18,6.4,18,11.3,,,,,,,,,,,
2013-8-31 18:00:00,24.7,,25.4,24.7,,0,,,15,7.5,12,8,7,11.8,,,,,,,,,,,
2013-8-31 17:00:00,25.5,,26.3,25.4,,0,,,7,5.2,14,7.7,18,12.1,,,,,,,,,,,
2013-8-31 16:00:00,26.2,,26.8,26.2,,0,,,23,8.8,16,8.3,23,11.7,,,,,,,,,,,
2013-8-31 15:00:00,26.8,,27.3,26.6,,0,,,18,9.1,20,9.2,26,12.4,,,,,,,,,,,
2013-8-31 14:00:00,26.9,,27.3,26.4,,0,,,23,5.9,16,5.4,21,11.4,,,,,,,,,,,
2013-8-31 13:00:00,27.2,,27.5,26.9,,0,,,4,7,13,6,26,9.9,,,,,,,,,,,
2013-8-31 12:00:00,27.5,,27.6,26.6,,0,,,9,4,18,5.8,7,9.2,,,,,,,,,,,
2013-8-31 11:00:00,26.9,,27.5,26.7,,0,,,21,6.7,20,4.7,7,8,,,,,,,,,,,
2013-8-31 10:00:00,27.2,,27.2,26.5,,0,,,9,4,349,4.1,18,9.3,,,,,,,,,,,
2013-8-31 9:00:00,26.3,,26.4,25.7,,0,,,358,3.9,355,3.8,341,7.9,,,,,,,,,,,
2013-8-31 8:00:00,25.6,,25.9,25.2,,0,,,355,4,5,5.8,12,9,,,,,,,,,,,
2013-8-31 7:00:00,25.2,,25.2,24.5,,0,,,7,5.8,9,4.7,26,9.6,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.3,,0,,,15,6.3,11,5.4,15,9.2,,,,,,,,,,,
2013-8-31 5:00:00,24.5,,24.7,24.5,,0,,,23,7.9,21,7.5,355,10,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,24.8,24.7,,0,,,9,5.8,9,6.1,4,11,,,,,,,,,,,
2013-8-31 3:00:00,24.7,,24.8,24.7,,0,,,15,8.7,9,6.8,347,10.5,,,,,,,,,,,
2013-8-31 2:00:00,24.8,,25,24.8,,0,,,15,5.3,5,7.7,4,11.1,,,,,,,,,,,
2013-8-31 1:00:00,25,,25.4,25,,0,,,7,4.8,7,6.6,7,11.4,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.7,25.4,,0,,,7,5.8,3,5.9,12,12.7,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,25.9,25.7,,0,,,353,9.1,5,8.4,4,12.9,,,,,,,,,,,
2013-8-30 22:00:00,25.9,,26.2,25.8,,0,,,7,7,7,8.9,15,12.3,,,,,,,,,,,
2013-8-30 21:00:00,26.2,,26.9,26.2,,0,,,353,8,8,7.9,344,13,,,,,,,,,,,
2013-8-30 20:00:00,26.9,,27.4,26.9,,0,,,358,10.8,8,9,355,12.9,,,,,,,,,,,
2013-8-30 19:00:00,27.3,,28,27.3,,0,,,23,10.4,7,10.4,347,13.6,,,,,,,,,,,
2013-8-30 18:00:00,28,,28.3,28,,0,,,358,8.3,5,8.1,4,14,,,,,,,,,,,
2013-8-30 17:00:00,28.4,,29.5,28.4,,0,,,7,8.9,6,7.2,7,12.2,,,,,,,,,,,
2013-8-30 16:00:00,29.3,,30,29.3,,0,,,26,5,7,5.6,7,9.9,,,,,,,,,,,
2013-8-30 15:00:00,30.1,,30.8,30,,0,,,4,8.1,10,6.1,358,9.4,,,,,,,,,,,
2013-8-30 14:00:00,30.6,,31,30.1,,0,,,353,5.3,5,6.5,7,10.2,,,,,,,,,,,
2013-8-30 13:00:00,30,,30.4,29.6,,0,,,18,6.9,15,7.2,9,10.3,,,,,,,,,,,
2013-8-30 12:00:00,29.6,,30.2,29.4,,0,,,9,7.5,11,7,15,10.8,,,,,,,,,,,
2013-8-30 11:00:00,29.4,,29.6,28.8,,0,,,15,5.8,15,6.6,7,10.7,,,,,,,,,,,
2013-8-30 10:00:00,29.2,,30,28.6,,0,,,9,8.4,6,7,4,10.1,,,,,,,,,,,
2013-8-30 9:00:00,29.9,,30,29.4,,0,,,353,9.2,356,7,353,9.8,,,,,,,,,,,
2013-8-30 8:00:00,29.3,,29.3,27.9,,0,,,4,3.5,4,2.9,15,4.8,,,,,,,,,,,
2013-8-30 7:00:00,27.9,,27.9,26.6,,0,,,336,0,0,0,316,2.2,,,,,,,,,,,
2013-8-30 6:00:00,26.6,,26.8,26.4,,0,,,313,0,312,0,313,0,,,,,,,,,,,
2013-8-30 5:00:00,26.7,,26.9,26.4,,0,,,57,0,54,0,57,0,,,,,,,,,,,
2013-8-30 4:00:00,26.9,,27,26.9,,0,,,144,0,145,0,144,0,,,,,,,,,,,
