time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.8,,22.3,21.8,,0,,,319,0.9,339,1.2,341,3.8,,,,,,,,,,,
2013-9-1 00:00:00,22.3,,22.6,22.3,,0,,,15,1.6,21,1.5,49,2.6,,,,,,,,,,,
2013-8-31 23:00:00,22.5,,23.1,22.5,,0,,,26,1.6,12,1.9,18,4,,,,,,,,,,,
2013-8-31 22:00:00,23,,23.4,23,,0,,,35,1.4,36,1.7,26,4.7,,,,,,,,,,,
2013-8-31 21:00:00,23.3,,23.9,23.3,,0,,,12,1.9,22,1.8,15,6,,,,,,,,,,,
2013-8-31 20:00:00,23.8,,24.2,23.8,,0,,,21,2.3,22,2.3,18,5.5,,,,,,,,,,,
2013-8-31 19:00:00,24.2,,24.7,24.2,,0,,,32,4.1,39,2.7,12,8.1,,,,,,,,,,,
2013-8-31 18:00:00,24.7,,25.3,24.7,,0,,,358,2.9,19,3.6,23,9,,,,,,,,,,,
2013-8-31 17:00:00,25.3,,26.3,25.3,,0,,,15,6.5,28,6.4,32,10.4,,,,,,,,,,,
2013-8-31 16:00:00,26.3,,26.9,26.1,,0,,,68,4.3,57,4.8,49,10.1,,,,,,,,,,,
2013-8-31 15:00:00,27,,27,26.4,,0,,,40,6.6,50,4.4,40,9.4,,,,,,,,,,,
2013-8-31 14:00:00,26.6,,27.3,26.4,,0,,,43,4.1,34,4.4,60,9.4,,,,,,,,,,,
2013-8-31 13:00:00,27.2,,27.5,26.6,,0,,,85,3.2,33,4.3,38,8.1,,,,,,,,,,,
2013-8-31 12:00:00,26.8,,27.7,26.6,,0,,,71,4,52,4.2,23,7.7,,,,,,,,,,,
2013-8-31 11:00:00,27.1,,28.5,26.9,,0,,,15,3.2,23,3.4,21,7.6,,,,,,,,,,,
2013-8-31 10:00:00,27.2,,27.3,26.1,,0,,,333,2.3,359,3.3,23,7,,,,,,,,,,,
2013-8-31 9:00:00,26.5,,26.7,25.7,,0,,,358,2.6,355,3.3,344,8.3,,,,,,,,,,,
2013-8-31 8:00:00,26,,26,25.1,,0,,,347,3.3,342,2.6,15,7.1,,,,,,,,,,,
2013-8-31 7:00:00,25.2,,25.2,23.9,,0,,,313,1.9,15,1.8,18,4.5,,,,,,,,,,,
2013-8-31 6:00:00,24,,24.2,23.8,,0,,,43,1.5,18,1,38,5.2,,,,,,,,,,,
2013-8-31 5:00:00,24.2,,24.6,24.1,,0,,,15,3,25,2.8,18,6.3,,,,,,,,,,,
2013-8-31 4:00:00,24.5,,24.6,24.5,,0,,,15,1.2,21,2.4,29,7.6,,,,,,,,,,,
2013-8-31 3:00:00,24.6,,24.8,24.5,,0,,,7,3.7,22,2.9,1,7.6,,,,,,,,,,,
2013-8-31 2:00:00,24.8,,24.9,24.7,,0,,,35,1.7,29,3.3,15,7.3,,,,,,,,,,,
2013-8-31 1:00:00,24.9,,25.3,24.8,,0,,,23,4.6,17,3.5,1,7.4,,,,,,,,,,,
2013-8-31 00:00:00,25.2,,25.5,25.2,,0,,,353,5.9,10,4.1,23,10.7,,,,,,,,,,,
