time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.6,,23,22.6,,0,,,15,2.8,2,2.7,9,6.2,,,,,,,,,,,
2013-9-1 00:00:00,23,,23.2,22.9,,0.1,,,7,4.6,2,3.9,15,6.7,,,,,,,,,,,
2013-8-31 23:00:00,23.2,,23.4,23.1,,0,,,23,3,17,3.2,35,6.3,,,,,,,,,,,
2013-8-31 22:00:00,23.1,,23.5,23.1,,0,,,38,2,16,2.6,32,5.4,,,,,,,,,,,
2013-8-31 21:00:00,23.4,,23.9,23.4,,0,,,15,3.5,34,1.8,12,6.2,,,,,,,,,,,
2013-8-31 20:00:00,23.6,,24.4,23.6,,0,,,23,2.5,19,1.9,52,7.2,,,,,,,,,,,
2013-8-31 19:00:00,24.4,,25,24.3,,0,,,46,3.2,28,3.6,38,7.2,,,,,,,,,,,
2013-8-31 18:00:00,25.1,,26,25.1,,0,,,4,4.1,7,3.5,1,8,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,27.1,26.1,,0,,,9,5.7,7,5,7,8.8,,,,,,,,,,,
2013-8-31 16:00:00,27.1,,27.6,26.8,,0,,,1,3.4,354,4.5,1,8.8,,,,,,,,,,,
2013-8-31 15:00:00,27.5,,28.6,27.3,,0,,,353,6,346,4.2,330,8.2,,,,,,,,,,,
2013-8-31 14:00:00,28.4,,28.8,27.8,,0,,,1,4.9,326,3.2,330,8.5,,,,,,,,,,,
2013-8-31 13:00:00,28.8,,29.1,28.3,,0,,,338,3.4,341,2.8,324,9.2,,,,,,,,,,,
2013-8-31 12:00:00,28.2,,28.3,27.1,,0,,,251,1.5,325,2.1,1,7.4,,,,,,,,,,,
2013-8-31 11:00:00,27.9,,27.9,27.3,,0,,,7,4.2,353,3.5,353,6.7,,,,,,,,,,,
2013-8-31 10:00:00,27.4,,27.7,26.8,,0,,,350,3,349,3.4,322,7.6,,,,,,,,,,,
2013-8-31 9:00:00,27.2,,27.2,25.8,,0,,,322,3,350,2.7,322,7.4,,,,,,,,,,,
2013-8-31 8:00:00,25.9,,25.9,24,,0,,,308,1.9,326,2.9,322,7.6,,,,,,,,,,,
2013-8-31 7:00:00,24,,24,22.9,,0,,,327,1.9,338,2,355,5.9,,,,,,,,,,,
2013-8-31 6:00:00,22.9,,23.1,22.7,,0,,,330,2.3,316,1.9,316,4.9,,,,,,,,,,,
2013-8-31 5:00:00,23.1,,23.6,23.1,,0,,,313,2.5,311,2.6,302,4.3,,,,,,,,,,,
2013-8-31 4:00:00,23.6,,23.8,23.6,,0,,,324,1.9,336,1.4,341,4.2,,,,,,,,,,,
2013-8-31 3:00:00,23.8,,24.3,23.8,,0,,,9,1.6,331,2,322,5.9,,,,,,,,,,,
