time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,15.3,23.6,23.4,1011.5,0,60,59,118,1.1,26,1.4,55,5.8,34446,32619,21.8,21.8,21.1,25.7,27.2,28.3,28.8,,
2013-9-1 00:00:00,23.5,15,23.7,23.4,1011.5,0,59,59,74,2.5,28,2.6,359,4.8,50000,25741,21.2,21.5,21.1,26.1,27.6,28.6,29,,
2013-8-31 23:00:00,23.6,15.1,23.9,23.6,1011.3,0,59,58,76,1.8,34,2.4,48,5.7,43066,32163,21.3,21.8,21.2,26.7,28.1,28.9,29.2,,
2013-8-31 22:00:00,23.9,15.1,24.1,23.8,1011.3,0,58,58,93,2.5,45,2.7,77,6.1,33673,27884,21.7,22.4,21.7,27.3,28.7,29.3,29.4,,
2013-8-31 21:00:00,24,15.2,24.4,23.9,1011.4,0,58,57,358,2.4,46,2.2,5,6.1,31214,17246,22.3,23.4,22.3,28.1,29.2,29.6,29.5,,
2013-8-31 20:00:00,24.4,15.3,24.8,24.3,1011.3,0,57,56,16,2,13,2.8,8,7,32331,26259,23.4,24.9,23.4,29,29.8,29.9,29.5,,
2013-8-31 19:00:00,24.8,15.4,25.5,24.8,1010.8,0,56,53,22,2.5,65,2.8,64,7.2,30633,19452,24.9,26.9,24.9,29.9,30.4,30.1,29.5,,
2013-8-31 18:00:00,25.5,15.5,26.6,25.5,1010.7,0,54,53,67,3,45,1.9,70,6.6,25262,22995,27,30.3,27,30.9,30.9,30.1,29.4,,
2013-8-31 17:00:00,26.7,16.6,27.4,26.6,1010.4,0,54,51,23,2.7,28,2.8,47,6.8,29646,21429,30.5,36.3,30.5,31.9,31.1,30,29.2,,
2013-8-31 16:00:00,27.4,17,28.7,27.4,1010,0,53,43,63,2.8,32,2.6,21,8.2,25254,16195,35,43.7,35,32.4,31,29.8,29,,
2013-8-31 15:00:00,28.7,15.6,28.9,28.1,1009.6,0,45,45,47,4.6,339,2,298,7.2,49217,15308,42.3,45.5,38.3,32.2,30.6,29.4,28.8,,
2013-8-31 14:00:00,28.5,16.4,28.6,28.1,1009.6,0,48,48,356,4.3,357,2.5,38,6.3,39593,12076,44.3,45.3,38.7,31.8,30.2,29,28.5,,
2013-8-31 13:00:00,28.4,17.6,29.3,27.6,1009.6,0,52,48,60,2.4,47,2.6,8,6.2,24448,11398,42.1,52,36.9,31.4,29.4,28.4,28.3,,
2013-8-31 12:00:00,28.8,18,29,27.8,1009.8,0,52,49,345,1.9,308,3.3,287,6.5,18982,12048,46.7,50.7,40.5,29.9,28.4,28,28.2,,
2013-8-31 11:00:00,28,17.5,28.3,26.8,1009.9,0,53,53,303,6.5,299,4.4,303,6.5,22765,11743,42.4,44,33.7,28.3,27.6,27.7,28.1,,
2013-8-31 10:00:00,26.7,18.3,26.8,26.2,1010.2,0,60,60,85,1.5,347,1.3,305,5.6,20434,10499,32.8,35.3,31.1,27.1,27.1,27.6,28.2,,
2013-8-31 9:00:00,26.2,19.1,26.2,25.3,1009.9,0,65,64,353,1.2,29,0.8,5,5,16576,10827,31.2,31.2,26.7,26.2,26.8,27.6,28.3,,
2013-8-31 8:00:00,25.3,19,25.3,24.9,1009.6,0,68,68,347,1.5,341,1.9,74,5.5,13670,12881,26.6,26.6,24.6,25.8,26.7,27.7,28.4,,
2013-8-31 7:00:00,24.9,18.8,25,24.7,1009.1,0,69,69,30,2,14,1.9,59,6.3,20006,14532,24.5,24.8,23,25.6,26.8,27.8,28.5,,
2013-8-31 6:00:00,24.7,18.9,24.7,24.6,1008.5,0,70,70,353,2.1,22,2.2,40,4.9,24067,6892,23,23,22.4,25.6,26.9,28,28.7,,
2013-8-31 5:00:00,24.6,18.8,24.6,24.4,1008,0,70,70,8,1.6,41,1.8,7,5.4,20225,15600,22.5,22.5,22.3,25.8,27.1,28.2,28.8,,
2013-8-31 4:00:00,24.5,18.9,24.8,24.5,1007.8,0,71,70,88,2.2,26,1.5,3,5.6,20039,9193,22.3,22.8,22.2,26,27.4,28.4,29,,
2013-8-31 3:00:00,24.8,19.2,25,24.8,1007.5,0,71,70,93,2.5,62,2,68,7.3,19003,16290,22.7,22.9,22.7,26.2,27.6,28.6,29.2,,
2013-8-31 2:00:00,25,19.4,25.3,25,1007.3,0,71,70,65,2.1,77,1.6,48,7.4,16395,14995,22.8,22.8,22.6,26.5,27.9,28.9,29.4,,
2013-8-31 1:00:00,25.3,19.4,25.7,25.3,1006.9,0,70,68,1,1.9,53,2.8,25,6.6,19491,13502,22.8,23.1,22.8,26.9,28.2,29.1,29.5,,
2013-8-31 00:00:00,25.7,19.4,25.9,25.7,1006.7,0,68,67,63,1,35,2.4,39,7.6,18103,13213,23,23.8,23,27.3,28.6,29.4,29.7,,
2013-8-30 23:00:00,25.9,19.5,26.2,25.9,1006.8,0,68,68,116,1.6,42,2.1,69,7.6,15651,9769,23.8,24.1,23.8,27.7,28.9,29.6,29.9,,
2013-8-30 22:00:00,26.2,20.3,26.3,26.1,1006.4,0,70,70,19,1.8,25,2.2,336,9.5,10788,8441,24,24.5,24,28.2,29.3,29.9,30,,
2013-8-30 21:00:00,26.4,20.7,27,26.3,1006.8,0,71,71,349,2.5,29,3.3,17,7.8,8675,5034,24.5,25.7,24.5,28.8,29.8,30.2,30.1,,
2013-8-30 20:00:00,27.1,22.1,28,27.1,1005.9,0,74,73,66,1.5,90,2,23,9.5,5148,3891,25.7,26.6,25.7,29.4,30.2,30.4,30.2,,
2013-8-30 19:00:00,28,22.9,28.8,28,1004.7,0,74,73,103,3,46,2.2,21,8.7,3865,3592,26.6,27.6,26.6,30,30.6,30.6,30.3,,
2013-8-30 18:00:00,28.8,23.5,29.6,28.8,1003.6,0,73,68,343,1.9,53,1.8,332,7.7,3904,3904,27.6,29,27.6,30.6,31,30.7,30.3,,
2013-8-30 17:00:00,29.6,23.1,30.5,29.6,1003.4,0,68,65,94,2.8,57,2.1,94,6.2,4842,4805,28.9,31.6,28.9,31.3,31.3,30.8,30.3,,
2013-8-30 16:00:00,30.5,23.2,31.4,30.5,1003,0,65,63,83,3.2,43,3.1,65,7.2,5096,4243,31.7,34.8,31.7,32,31.5,30.8,30.2,,
2013-8-30 15:00:00,31.4,23.5,31.8,31.4,1002.5,0,63,60,69,2.4,21,2.3,55,7.5,4578,4419,34.7,38.2,34.7,32.3,31.4,30.6,30.1,,
2013-8-30 14:00:00,31.8,23.1,31.9,31.5,1002.6,0,60,60,92,2.6,21,3.1,2,7.6,4675,4101,36.9,38.3,35.8,32.2,31.2,30.4,30,,
2013-8-30 13:00:00,31.5,23.1,31.7,31.3,1002.4,0,61,60,68,1.7,342,2.6,56,9.3,4888,3809,37.8,39.4,35.5,31.8,30.8,30.2,29.9,,
2013-8-30 12:00:00,31.5,23.6,31.5,30.2,1003.2,0,63,62,8,1.6,39,2.9,9,8.8,4523,3973,37.8,38.1,32.9,31.1,30.4,30,29.9,,
2013-8-30 11:00:00,30.2,23.4,30.8,30,1003.3,0,67,67,73,3.5,42,3.2,21,8.7,4674,4276,32.8,36.2,32.4,30.8,30.2,29.9,29.8,,
2013-8-30 10:00:00,30.7,24.1,30.7,29.8,1003.2,0,68,68,12,3,49,2.4,80,7.5,4424,4040,36,36.4,32.3,30.1,29.8,29.8,29.8,,
2013-8-30 9:00:00,29.8,23.5,30.1,29.7,1003.2,0,69,65,32,2.8,35,2.7,293,7.7,4701,4701,32.3,33.8,31.2,29.5,29.5,29.8,29.9,,
2013-8-30 8:00:00,29.6,23.5,29.6,28.4,1002.8,0,70,70,23,1.8,52,2,8,5.9,5965,5182,31.1,31.1,28.5,29.1,29.5,29.8,30,,
2013-8-30 7:00:00,28.4,25.4,28.4,28.1,1002.2,0,84,84,23,1.8,17,1.4,74,4.3,5362,3367,28.5,28.5,27.5,29,29.5,29.9,30.1,,
2013-8-30 6:00:00,28.1,25.1,28.1,27.5,1001.8,0,84,84,45,0.9,53,0.9,344,3.9,3892,3801,27.5,27.6,27.4,29.1,29.7,30.1,30.2,,
2013-8-30 5:00:00,27.5,26.4,27.5,27.4,1001.1,0,94,92,96,0.9,85,0.4,62,1.3,9330,7157,27.5,27.5,27.3,29.2,29.8,30.2,30.4,,
2013-8-30 4:00:00,27.5,26.1,27.7,27.5,1000.8,0,92,91,90,0.6,114,0.5,77,1.2,8542,8542,27.5,27.9,27.4,29.4,30,30.4,30.5,,
2013-8-30 3:00:00,27.7,26.1,27.7,27.5,1001.4,0,91,91,96,0.9,103,0.6,119,1.5,10170,4757,27.9,27.9,27.7,29.6,30.2,30.6,30.6,,
2013-8-30 2:00:00,27.5,26.4,27.6,27.4,1001.5,0,94,94,118,0.1,94,0.5,98,1.3,9520,4022,27.8,27.9,27.7,29.8,30.4,30.8,30.8,,
2013-8-30 1:00:00,27.4,26.3,27.7,27.4,1001.6,0,94,92,48,0.2,55,0.2,97,0.8,9164,6972,27.8,27.8,27.6,30,30.7,31,30.9,,
2013-8-30 00:00:00,27.6,26.2,28,27.6,1001.4,0,92,90,73,0.2,0,0,134,1.3,9396,7658,27.8,28.1,27.8,30.3,31,31.3,31.1,,
2013-8-29 23:00:00,28,26.2,28,27.8,1001.3,0,90,89,10,0.4,230,0.2,129,2.4,11521,9193,28.1,28.3,28,30.7,31.3,31.5,31.3,,
2013-8-29 22:00:00,28,26,28.3,27.8,1001.2,0,89,87,137,0.8,131,0.9,160,3.3,9926,4797,28.3,28.6,28.3,31.1,31.7,31.8,31.4,,
2013-8-29 21:00:00,27.9,26.5,27.9,27.6,1001.4,0,92,92,88,0.9,112,1.3,130,2.3,5136,1656,28.6,28.8,28.6,31.6,32.2,32.1,31.6,,
2013-8-29 20:00:00,27.6,26.4,27.6,27.5,1001.7,0,93,90,23,0.2,183,0.2,76,1.7,2526,2193,28.8,29,28.8,32.2,32.7,32.5,31.7,,
2013-8-29 19:00:00,27.5,25.7,27.7,27.3,1001.6,0,90,88,68,0.3,47,0.3,13,5,3589,1813,29,29.7,28.9,33,33.4,32.9,31.8,,
2013-8-29 18:00:00,27.6,26.4,27.7,26.8,1001.6,0.2,93,91,62,1.8,84,1.8,79,3.7,3802,2107,29.7,29.9,29.1,34.1,34.3,33.2,31.8,,
2013-8-29 17:00:00,26.8,25.2,30.1,26.4,999.9,10.2,91,69,173,1,186,0.6,310,8.1,2849,1158,29.1,33.5,28,35.9,35.3,33.4,31.6,,
2013-8-29 16:00:00,30.3,23.7,34.8,30.3,1000.5,0,68,54,317,5,317,4,296,7.7,10182,6535,34.5,45.1,34.5,38,35.8,33.1,31.2,,
2013-8-29 15:00:00,34.8,25,35.8,34.8,999.3,0,57,55,128,1.6,139,2.3,183,5.4,13025,8333,45.1,55.9,45.1,38.9,35.5,32.6,30.8,,
2013-8-29 14:00:00,35.4,25.6,35.6,35.1,999.7,0,57,56,163,3.6,158,1.6,163,5.7,12341,8710,55.7,58.2,55.4,38.3,34.7,31.9,30.3,,
2013-8-29 13:00:00,35,25.5,35,34.2,1000.7,0,58,57,199,3.3,174,3.1,188,7.6,16250,8507,57.3,57.7,54.4,37.1,33.6,31.1,29.9,,
2013-8-29 12:00:00,34.2,25.3,34.2,33.7,1001.1,0,60,59,218,3.1,187,3.1,164,6.6,17512,10271,56.2,56.2,53.1,35.6,32.4,30.4,29.6,,
2013-8-29 10:00:00,33.6,25.3,33.7,32.7,1001.8,0,62,60,183,3.3,185,3.2,184,5,14082,8957,50.7,50.7,44.7,31.7,30,29.4,29.3,,
2013-8-29 9:00:00,32.8,24.6,32.8,31.3,1001.8,0,62,62,161,2.3,179,3.3,162,4.9,24488,11686,44.7,44.7,38.2,30,29.2,29.2,29.3,,
2013-8-29 8:00:00,31.2,24.8,31.2,29.3,1002.1,0,69,69,211,1.9,217,1.7,182,4.3,20843,12834,38,38,31.5,28.8,28.8,29.2,29.4,,
2013-8-29 7:00:00,29.2,24.7,29.2,28,1002.2,0,77,77,189,2.1,189,1.8,170,4.9,19188,12146,31.4,31.4,26.7,28.2,28.8,29.3,29.5,,
2013-8-29 6:00:00,28,24.6,28.1,28,1001.9,0,82,81,216,2.3,190,1.6,181,6.3,12960,12139,26.7,26.7,26.2,28.2,28.9,29.4,29.6,,
