time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22,,22.4,21.9,,0,,,63,1.6,57,1.7,52,3.5,,,,,,,,,,,
2013-9-1 00:00:00,22.4,,22.7,22.4,,0,,,60,2,61,1.6,63,4.6,,,,,,,,,,,
2013-8-31 23:00:00,22.6,,23.1,22.6,,0,,,52,2.6,60,2.7,57,4.9,,,,,,,,,,,
2013-8-31 22:00:00,23.1,,23.5,23.1,,0,,,97,1.9,52,2.5,52,6.3,,,,,,,,,,,
2013-8-31 21:00:00,23.5,,24.1,23.5,,0,,,23,2,52,2.5,54,6.7,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,24.8,24.1,,0,,,57,4,58,3.1,57,7.2,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.4,24.8,,0,,,71,4.9,64,4.1,60,7.1,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26.2,25.4,,0,,,99,2.3,47,3.2,68,7.7,,,,,,,,,,,
2013-8-31 17:00:00,26.2,,27.7,26.2,,0,,,80,4.1,62,3.2,99,8,,,,,,,,,,,
2013-8-31 16:00:00,27.7,,28.6,27.7,,0,,,43,1.4,53,3.7,74,7.9,,,,,,,,,,,
2013-8-31 15:00:00,28.6,,28.7,27.7,,0,,,63,5.8,64,4.2,60,7.6,,,,,,,,,,,
2013-8-31 14:00:00,28.5,,30.9,28.4,,0,,,46,3.4,56,3.9,77,7.8,,,,,,,,,,,
2013-8-31 13:00:00,30.8,,30.8,29,,0,,,97,2.8,62,2.2,40,7.2,,,,,,,,,,,
2013-8-31 12:00:00,29.8,,30.5,28.7,,0,,,119,1,54,1.3,23,6.8,,,,,,,,,,,
2013-8-31 11:00:00,28.9,,29.3,28,,0,,,4,2.5,358,2.5,12,6.5,,,,,,,,,,,
2013-8-31 10:00:00,28.6,,28.7,27.2,,0,,,21,2.7,352,2.2,71,5.9,,,,,,,,,,,
2013-8-31 9:00:00,27.1,,27.4,25.9,,0,,,85,2.6,36,2.1,63,5.3,,,,,,,,,,,
2013-8-31 8:00:00,25.9,,26,25.4,,0,,,74,1.6,37,1.8,77,5.6,,,,,,,,,,,
2013-8-31 7:00:00,25.4,,25.5,23.9,,0,,,108,1.9,52,2.5,54,6,,,,,,,,,,,
2013-8-31 6:00:00,23.9,,23.9,23.8,,0,,,74,1.9,65,2,74,4.3,,,,,,,,,,,
2013-8-31 5:00:00,23.9,,24.5,23.9,,0,,,77,1.6,37,1.4,68,5.5,,,,,,,,,,,
2013-8-31 4:00:00,24.5,,24.6,24.5,,0,,,74,1.1,60,2.4,60,6.8,,,,,,,,,,,
2013-8-31 3:00:00,24.6,,24.8,24.6,,0,,,26,2.1,55,2.8,52,7.6,,,,,,,,,,,
2013-8-31 2:00:00,24.8,,25.2,24.8,,0,,,52,1.7,52,2.6,74,8.3,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.5,25.2,,0,,,71,1.5,59,2.4,68,7.7,,,,,,,,,,,
2013-8-31 00:00:00,25.5,,25.7,25.5,,0,,,83,3.4,37,2,40,9.2,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,25.8,25.7,,0,,,52,2.9,49,2.7,74,8.8,,,,,,,,,,,
2013-8-30 22:00:00,25.8,,26.3,25.8,,0,,,68,2.8,55,2.8,57,8.3,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,27.3,26.3,,0,,,29,4.2,50,3.9,63,9.8,,,,,,,,,,,
2013-8-30 20:00:00,27.3,,28.1,27.3,,0,,,46,2.2,53,3.4,52,8.9,,,,,,,,,,,
2013-8-30 19:00:00,28.1,,28.8,28.1,,0,,,85,1.2,62,3.5,49,10,,,,,,,,,,,
2013-8-30 18:00:00,28.8,,29.5,28.8,,0,,,1,3.5,56,4.4,63,10.1,,,,,,,,,,,
2013-8-30 17:00:00,29.5,,30.6,29.5,,0,,,80,2,77,3,68,9.1,,,,,,,,,,,
2013-8-30 16:00:00,30.6,,31.6,30.5,,0,,,52,5.2,62,3.9,74,7.3,,,,,,,,,,,
2013-8-30 15:00:00,31.4,,32.4,31.3,,0,,,60,2.8,61,3.2,66,8,,,,,,,,,,,
2013-8-30 14:00:00,32.1,,33,31.9,,0,,,68,3.9,30,3,57,7.1,,,,,,,,,,,
2013-8-30 13:00:00,32.2,,32.6,31.1,,0,,,74,2.8,53,3.9,54,9.3,,,,,,,,,,,
2013-8-30 12:00:00,31,,31.1,30.5,,0,,,85,4.5,59,4.2,52,7.7,,,,,,,,,,,
2013-8-30 11:00:00,30.6,,31.1,30.3,,0,,,43,2.4,53,3.7,77,7.8,,,,,,,,,,,
2013-8-30 10:00:00,31.1,,31.3,30.5,,0,,,74,4.1,60,3.1,63,7.3,,,,,,,,,,,
2013-8-30 9:00:00,30.5,,30.5,28.5,,0,,,80,3.7,62,3.4,68,7.9,,,,,,,,,,,
2013-8-30 8:00:00,28.6,,28.6,27.2,,0,,,57,3.7,59,3,63,4.4,,,,,,,,,,,
2013-8-30 7:00:00,27.2,,27.9,27.1,,0,,,46,2.2,52,2,9,5.2,,,,,,,,,,,
2013-8-30 6:00:00,27.7,,27.7,27.4,,0,,,35,0,0,0,63,1.4,,,,,,,,,,,
2013-8-30 5:00:00,27.4,,27.6,27.4,,0,,,74,0,0,0,187,2,,,,,,,,,,,
2013-8-30 4:00:00,27.5,,27.9,27.5,,0,,,142,1.3,151,1.1,108,1.6,,,,,,,,,,,
2013-8-30 3:00:00,27.9,,27.9,27.8,,0,,,125,1,120,1.1,175,1.7,,,,,,,,,,,
2013-8-30 2:00:00,27.9,,27.9,27.6,,0,,,125,1.1,142,0.9,142,1.9,,,,,,,,,,,
2013-8-30 1:00:00,27.8,,28,27.8,,0,,,83,0,0,0,139,1.7,,,,,,,,,,,
2013-8-30 00:00:00,28,,28.3,28,,0,,,119,0,0,0,153,2.6,,,,,,,,,,,
2013-8-29 23:00:00,28.3,,28.6,28.3,,0,,,156,1.4,176,1.5,164,2.8,,,,,,,,,,,
2013-8-29 22:00:00,28.6,,29,28.6,,0,,,97,0,0,0,173,4.1,,,,,,,,,,,
2013-8-29 21:00:00,28.9,,29.1,28.8,,0,,,167,1.8,185,1.8,187,3.7,,,,,,,,,,,
2013-8-29 20:00:00,29.1,,29.1,28.8,,0,,,181,1.7,163,2,164,3.2,,,,,,,,,,,
2013-8-29 19:00:00,29,,29,28,,0,,,97,0.7,83,1.1,220,3.6,,,,,,,,,,,
2013-8-29 18:00:00,28,,30,27.8,,0.1,,,195,2.1,205,1.7,128,3.5,,,,,,,,,,,
2013-8-29 17:00:00,30.3,,33.5,30.3,,0.8,,,60,0.9,68,2.1,52,7,,,,,,,,,,,
2013-8-29 16:00:00,33.5,,34.5,33.5,,0,,,164,1.9,164,2.7,167,4.9,,,,,,,,,,,
2013-8-29 15:00:00,34.3,,35,34.3,,0,,,119,2.3,174,2.7,209,6,,,,,,,,,,,
2013-8-29 14:00:00,34.4,,34.6,33.9,,0,,,122,2.3,162,2.7,218,7.1,,,,,,,,,,,
2013-8-29 13:00:00,34.3,,34.4,33.8,,0,,,189,2.8,204,2.6,187,6.8,,,,,,,,,,,
2013-8-29 12:00:00,33.7,,34.4,33,,0,,,170,1.4,157,1.8,181,7.1,,,,,,,,,,,
2013-8-29 11:00:00,33.2,,33.3,32.5,,0,,,184,2,185,2.7,136,7.2,,,,,,,,,,,
2013-8-29 10:00:00,33.1,,33.3,31.6,,0,,,220,4.2,223,3.3,218,6.7,,,,,,,,,,,
2013-8-29 9:00:00,31.6,,31.8,31,,0,,,195,2,188,2.9,198,5.3,,,,,,,,,,,
2013-8-29 8:00:00,31,,31,29.1,,0,,,212,1.5,201,2.1,184,5.4,,,,,,,,,,,
2013-8-29 7:00:00,29,,29,27.7,,0,,,178,2.8,193,2.6,209,4.5,,,,,,,,,,,
2013-8-29 6:00:00,27.7,,27.7,27.6,,0,,,195,1.7,191,1.3,187,4.9,,,,,,,,,,,
2013-8-29 5:00:00,27.7,,27.9,27.7,,0,,,175,1.7,200,1.7,215,5.2,,,,,,,,,,,
