time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.4,,22.4,22.2,,0,,,29,1.5,36,1.2,35,3.2,,,,,,,,,,,
2013-9-1 00:00:00,22.4,,22.8,22.4,,0,,,29,1.4,32,1.5,15,3.6,,,,,,,,,,,
2013-8-31 23:00:00,22.8,,23.2,22.8,,0,,,52,2.2,40,1.9,38,4.7,,,,,,,,,,,
2013-8-31 22:00:00,23.1,,23.5,23.1,,0,,,12,2.9,19,3,1,5,,,,,,,,,,,
2013-8-31 21:00:00,23.5,,24.3,23.5,,0,,,23,1.6,28,2.4,18,6.8,,,,,,,,,,,
2013-8-31 20:00:00,24.3,,24.9,24.3,,0,,,40,3.8,32,3.9,40,7.4,,,,,,,,,,,
2013-8-31 19:00:00,24.9,,25.4,24.9,,0,,,46,3.9,37,4.5,46,7.5,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.3,25.5,,0,,,18,1.6,19,3.2,52,8.5,,,,,,,,,,,
2013-8-31 17:00:00,26.3,,27.5,26.3,,0,,,32,3.1,35,3.1,29,8,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,28.9,27.6,,0,,,32,4.2,41,3.7,12,7.5,,,,,,,,,,,
2013-8-31 15:00:00,28.4,,28.7,27.8,,0,,,18,5,7,4.8,29,8,,,,,,,,,,,
2013-8-31 14:00:00,28.3,,30.6,28.1,,0,,,49,3.5,33,2.5,38,8,,,,,,,,,,,
2013-8-31 13:00:00,30,,31.1,28.9,,0,,,12,3.4,21,3.6,302,6.9,,,,,,,,,,,
2013-8-31 12:00:00,29.2,,29.8,28.8,,0,,,52,2.5,34,4.2,344,7.4,,,,,,,,,,,
2013-8-31 11:00:00,29.2,,29.2,28.2,,0,,,341,3.6,345,3.9,18,7.2,,,,,,,,,,,
2013-8-31 10:00:00,28.5,,28.5,26.6,,0,,,49,2.8,34,3,18,4.8,,,,,,,,,,,
2013-8-31 9:00:00,27.2,,27.4,26.1,,0,,,353,2.3,13,2.4,46,5.3,,,,,,,,,,,
2013-8-31 8:00:00,26.2,,26.2,25.8,,0,,,23,1.3,35,2.2,15,5.7,,,,,,,,,,,
2013-8-31 7:00:00,25.8,,25.8,24.2,,0,,,63,2.1,36,3.2,32,4.8,,,,,,,,,,,
2013-8-31 6:00:00,24.2,,24.2,23.9,,0,,,32,2.5,41,2.8,63,4.2,,,,,,,,,,,
2013-8-31 5:00:00,24,,24.4,23.9,,0,,,35,1.9,40,2.1,57,5.4,,,,,,,,,,,
2013-8-31 4:00:00,24.4,,24.8,24.4,,0,,,54,1.1,22,1.8,29,6.7,,,,,,,,,,,
2013-8-31 3:00:00,24.7,,24.8,24.7,,0,,,40,3.9,44,5,29,6.8,,,,,,,,,,,
2013-8-31 2:00:00,24.8,,25.2,24.8,,0,,,43,2.4,34,3.1,4,7.8,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.4,25.2,,0,,,38,2.8,32,3.8,26,7.8,,,,,,,,,,,
2013-8-31 00:00:00,25.3,,25.8,25.3,,0,,,38,2.7,17,2.6,12,8.9,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,25.9,25.8,,0,,,29,3,29,3.8,7,8.8,,,,,,,,,,,
2013-8-30 22:00:00,25.9,,26.4,25.9,,0,,,23,2.8,29,3.8,12,8.3,,,,,,,,,,,
2013-8-30 21:00:00,26.4,,27.2,26.4,,0,,,4,3.8,31,4.7,29,9.4,,,,,,,,,,,
2013-8-30 20:00:00,27.2,,28.2,27.2,,0,,,26,4.4,24,3.5,52,8.5,,,,,,,,,,,
2013-8-30 19:00:00,28.2,,29,28.2,,0,,,46,5.5,28,3.6,18,10.3,,,,,,,,,,,
2013-8-30 18:00:00,29,,29.6,29,,0,,,35,6.2,23,4.9,23,11.2,,,,,,,,,,,
2013-8-30 17:00:00,29.7,,30.9,29.7,,0,,,46,6.3,43,4.5,46,7.9,,,,,,,,,,,
2013-8-30 16:00:00,31,,31.4,31,,0,,,52,5.2,43,4.5,57,7.8,,,,,,,,,,,
2013-8-30 15:00:00,31.3,,32.1,31.3,,0,,,40,1.7,27,2.6,32,7.5,,,,,,,,,,,
2013-8-30 14:00:00,32,,32.7,31.8,,0,,,38,4.6,43,5.9,38,8.5,,,,,,,,,,,
2013-8-30 13:00:00,32.1,,32.4,30.7,,0,,,54,3.9,40,4.5,57,8.8,,,,,,,,,,,
2013-8-30 12:00:00,30.8,,30.8,30.3,,0,,,60,3.1,49,4.4,68,8.6,,,,,,,,,,,
2013-8-30 11:00:00,30.4,,30.7,30.2,,0,,,23,4.6,22,5.3,26,8.1,,,,,,,,,,,
2013-8-30 10:00:00,30.5,,31.1,30.4,,0,,,23,5.2,41,4.5,32,8.8,,,,,,,,,,,
2013-8-30 9:00:00,30.3,,30.4,28.4,,0,,,52,4.1,45,3.5,23,7.4,,,,,,,,,,,
2013-8-30 8:00:00,28.4,,28.4,27.5,,0.1,,,43,4.3,36,3.4,32,5.5,,,,,,,,,,,
2013-8-30 7:00:00,27.5,,28.1,27.4,,0.9,,,40,0.9,41,1.1,7,5.7,,,,,,,,,,,
2013-8-30 6:00:00,27.9,,27.9,27.7,,0,,,341,0,0,0,341,0,,,,,,,,,,,
2013-8-30 5:00:00,27.6,,27.9,27.6,,0,,,46,0,0,0,46,0,,,,,,,,,,,
2013-8-30 4:00:00,27.9,,28.3,27.9,,0,,,26,0,0,0,60,1.8,,,,,,,,,,,
2013-8-30 3:00:00,28.3,,28.4,28.3,,0,,,164,0.1,178,0.8,150,2.3,,,,,,,,,,,
2013-8-30 2:00:00,28.3,,28.3,28.2,,0,,,167,0.7,127,0.4,175,2.2,,,,,,,,,,,
2013-8-30 1:00:00,28.2,,28.5,28.2,,0,,,156,0,175,0.2,164,2.2,,,,,,,,,,,
2013-8-30 00:00:00,28.5,,28.8,28.5,,0,,,198,0.8,178,1.1,108,2.2,,,,,,,,,,,
2013-8-29 23:00:00,28.8,,29,28.8,,0,,,136,0,107,0.6,113,2.7,,,,,,,,,,,
2013-8-29 22:00:00,29,,29.3,29,,0,,,133,0,170,0.9,147,3.6,,,,,,,,,,,
2013-8-29 21:00:00,29.3,,30,29.3,,0,,,83,1.3,147,0.8,156,3.8,,,,,,,,,,,
2013-8-29 20:00:00,30,,30.5,30,,0,,,156,2.1,125,1.1,164,3.3,,,,,,,,,,,
2013-8-29 19:00:00,30.5,,30.7,30.3,,0,,,57,2.1,37,1.8,189,4,,,,,,,,,,,
2013-8-29 18:00:00,30.3,,30.6,30.3,,0,,,206,1.3,229,1.5,313,4.9,,,,,,,,,,,
2013-8-29 17:00:00,30.6,,33.8,30.6,,0,,,68,1.6,79,1.5,347,8.8,,,,,,,,,,,
2013-8-29 16:00:00,33.8,,36,33.8,,0,,,161,2.5,163,1.9,198,5.1,,,,,,,,,,,
2013-8-29 15:00:00,36.3,,36.8,35.6,,0,,,147,4.1,145,2.9,119,6.8,,,,,,,,,,,
2013-8-29 14:00:00,36.2,,36.9,35,,0,,,170,4.7,150,1.7,173,6.1,,,,,,,,,,,
2013-8-29 13:00:00,35.1,,36.1,35.1,,0,,,184,4.4,187,2.3,164,7.2,,,,,,,,,,,
2013-8-29 12:00:00,35.6,,35.6,34.3,,0,,,147,3.2,170,3.4,189,7.7,,,,,,,,,,,
2013-8-29 11:00:00,34.2,,34.7,33.6,,0,,,192,4.7,180,2.3,139,6.9,,,,,,,,,,,
2013-8-29 10:00:00,33.9,,34.3,32.8,,0,,,189,4.6,206,3.5,147,5.8,,,,,,,,,,,
2013-8-29 9:00:00,33,,33.2,31.3,,0,,,46,0,161,1.5,142,4.5,,,,,,,,,,,
2013-8-29 8:00:00,31.2,,31.3,29.5,,0,,,161,2.6,183,2.6,167,4.7,,,,,,,,,,,
2013-8-29 7:00:00,29.6,,29.6,27.8,,0,,,181,2.8,187,2.3,220,4.4,,,,,,,,,,,
2013-8-29 6:00:00,27.8,,27.8,27.7,,0,,,195,2.1,181,2.6,178,5.6,,,,,,,,,,,
2013-8-29 5:00:00,27.8,,28,27.8,,0,,,164,1.1,183,0.9,206,5.7,,,,,,,,,,,
2013-8-29 4:00:00,28,,28.1,27.9,,0,,,170,3.5,186,3.4,187,5.9,,,,,,,,,,,
