time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24,,24.1,23.9,,0,,,7,2.3,19,5,12,8.3,,,,,,,,,,,
2013-9-1 00:00:00,24.1,,24.2,24,,0,,,23,6.1,15,6.1,12,8.8,,,,,,,,,,,
2013-8-31 23:00:00,24.2,,24.5,24.2,,0,,,9,6,2,4.5,18,9.2,,,,,,,,,,,
2013-8-31 22:00:00,24.4,,24.6,24.3,,0,,,12,4.8,9,5.5,18,9.3,,,,,,,,,,,
2013-8-31 21:00:00,24.5,,24.7,24.5,,0,,,12,6.3,16,5.9,40,9.8,,,,,,,,,,,
2013-8-31 20:00:00,24.7,,25,24.7,,0,,,15,3.1,25,6.3,26,11,,,,,,,,,,,
2013-8-31 19:00:00,25,,25.4,25,,0,,,29,6.1,26,7.9,29,11.5,,,,,,,,,,,
2013-8-31 18:00:00,25.5,,26.3,25.5,,0,,,12,9.1,22,7.8,7,10.7,,,,,,,,,,,
2013-8-31 17:00:00,26.4,,27.4,26.3,,0,,,15,8.8,23,7.6,23,11.1,,,,,,,,,,,
2013-8-31 16:00:00,27,,28.8,26.9,,0,,,333,5.2,13,7.2,23,10.2,,,,,,,,,,,
2013-8-31 15:00:00,28.2,,29.1,27.6,,0,,,7,5.7,10,6.2,21,10.9,,,,,,,,,,,
2013-8-31 14:00:00,29,,30.4,27.6,,0,,,341,4.3,353,3.9,9,8.9,,,,,,,,,,,
2013-8-31 13:00:00,27.5,,28.9,26.8,,0,,,313,4.2,353,4.9,9,8.7,,,,,,,,,,,
2013-8-31 12:00:00,28.7,,29.4,28.2,,0,,,40,5.5,14,5,15,7.1,,,,,,,,,,,
2013-8-31 11:00:00,29,,29.1,26.9,,0,,,319,3.8,350,2.8,9,6.3,,,,,,,,,,,
2013-8-31 10:00:00,27.1,,27.9,26.4,,0,,,316,2.9,322,3,7,6.7,,,,,,,,,,,
2013-8-31 9:00:00,26.5,,26.8,25.7,,0,,,355,4.6,9,3.3,4,6.3,,,,,,,,,,,
2013-8-31 8:00:00,25.8,,25.9,25.2,,0,,,18,3.8,12,3.9,29,7.8,,,,,,,,,,,
2013-8-31 7:00:00,25.6,,25.6,24.8,,0,,,23,6,12,5.2,18,8.6,,,,,,,,,,,
2013-8-31 6:00:00,24.8,,24.9,24.7,,0,,,18,2.2,11,3.6,18,7.4,,,,,,,,,,,
2013-8-31 5:00:00,24.7,,25,24.7,,0,,,29,5.9,22,5,29,7.9,,,,,,,,,,,
2013-8-31 4:00:00,24.9,,25.1,24.9,,0,,,40,6.6,24,6,7,9.2,,,,,,,,,,,
2013-8-31 3:00:00,25.1,,25.2,25,,0,,,26,5.1,6,4.8,15,10.1,,,,,,,,,,,
2013-8-31 2:00:00,25.1,,25.5,25.1,,0,,,7,5,19,6.7,26,10.2,,,,,,,,,,,
2013-8-31 1:00:00,25.5,,25.7,25.4,,0,,,18,9.5,12,7.1,18,10.3,,,,,,,,,,,
2013-8-31 00:00:00,25.6,,26,25.6,,0,,,15,3.1,9,6.6,21,9.7,,,,,,,,,,,
2013-8-30 23:00:00,26,,26.2,25.9,,0,,,15,6.9,13,6.6,23,10.2,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.4,26.1,,0,,,9,9.1,13,8.2,7,10.7,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,26.9,26.3,,0,,,18,7.1,18,7.1,18,12,,,,,,,,,,,
2013-8-30 20:00:00,26.9,,27.6,26.8,,0,,,9,8.9,4,6.6,15,12.3,,,,,,,,,,,
2013-8-30 19:00:00,27.6,,28.3,27.6,,0,,,350,4.4,11,7.8,15,13.2,,,,,,,,,,,
2013-8-30 18:00:00,28.4,,29.2,28.3,,0,,,18,10.7,17,9.8,15,12.3,,,,,,,,,,,
2013-8-30 17:00:00,29.2,,30,29.2,,0,,,15,5.8,24,6.4,15,9.4,,,,,,,,,,,
2013-8-30 16:00:00,29.9,,31.2,29.8,,0,,,26,7.2,29,5.5,29,8.9,,,,,,,,,,,
2013-8-30 15:00:00,31.1,,31.2,30.7,,0,,,26,6.8,33,5.1,40,8.9,,,,,,,,,,,
2013-8-30 14:00:00,30.8,,31.7,30.7,,0,,,35,5.7,32,5.7,18,8.7,,,,,,,,,,,
2013-8-30 13:00:00,30.9,,31.8,30.9,,0,,,4,6.6,29,6.1,21,9,,,,,,,,,,,
2013-8-30 12:00:00,31.1,,31.2,29.8,,0,,,18,5.8,26,5.3,32,9.2,,,,,,,,,,,
2013-8-30 11:00:00,29.8,,30.4,29.7,,0,,,57,5.1,35,5.7,7,10.2,,,,,,,,,,,
2013-8-30 10:00:00,30.1,,30.1,29.4,,0,,,7,7.4,17,8.3,18,11,,,,,,,,,,,
2013-8-30 9:00:00,29.8,,30,29,,0,,,7,6,19,6.2,15,9.4,,,,,,,,,,,
2013-8-30 8:00:00,29,,29.2,28.6,,0,,,15,4.6,19,5.7,12,8.3,,,,,,,,,,,
2013-8-30 7:00:00,28.6,,28.6,28.2,,0,,,18,4.8,20,4.5,23,6,,,,,,,,,,,
2013-8-30 6:00:00,28.2,,28.5,28.1,,0,,,15,5.4,16,5.3,7,6.7,,,,,,,,,,,
2013-8-30 5:00:00,28.5,,28.9,28.2,,0,,,336,2.9,3,2.3,15,5.4,,,,,,,,,,,
2013-8-30 4:00:00,28.5,,28.7,28.5,,0,,,128,0.1,135,0.6,139,2.5,,,,,,,,,,,
2013-8-30 3:00:00,28.6,,28.8,28.6,,0,,,161,1,156,1,161,2.2,,,,,,,,,,,
2013-8-30 2:00:00,28.8,,29.1,28.7,,0,,,139,2,136,1.9,128,2.2,,,,,,,,,,,
2013-8-30 1:00:00,29.1,,29.1,29,,0,,,237,1.5,227,1,175,2.8,,,,,,,,,,,
2013-8-30 00:00:00,29.1,,29.2,29,,0,,,187,1.1,186,1.4,161,2.5,,,,,,,,,,,
2013-8-29 23:00:00,29.2,,29.4,29.2,,0,,,173,1.2,161,1.1,150,3.8,,,,,,,,,,,
2013-8-29 22:00:00,29.4,,30,29.4,,0,,,139,1.6,141,1.6,144,3.9,,,,,,,,,,,
2013-8-29 21:00:00,30,,30.1,29.6,,0,,,147,2.1,147,1.9,164,2.9,,,,,,,,,,,
2013-8-29 20:00:00,29.6,,29.9,29.3,,0,,,130,1.1,148,0.6,94,4.6,,,,,,,,,,,
2013-8-29 19:00:00,29.3,,29.8,29,,0,,,102,3,88,3.1,40,9.4,,,,,,,,,,,
2013-8-29 18:00:00,29.5,,29.6,28.5,,0,,,38,3.3,27,3.7,355,8.6,,,,,,,,,,,
2013-8-29 17:00:00,28.4,,31.5,28,,0.5,,,111,2.8,106,2.7,277,5.2,,,,,,,,,,,
2013-8-29 16:00:00,31.3,,34,31.3,,0,,,285,4.3,276,3.6,299,6.8,,,,,,,,,,,
2013-8-29 15:00:00,33.3,,36.5,33.3,,0,,,105,3.1,111,3.1,119,5.5,,,,,,,,,,,
2013-8-29 14:00:00,36.4,,36.5,35.6,,0,,,150,3.5,156,3.7,175,6.9,,,,,,,,,,,
2013-8-29 13:00:00,35.5,,35.8,34.9,,0,,,173,4.6,187,3.9,150,8.8,,,,,,,,,,,
2013-8-29 12:00:00,35.2,,35.7,34.3,,0,,,173,5.8,177,4.5,173,8.2,,,,,,,,,,,
2013-8-29 11:00:00,34.3,,34.7,33.7,,0,,,181,3.2,187,3.9,173,8.5,,,,,,,,,,,
2013-8-29 10:00:00,33.9,,34.2,32.7,,0,,,195,4,196,4.3,181,6.8,,,,,,,,,,,
2013-8-29 9:00:00,32.5,,32.5,31,,0,,,184,5.6,183,4.5,203,5.9,,,,,,,,,,,
2013-8-29 8:00:00,31,,31,29.4,,0,,,212,4.4,213,4,198,6.8,,,,,,,,,,,
2013-8-29 7:00:00,29.5,,29.5,28.3,,0,,,206,4.8,204,3.6,187,6.8,,,,,,,,,,,
2013-8-29 6:00:00,28.3,,28.3,28.1,,0,,,187,3.1,191,3.8,209,5.4,,,,,,,,,,,
2013-8-29 5:00:00,28.3,,28.5,28.3,,0,,,187,2.7,179,3.5,206,7.2,,,,,,,,,,,
2013-8-29 4:00:00,28.5,,28.6,28.5,,0,,,209,3.5,187,4.6,187,7.9,,,,,,,,,,,
2013-8-29 3:00:00,28.6,,28.7,28.6,,0,,,198,4.9,194,4,195,8.3,,,,,,,,,,,
2013-8-29 2:00:00,28.7,,28.7,28.5,,0,,,203,3.1,194,4.6,175,7.2,,,,,,,,,,,
2013-8-29 1:00:00,28.7,,28.8,28.7,,0,,,164,5.3,187,4.4,175,9.7,,,,,,,,,,,
2013-8-29 00:00:00,28.8,,29,28.8,,0,,,198,4.5,197,4.3,195,7.9,,,,,,,,,,,
2013-8-28 23:00:00,28.9,,29,28.8,,0,,,195,4.2,182,3.8,164,8.2,,,,,,,,,,,
2013-8-28 22:00:00,29,,29.6,29,,0,,,187,4.6,166,4.7,175,9.7,,,,,,,,,,,
2013-8-28 21:00:00,29.5,,29.9,29.5,,0,,,184,3.2,167,3.5,158,5.7,,,,,,,,,,,
2013-8-28 20:00:00,29.9,,30.9,29.9,,0,,,170,4,168,4.1,181,8.4,,,,,,,,,,,
2013-8-28 19:00:00,30.9,,32.2,30.9,,0,,,175,2.6,158,3,181,6.5,,,,,,,,,,,
2013-8-28 18:00:00,32.2,,33.5,32.2,,0,,,153,3.9,179,3.1,147,8,,,,,,,,,,,
2013-8-28 17:00:00,33.5,,33.6,31.2,,0,,,170,5.2,170,5.7,119,9.8,,,,,,,,,,,
2013-8-28 16:00:00,31.2,,31.7,31,,0,,,119,6.4,124,5.8,122,10.3,,,,,,,,,,,
2013-8-28 15:00:00,31.1,,31.6,30.7,,0,,,97,5.5,130,6.7,119,9.9,,,,,,,,,,,
2013-8-28 14:00:00,31,,31.4,30.8,,0,,,130,5.7,121,5.2,113,8.8,,,,,,,,,,,
