time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.4,,23.5,23,,0,,,130,0,0,0,232,2.7,,,,,,,,,,,
2013-9-1 00:00:00,22.9,,23.4,22.9,,0,,,218,0,170,0.5,232,2.2,,,,,,,,,,,
2013-8-31 23:00:00,23.3,,23.6,23.2,,0,,,46,0,0,0,85,3.2,,,,,,,,,,,
2013-8-31 22:00:00,23.5,,23.7,23.3,,0,,,153,0.6,135,0.5,40,4.9,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24,23.6,,0,,,77,0,170,0.2,80,4.4,,,,,,,,,,,
2013-8-31 20:00:00,24,,24.6,24,,0,,,161,0.1,142,0.9,54,4.9,,,,,,,,,,,
2013-8-31 19:00:00,24.7,,26.1,24.6,,0,,,167,0.1,174,0.5,119,5.3,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26.1,25.4,,0,,,209,3.1,304,0.5,308,5.2,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,27.9,26.1,,0,,,355,0.6,255,1,358,6,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,28.1,27.1,,0,,,85,0.3,335,1.4,74,4.6,,,,,,,,,,,
2013-8-31 15:00:00,27.8,,29.8,27.2,,0,,,60,2.1,238,1,336,4.7,,,,,,,,,,,
2013-8-31 14:00:00,28.5,,30.4,28.2,,0,,,355,1.4,343,1.5,358,5.6,,,,,,,,,,,
2013-8-31 13:00:00,29,,30.6,28.7,,0,,,35,1.6,357,2.6,350,5.9,,,,,,,,,,,
2013-8-31 12:00:00,29.3,,30.2,28,,0,,,347,1.3,351,1.7,355,4.8,,,,,,,,,,,
2013-8-31 11:00:00,29.5,,29.5,26.8,,0,,,288,0.1,329,0.4,18,4.1,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,28.3,26.3,,0,,,243,0.7,349,1.5,12,4.3,,,,,,,,,,,
2013-8-31 9:00:00,27.7,,27.7,25.7,,0,,,274,0.8,282,0.2,26,3.8,,,,,,,,,,,
2013-8-31 8:00:00,26.2,,26.6,24.5,,0,,,327,0.1,354,1.1,308,3.1,,,,,,,,,,,
2013-8-31 7:00:00,24.5,,24.8,24.5,,0,,,347,1.5,348,1.3,353,3.3,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.3,,0,,,102,0,0,0,344,2.6,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.6,24.3,,0,,,209,0,234,0.2,83,1.9,,,,,,,,,,,
2013-8-31 4:00:00,24.5,,24.9,24.5,,0,,,254,0,0,0,119,2.7,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25.1,24.8,,0,,,195,0,211,0.6,68,2.8,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.2,24.9,,0,,,173,0.6,218,0.1,355,3.8,,,,,,,,,,,
2013-8-31 1:00:00,25.2,,25.4,25.2,,0,,,355,0.6,275,0.2,26,3.4,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.8,25.4,,0,,,209,0,303,0.3,40,3.7,,,,,,,,,,,
2013-8-30 23:00:00,25.8,,26.2,25.8,,0,,,257,1.7,238,1,350,5.1,,,,,,,,,,,
2013-8-30 22:00:00,26.1,,26.3,26.1,,0,,,226,0,0,0,77,5.5,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,27.1,26.3,,0,,,209,1,141,0.9,232,4.8,,,,,,,,,,,
2013-8-30 20:00:00,27.1,,27.8,27.1,,0,,,175,1.5,243,1.1,97,4.7,,,,,,,,,,,
2013-8-30 19:00:00,27.8,,28.8,27.8,,0,,,187,0.3,269,1.2,181,3.7,,,,,,,,,,,
2013-8-30 18:00:00,28.8,,29.6,28.8,,0,,,240,0,0,0,74,6.9,,,,,,,,,,,
2013-8-30 17:00:00,29.6,,29.9,29.6,,0,,,156,0,0,0,83,5.4,,,,,,,,,,,
2013-8-30 16:00:00,29.9,,30.9,29.9,,0,,,122,1,120,1.7,94,4.3,,,,,,,,,,,
