time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.7,,23.7,23.1,,0,,,60,0.7,41,0.8,52,4.4,,,,,,,,,,,
2013-9-1 00:00:00,23.2,,23.9,23.2,,0,,,40,0.7,24,0.9,63,5.3,,,,,,,,,,,
2013-8-31 23:00:00,23.9,,24,23.9,,0,,,54,2.2,23,1.5,54,6.2,,,,,,,,,,,
2013-8-31 22:00:00,24,,24.3,24,,0,,,344,1,19,1.7,63,5.1,,,,,,,,,,,
2013-8-31 21:00:00,24.3,,24.6,24.3,,0,,,18,1.1,37,1.6,35,5.3,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,25.3,24.6,,0,,,99,2.3,46,2.9,49,6.6,,,,,,,,,,,
2013-8-31 19:00:00,25.3,,25.9,25.3,,0,,,29,4.4,342,1.3,21,7,,,,,,,,,,,
2013-8-31 18:00:00,25.8,,26.9,25.8,,0,,,344,1.9,8,2.8,40,9.5,,,,,,,,,,,
2013-8-31 17:00:00,26.8,,28.2,26.8,,0,,,52,1.6,356,2.3,18,7.3,,,,,,,,,,,
2013-8-31 16:00:00,28,,28.2,27.5,,0,,,285,3.1,14,3.7,21,8.3,,,,,,,,,,,
2013-8-31 15:00:00,27.6,,29.2,27.6,,0,,,7,2.9,357,3.7,49,7.4,,,,,,,,,,,
2013-8-31 14:00:00,28.6,,30,28.6,,0,,,77,1.8,13,2.8,333,7.6,,,,,,,,,,,
2013-8-31 13:00:00,29.3,,29.8,28.9,,0,,,15,3.3,13,3.2,15,6.5,,,,,,,,,,,
2013-8-31 12:00:00,29,,29.4,27.4,,0,,,344,3,27,2.5,18,7.6,,,,,,,,,,,
2013-8-31 11:00:00,27.7,,28.1,27.2,,0,,,38,1.8,43,2.9,355,5.2,,,,,,,,,,,
2013-8-31 10:00:00,27.5,,27.6,26.6,,0,,,32,2.9,356,1.6,9,5.5,,,,,,,,,,,
2013-8-31 9:00:00,26.5,,26.6,24.7,,0,,,40,3.5,15,1.9,1,5.1,,,,,,,,,,,
2013-8-31 8:00:00,24.7,,24.7,23.8,,0,,,29,1.9,343,2.5,15,4.6,,,,,,,,,,,
2013-8-31 7:00:00,23.8,,23.8,23.6,,0,,,277,1,9,1.4,358,3.1,,,,,,,,,,,
2013-8-31 6:00:00,23.7,,24.2,23.7,,0,,,57,0.8,4,1,353,3.7,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.4,24.2,,0,,,40,2.2,8,1.9,29,3.2,,,,,,,,,,,
2013-8-31 4:00:00,24.4,,24.9,24.4,,0,,,43,1.3,10,1.7,336,3.8,,,,,,,,,,,
2013-8-31 3:00:00,24.9,,25,24.7,,0,,,85,2.1,15,1.8,29,5.1,,,,,,,,,,,
2013-8-31 2:00:00,24.7,,25,24.7,,0,,,29,3,11,3,355,5.3,,,,,,,,,,,
2013-8-31 1:00:00,25.1,,25.3,25.1,,0,,,344,2.7,7,2.2,18,5.7,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.9,25.4,,0,,,26,2.4,5,2.3,15,7.1,,,,,,,,,,,
2013-8-30 23:00:00,25.9,,26.3,25.9,,0,,,18,5.5,22,3.4,32,8.5,,,,,,,,,,,
2013-8-30 22:00:00,26.3,,26.6,26.3,,0,,,341,2.5,4,2.6,9,7.4,,,,,,,,,,,
2013-8-30 21:00:00,26.5,,27.3,26.5,,0,,,21,2.8,10,3,21,8.5,,,,,,,,,,,
2013-8-30 20:00:00,27.3,,28.1,27.3,,0,,,21,3.6,30,3.9,18,8.8,,,,,,,,,,,
2013-8-30 19:00:00,28.1,,29.3,28.1,,0,,,54,2.6,36,3.1,43,11,,,,,,,,,,,
2013-8-30 18:00:00,29.3,,30.2,29.3,,0,,,333,2.9,24,2.5,18,6.5,,,,,,,,,,,
2013-8-30 17:00:00,30.2,,30.8,30.2,,0,,,21,3.4,32,2.5,9,7.6,,,,,,,,,,,
2013-8-30 16:00:00,30.7,,32,30.7,,0,,,52,2.2,48,2.6,29,7.7,,,,,,,,,,,
2013-8-30 15:00:00,31.9,,32.4,31.7,,0,,,308,2.9,27,3,9,7.9,,,,,,,,,,,
2013-8-30 14:00:00,32.4,,32.9,31.7,,0,,,26,3,59,2.6,52,8.5,,,,,,,,,,,
2013-8-30 13:00:00,31.7,,31.9,30.8,,0,,,63,1.9,35,3.2,40,9.4,,,,,,,,,,,
2013-8-30 12:00:00,30.8,,31.5,30.7,,0,,,91,2.5,47,2.8,358,7.9,,,,,,,,,,,
2013-8-30 11:00:00,30.8,,31.2,30.4,,0,,,322,1.5,57,2.1,74,7.8,,,,,,,,,,,
2013-8-30 10:00:00,31.1,,31.5,30.8,,0,,,29,1.5,55,2.7,66,6.2,,,,,,,,,,,
2013-8-30 9:00:00,30.8,,30.8,29.6,,0,,,184,1.4,321,1.8,330,7,,,,,,,,,,,
2013-8-30 8:00:00,29.5,,29.5,28.8,,0,,,344,2.3,11,2.7,29,5.3,,,,,,,,,,,
2013-8-30 7:00:00,28.8,,28.8,28,,0,,,40,3.5,33,1.9,35,4.5,,,,,,,,,,,
2013-8-30 6:00:00,28,,28.1,27.8,,0,,,119,0,37,1.8,29,4.3,,,,,,,,,,,
2013-8-30 5:00:00,28.1,,28.7,28.1,,0,,,15,1.6,15,1.6,18,3.1,,,,,,,,,,,
2013-8-30 4:00:00,28.7,,28.8,28.7,,0,,,333,1.1,355,1.1,18,2.3,,,,,,,,,,,
2013-8-30 3:00:00,28.7,,28.8,28.7,,0,,,43,1.4,36,0.8,52,2.5,,,,,,,,,,,
2013-8-30 2:00:00,28.8,,28.9,28.8,,0,,,43,1.2,35,1.1,66,1.6,,,,,,,,,,,
2013-8-30 1:00:00,28.9,,28.9,28.9,,0,,,21,0.8,353,0.5,279,1.9,,,,,,,,,,,
2013-8-30 00:00:00,28.9,,29,28.8,,0,,,263,0.7,276,0.7,358,1.5,,,,,,,,,,,
2013-8-29 23:00:00,29,,29.1,29,,0,,,347,0.7,15,0.9,322,1.4,,,,,,,,,,,
2013-8-29 22:00:00,29,,29.3,29,,0,,,299,1.1,303,1.1,308,1.9,,,,,,,,,,,
2013-8-29 21:00:00,29.2,,29.2,28.9,,0,,,209,0.8,254,0.9,184,1.6,,,,,,,,,,,
2013-8-29 20:00:00,28.9,,28.9,28.8,,1.2,,,164,0,175,0.7,40,1.7,,,,,,,,,,,
2013-8-29 19:00:00,28.8,,28.8,28.5,,0.6,,,336,0,338,0.4,7,3.1,,,,,,,,,,,
2013-8-29 18:00:00,28.6,,28.9,28.3,,0.5,,,29,1.4,19,2.1,164,3.4,,,,,,,,,,,
2013-8-29 17:00:00,28.3,,28.7,28.3,,2.7,,,119,3.8,164,2.8,21,5.2,,,,,,,,,,,
2013-8-29 16:00:00,28.7,,33.8,28.7,,2.9,,,18,5.6,19,4.3,7,6.7,,,,,,,,,,,
2013-8-29 15:00:00,33.8,,37,33.8,,0,,,29,3.3,13,2.3,338,5.2,,,,,,,,,,,
