time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.8,,23.5,22.8,,0,,,240,0,240,0,240,0,,,,,,,,,,,
2013-9-1 00:00:00,23.2,,23.6,23.1,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 23:00:00,23.5,,24,23.4,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 22:00:00,23.9,,24.3,23.9,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 21:00:00,24.1,,24.4,24.1,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,24.6,24.4,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 19:00:00,24.5,,24.8,24.5,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 18:00:00,24.7,,25.1,24.7,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 17:00:00,25.1,,26.4,25.1,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 16:00:00,26.4,,27.2,26.2,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 15:00:00,27,,27.4,26.6,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 14:00:00,26.5,,27.3,26.5,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 13:00:00,27,,27.4,26.7,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 12:00:00,27.2,,28,26.6,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 11:00:00,28.1,,28.7,27.3,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 10:00:00,27.9,,28.4,26.6,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 9:00:00,26.5,,26.7,25.6,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 8:00:00,26.2,,26.2,25.4,,0,,,240,0,0,0,240,0,,,,,,,,,,,
2013-8-31 7:00:00,25.4,,25.4,24.5,,0,,,240,0,0,0,60,8.8,,,,,,,,,,,
2013-8-31 6:00:00,24.6,,24.6,24.4,,0,,,38,4.3,53,5.8,57,7.9,,,,,,,,,,,
2013-8-31 5:00:00,24.5,,24.7,24.5,,0,,,32,4.5,55,5.3,38,9.5,,,,,,,,,,,
2013-8-31 4:00:00,24.7,,24.9,24.7,,0,,,15,2.8,47,6.2,52,10.4,,,,,,,,,,,
2013-8-31 3:00:00,24.8,,25,24.8,,0,,,63,8.3,50,6.5,43,10.2,,,,,,,,,,,
2013-8-31 2:00:00,25,,25.3,25,,0,,,46,7.6,47,6.5,60,10.6,,,,,,,,,,,
2013-8-31 1:00:00,25.3,,25.4,25.2,,0,,,29,4.3,21,3.1,21,9.8,,,,,,,,,,,
2013-8-31 00:00:00,25.3,,25.7,25.3,,0,,,15,4.6,28,4,26,10.8,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,26,25.7,,0,,,35,6,38,5.6,54,10.6,,,,,,,,,,,
2013-8-30 22:00:00,26,,26.2,25.8,,0,,,338,4.7,22,3.3,40,10.8,,,,,,,,,,,
2013-8-30 21:00:00,26.1,,26.9,26.1,,0,,,26,5.4,28,4.7,49,12.2,,,,,,,,,,,
2013-8-30 20:00:00,26.9,,27.6,26.9,,0,,,29,4.7,44,7,43,12.3,,,,,,,,,,,
2013-8-30 19:00:00,27.5,,28.1,27.5,,0,,,40,8.5,51,8.3,43,12.7,,,,,,,,,,,
2013-8-30 18:00:00,28.1,,28.6,28.1,,0,,,88,8.7,40,6.8,43,11.4,,,,,,,,,,,
2013-8-30 17:00:00,28.7,,29.4,28.6,,0,,,49,8.3,56,7.8,52,11,,,,,,,,,,,
2013-8-30 16:00:00,29.3,,30.2,29.3,,0,,,38,3.4,34,4.2,38,10.2,,,,,,,,,,,
2013-8-30 15:00:00,29.8,,30.9,29.8,,0,,,353,2.4,39,4.5,60,10.4,,,,,,,,,,,
2013-8-30 14:00:00,30.5,,31,30.5,,0,,,60,7.3,51,6.5,63,10.2,,,,,,,,,,,
2013-8-30 13:00:00,30.7,,30.7,29.5,,0,,,60,6.5,58,8.1,63,10.8,,,,,,,,,,,
2013-8-30 12:00:00,29.7,,29.7,28.9,,0,,,68,7.3,51,7.7,49,10,,,,,,,,,,,
2013-8-30 11:00:00,28.8,,29,28.6,,0,,,52,7.6,47,6.5,52,10.5,,,,,,,,,,,
2013-8-30 10:00:00,28.9,,29.4,28.7,,0,,,15,5.5,44,4.9,54,10.6,,,,,,,,,,,
2013-8-30 9:00:00,28.9,,29.1,28.2,,0,,,52,5.9,48,6.6,52,10.2,,,,,,,,,,,
2013-8-30 8:00:00,28.7,,28.7,28.3,,0,,,26,2.8,32,3.6,40,7.9,,,,,,,,,,,
2013-8-30 7:00:00,28.3,,28.3,27.4,,0,,,1,1.3,1,1.5,1,2.7,,,,,,,,,,,
2013-8-30 6:00:00,27.4,,27.4,27,,0,,,310,0,0,0,347,2.2,,,,,,,,,,,
2013-8-30 5:00:00,27.1,,27.2,26.9,,0,,,324,0,0,0,156,2.2,,,,,,,,,,,
2013-8-30 4:00:00,27.1,,27.3,27,,0,,,167,0,0,0,153,1.8,,,,,,,,,,,
2013-8-30 3:00:00,27.3,,27.5,27.2,,0,,,128,0,0,0,97,0.7,,,,,,,,,,,
2013-8-30 2:00:00,27.5,,27.5,27.3,,0,,,156,0,0,0,142,1.4,,,,,,,,,,,
2013-8-30 1:00:00,27.5,,27.7,27.5,,0,,,240,0,227,0.3,173,2.5,,,,,,,,,,,
2013-8-30 00:00:00,27.7,,28,27.7,,0,,,203,1.3,193,1.2,187,3.7,,,,,,,,,,,
2013-8-29 23:00:00,28,,28.2,28,,0,,,223,2,184,2.5,181,4.6,,,,,,,,,,,
2013-8-29 22:00:00,28.2,,28.4,28.1,,0,,,161,2.3,167,1.9,175,4.9,,,,,,,,,,,
2013-8-29 21:00:00,28.4,,28.7,28.4,,0,,,178,4.1,173,3.7,164,4.7,,,,,,,,,,,
2013-8-29 20:00:00,28.7,,29,28.6,,0,,,209,2.2,206,2.6,203,5.6,,,,,,,,,,,
2013-8-29 19:00:00,29,,29.5,29,,0,,,144,3.4,170,3.3,187,5,,,,,,,,,,,
2013-8-29 18:00:00,29.5,,29.9,29.5,,0,,,206,2.5,179,2.7,187,6.7,,,,,,,,,,,
2013-8-29 17:00:00,29.9,,30.7,29.8,,0,,,189,2.9,175,3.7,147,7.7,,,,,,,,,,,
2013-8-29 16:00:00,30.7,,35.2,30.6,,0,,,153,7.3,163,5.6,153,8.5,,,,,,,,,,,
2013-8-29 15:00:00,35,,35.4,34.4,,0,,,187,3.6,186,3.3,226,6.5,,,,,,,,,,,
2013-8-29 14:00:00,34.6,,36.2,34.6,,0,,,203,5.2,212,3.8,201,7.1,,,,,,,,,,,
2013-8-29 13:00:00,35.2,,35.7,34.1,,0,,,206,5.1,218,4.8,192,8.3,,,,,,,,,,,
2013-8-29 12:00:00,34.1,,34.1,32.9,,0,,,215,5.5,210,5.2,226,9.5,,,,,,,,,,,
2013-8-29 11:00:00,33,,33.1,32.4,,0,,,223,6.7,218,6.3,206,9.7,,,,,,,,,,,
2013-8-29 10:00:00,32.5,,32.5,31.6,,0,,,234,5.1,206,5.2,229,9.2,,,,,,,,,,,
2013-8-29 9:00:00,31.6,,31.6,30.4,,0,,,215,6.8,220,5.5,218,8.2,,,,,,,,,,,
2013-8-29 8:00:00,30.4,,30.4,28.9,,0,,,195,5.7,213,5.3,229,8,,,,,,,,,,,
2013-8-29 7:00:00,28.9,,28.9,27.5,,0,,,223,6.8,219,5.9,220,7.6,,,,,,,,,,,
2013-8-29 6:00:00,27.5,,27.5,27.3,,0,,,209,4.9,206,4,206,7.1,,,,,,,,,,,
2013-8-29 5:00:00,27.5,,27.6,27.5,,0,,,220,3.1,215,3.9,201,6,,,,,,,,,,,
2013-8-29 4:00:00,27.6,,27.7,27.6,,0,,,181,3.1,216,4,189,7.9,,,,,,,,,,,
2013-8-29 3:00:00,27.7,,27.9,27.7,,0,,,201,4.4,207,5.3,215,8.3,,,,,,,,,,,
2013-8-29 2:00:00,27.9,,28.1,27.9,,0,,,209,5,209,5.1,206,7.9,,,,,,,,,,,
2013-8-29 1:00:00,28.1,,28.1,28,,0,,,209,6.2,210,5.9,206,8.2,,,,,,,,,,,
2013-8-29 00:00:00,28.1,,28.1,27.9,,0,,,240,4.7,208,5.1,203,8.5,,,,,,,,,,,
2013-8-28 23:00:00,28,,28.1,28,,0,,,209,4,204,5.9,198,9.4,,,,,,,,,,,
2013-8-28 22:00:00,28,,28.3,28,,0,,,215,3.7,199,4.8,187,7.7,,,,,,,,,,,
2013-8-28 21:00:00,28.3,,28.5,28,,0,,,167,3,195,4.9,201,8.3,,,,,,,,,,,
2013-8-28 20:00:00,28,,28.4,28,,0,,,189,2.6,187,4.1,173,8.3,,,,,,,,,,,
2013-8-28 19:00:00,28.4,,29.4,28.4,,0,,,170,4.7,180,4.4,178,7.6,,,,,,,,,,,
2013-8-28 18:00:00,29.4,,30.8,29.4,,0,,,181,6.2,181,5.1,187,8.5,,,,,,,,,,,
2013-8-28 17:00:00,30.9,,31.5,30.9,,0,,,187,3.9,171,6.5,161,9.8,,,,,,,,,,,
2013-8-28 16:00:00,31.5,,31.7,31.4,,0,,,156,6.1,161,7.9,164,10.9,,,,,,,,,,,
2013-8-28 15:00:00,31.5,,32.2,31.5,,0,,,164,9.2,163,8.1,161,10.5,,,,,,,,,,,
2013-8-28 14:00:00,32.1,,32.3,31.5,,0,,,187,5,159,6.3,153,8.2,,,,,,,,,,,
2013-8-28 13:00:00,31.9,,33.7,31.7,,0,,,125,5.5,152,5.4,142,7.9,,,,,,,,,,,
2013-8-28 12:00:00,33.8,,33.8,31.2,,0,,,223,2.6,184,3.3,144,6.8,,,,,,,,,,,
2013-8-28 11:00:00,31.1,,31.7,30.7,,0,,,170,3.5,197,3.7,156,8,,,,,,,,,,,
2013-8-28 10:00:00,31.6,,32,30.3,,0,,,144,6.1,153,4.7,156,6.8,,,,,,,,,,,
2013-8-28 9:00:00,30.9,,31.1,29.1,,0,,,218,4.1,213,4.2,181,6.2,,,,,,,,,,,
2013-8-28 8:00:00,29.1,,29.2,27.6,,0,,,189,4.1,180,4.2,161,7,,,,,,,,,,,
2013-8-28 7:00:00,27.6,,27.6,26.9,,0,,,158,4.6,159,4.6,139,6.3,,,,,,,,,,,
2013-8-28 6:00:00,27,,27,26.7,,0,,,144,4,146,5,144,6.9,,,,,,,,,,,
2013-8-28 5:00:00,26.7,,26.9,26.7,,0,,,150,3.4,146,4.7,142,7,,,,,,,,,,,
