time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.1,,23.2,23,,0,,,40,0.5,98,0.4,322,2.3,,,,,,,,,,,
2013-9-1 00:00:00,23,,23.3,22.9,,0,,,254,0.6,119,0.8,265,3.3,,,,,,,,,,,
2013-8-31 23:00:00,23.2,,23.4,23,,0,,,212,0.3,280,0.8,288,4.6,,,,,,,,,,,
2013-8-31 22:00:00,23.2,,23.7,23.1,,0,,,133,0.5,57,0.3,313,3.2,,,,,,,,,,,
2013-8-31 21:00:00,23.7,,23.9,23.6,,0,,,153,0.7,350,1.1,358,3.8,,,,,,,,,,,
2013-8-31 20:00:00,23.9,,24.5,23.9,,0,,,277,0.1,58,0.5,128,4.2,,,,,,,,,,,
2013-8-31 19:00:00,24.5,,25.1,24.5,,0,,,116,0,257,0.1,1,3.8,,,,,,,,,,,
2013-8-31 18:00:00,25.2,,26,25.1,,0,,,268,1.2,299,1.5,108,4.9,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,27.4,26.1,,0,,,108,0.4,156,0.8,178,3.2,,,,,,,,,,,
2013-8-31 16:00:00,27.1,,29,27,,0,,,1,0.1,27,0.6,128,3.3,,,,,,,,,,,
2013-8-31 15:00:00,29.3,,29.3,27.7,,0,,,161,0.8,155,0.4,128,4.3,,,,,,,,,,,
2013-8-31 14:00:00,28.6,,29,27.2,,0,,,38,1.5,4,0.7,15,3.6,,,,,,,,,,,
2013-8-31 13:00:00,28.7,,30.3,27.1,,0,,,265,0,238,0.2,322,3.5,,,,,,,,,,,
2013-8-31 12:00:00,27.2,,29.2,26.7,,0,,,68,0,90,0.6,164,4,,,,,,,,,,,
2013-8-31 11:00:00,28,,28.3,26.7,,0,,,237,2.3,256,0.4,164,4,,,,,,,,,,,
2013-8-31 10:00:00,27.4,,27.6,25.2,,0,,,128,0.4,315,0.4,240,3.3,,,,,,,,,,,
2013-8-31 9:00:00,25.5,,25.5,24.6,,0,,,285,1.3,100,0.3,15,2.2,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,24.9,24.4,,0,,,108,0.4,95,0.5,105,2.6,,,,,,,,,,,
