time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.1,,21.3,21.1,,0,,,1,0,0,0,1,1.7,,,,,,,,,,,
2013-9-1 00:00:00,21.2,,21.2,20.7,,0,,,4,0,355,0.9,7,2.3,,,,,,,,,,,
2013-8-31 23:00:00,20.8,,21.6,20.7,,0,,,54,0.8,26,1.4,29,2.7,,,,,,,,,,,
2013-8-31 22:00:00,21.6,,22.4,21.6,,0,,,15,1.1,30,1.5,49,3.1,,,,,,,,,,,
2013-8-31 21:00:00,22.4,,23.6,22.4,,0,,,9,0.8,29,1.2,40,5.3,,,,,,,,,,,
2013-8-31 20:00:00,23.6,,24.8,23.6,,0,,,23,2,34,2.7,38,6,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.6,24.8,,0,,,40,5.3,37,3.1,21,6.4,,,,,,,,,,,
2013-8-31 18:00:00,25.6,,27.7,25.6,,0,,,9,3.1,22,2.3,4,5.8,,,,,,,,,,,
2013-8-31 17:00:00,27.8,,30.6,27.8,,0,,,49,2.7,28,3.3,9,6.2,,,,,,,,,,,
2013-8-31 16:00:00,30.7,,31.5,30.2,,0,,,9,4.4,14,3.3,9,8.5,,,,,,,,,,,
2013-8-31 15:00:00,30,,32.3,29.5,,0,,,358,4.5,7,2.5,327,7.6,,,,,,,,,,,
2013-8-31 14:00:00,32.3,,32.5,30.8,,0,,,330,3.7,341,3.6,7,7.2,,,,,,,,,,,
2013-8-31 13:00:00,31.3,,31.3,28.8,,0,,,344,2.3,3,3.3,313,7.1,,,,,,,,,,,
2013-8-31 12:00:00,28.7,,32.6,28.5,,0,,,336,3.8,327,4.7,344,7.3,,,,,,,,,,,
2013-8-31 11:00:00,31.3,,31.4,29,,0,,,355,6.7,8,3.8,353,7.3,,,,,,,,,,,
2013-8-31 10:00:00,29,,29,28,,0,,,324,1.3,2,3.1,336,6.3,,,,,,,,,,,
2013-8-31 9:00:00,28.1,,28.2,25.2,,0,,,7,4.3,10,2.2,12,5.3,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.2,22.9,,0,,,322,2.2,350,1.9,336,4.9,,,,,,,,,,,
2013-8-31 7:00:00,22.9,,22.9,22.2,,0,,,330,2.4,333,2.3,353,3.5,,,,,,,,,,,
2013-8-31 6:00:00,22.2,,22.3,22,,0,,,336,2.2,354,1.8,347,4.3,,,,,,,,,,,
2013-8-31 5:00:00,22.3,,22.7,22.3,,0,,,341,1.9,354,2.3,4,3.6,,,,,,,,,,,
2013-8-31 4:00:00,22.7,,23.3,22.7,,0,,,353,1.9,348,2.1,341,4,,,,,,,,,,,
2013-8-31 3:00:00,23.3,,23.3,23.1,,0,,,353,2,353,1.7,7,4.1,,,,,,,,,,,
2013-8-31 2:00:00,23.2,,23.4,23.2,,0,,,38,2.6,19,2.2,7,5.5,,,,,,,,,,,
2013-8-31 1:00:00,23.4,,23.9,23.4,,0,,,18,2.4,15,3,38,4.9,,,,,,,,,,,
2013-8-31 00:00:00,23.9,,24.9,23.9,,0,,,26,2.8,15,2.4,29,5.9,,,,,,,,,,,
2013-8-30 23:00:00,24.9,,25.7,24.9,,0,,,9,3.5,20,3.5,4,7.4,,,,,,,,,,,
