time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21,16.4,21.1,21,1011.6,0,75,75,64,1.2,63,1.5,36,2,43629,24785,19.9,20.3,19.9,24.8,26.9,28.5,29.3,,
2013-9-1 00:00:00,21.1,16.5,21.9,21.1,1011.8,0,75,70,35,1.4,56,1.1,50,2.6,41786,28718,20.3,20.7,20.2,25.3,27.4,28.9,29.6,,
2013-8-31 23:00:00,21.9,16.2,22.2,21.9,1011.5,0,70,69,48,1.4,49,1.8,34,3.6,33131,27628,20.7,21.4,20.7,25.9,27.9,29.3,29.9,,
2013-8-31 22:00:00,22.2,16.2,23.3,22.2,1011.5,0,69,63,60,0.9,52,0.9,48,4.2,44176,31247,21.4,22.4,21.4,26.6,28.5,29.8,30.1,,
2013-8-31 21:00:00,23.3,15.9,24.1,23.3,1011.1,0,63,63,34,1.3,35,2.5,36,5.4,47187,23228,22.5,23.8,22.5,27.4,29.2,30.2,30.4,,
2013-8-31 20:00:00,24.1,16.4,25,24.1,1010.9,0,62,58,57,3.4,60,3,60,7.3,37806,32559,23.8,25.1,23.8,28.3,29.8,30.6,30.6,,
2013-8-31 19:00:00,25,16.7,25.9,25,1010.6,0,60,59,18,7.3,48,4.1,18,7.3,28675,22455,25.2,26.9,25.2,29.3,30.5,31,30.8,,
2013-8-31 18:00:00,25.9,17.5,27.2,25.9,1010.1,0,60,50,62,4.6,46,3,59,8.6,30255,19862,27,29.5,27,30.5,31.3,31.4,30.9,,
2013-8-31 17:00:00,27.2,16.2,27.4,27.2,1009.8,0,51,51,23,1.9,27,3.5,22,6.1,26147,18210,29.5,30.9,29.5,31.7,32,31.7,30.8,,
2013-8-31 16:00:00,27.2,17.7,29.2,27.2,1009.6,0,56,45,50,3.3,48,3.3,3,5.9,28365,14871,31,39.1,31,33.2,32.7,31.7,30.6,,
2013-8-31 15:00:00,29.2,16.1,30.1,29,1009.1,0,45,43,31,4.4,7,3.5,348,6.8,24885,14071,39.3,48.8,39.3,34.9,32.8,31.4,30.3,,
2013-8-31 14:00:00,29.2,16.4,29.8,29,1009.3,0,46,44,311,3.3,327,3.8,284,8.6,23063,13096,44.1,52.1,40.1,34.9,32.4,30.9,30,,
2013-8-31 13:00:00,29.4,16.6,29.6,28.6,1009.6,0,46,45,336,2.7,341,4.3,297,7.1,16803,11800,46.3,52.3,41.9,34.6,31.6,30.3,29.6,,
2013-8-31 12:00:00,28.8,18.6,28.9,27.4,1009.9,0,54,54,23,4.9,353,3.8,335,6.6,16588,8650,47.1,51.2,39.8,33.4,30.7,29.7,29.3,,
2013-8-31 11:00:00,27.5,19.6,27.8,26.6,1010.1,0,62,61,345,2.3,341,2.8,327,6,10496,8788,40.4,47.4,40.4,32.2,29.7,29.1,29.1,,
2013-8-31 10:00:00,26.5,20.4,26.8,26,1010.3,0,69,68,322,2.5,330,2.4,310,5.8,12923,8366,41.2,41.3,36.3,30.1,28.7,28.7,29,,
2013-8-31 9:00:00,25.9,20.5,26.2,24.9,1010.1,0,72,71,349,3.5,4,2.7,324,6,13655,7989,36,37.9,30.5,28.6,28,28.5,29,,
2013-8-31 8:00:00,24.9,20.8,25,24.8,1009.8,0,78,77,310,1.5,310,2.8,347,5.3,9301,8564,30.4,31,28.9,27.3,27.6,28.4,29,,
2013-8-31 7:00:00,24.9,21,25,23.7,1009.4,0,79,75,323,2.6,333,1.9,27,3.6,13773,9527,28.8,28.8,24.5,26.5,27.4,28.5,29.2,,
2013-8-31 6:00:00,23.7,20.4,23.9,23.5,1008.6,0,82,80,62,1.2,61,1,50,2.3,19042,15818,24.4,24.4,23.1,26,27.5,28.7,29.4,,
2013-8-31 5:00:00,23.9,20.2,24.5,23.9,1008.2,0,80,78,80,0.9,59,1.1,59,3.3,17021,16500,23.6,24.2,23.6,26.3,27.7,28.9,29.5,,
2013-8-31 4:00:00,24.5,20.4,24.9,24.5,1007.9,0,78,75,66,3,63,2,2,4.4,24228,16219,24.2,24.4,24.2,26.6,28,29.1,29.7,,
2013-8-31 3:00:00,24.9,20.4,25.1,24.9,1007.6,0,76,74,62,1.1,39,1.6,20,4.5,18339,13277,24.4,24.6,24.4,26.8,28.2,29.4,29.9,,
2013-8-31 2:00:00,25.1,20.1,25.1,24.8,1007.2,0,74,74,15,1.8,29,2,30,5.4,17043,13854,24.6,24.6,24,27,28.5,29.7,30.1,,
2013-8-31 1:00:00,24.9,20.2,25.7,24.9,1007.1,0,75,73,73,1.2,35,2.4,31,5,15504,11402,24,25.1,24,27.4,28.9,30,30.4,,
2013-8-31 00:00:00,25.8,20.6,25.9,25.7,1006.9,0,73,72,8,4.2,16,2.9,16,6.5,11991,9319,25.1,25.4,25.1,27.9,29.3,30.3,30.6,,
2013-8-30 23:00:00,25.7,20.9,26.4,25.7,1006.7,0,75,74,26,3.8,28,2.8,28,7.6,9358,6589,25.4,26.2,25.3,28.4,29.7,30.6,30.8,,
2013-8-30 22:00:00,26.4,21.8,27.4,26.4,1005.9,0,76,74,23,4.9,37,3.3,23,8.3,6874,4511,26.2,27.2,26.2,29.1,30.2,30.9,30.9,,
2013-8-30 21:00:00,27.4,23,28.2,27.4,1006,0,77,76,5,7.3,30,3.6,5,7.3,5159,3878,27.3,28.3,27.3,29.7,30.6,31.2,31.1,,
2013-8-30 20:00:00,28.2,23.6,28.7,28.2,1005.4,0,76,72,40,4.1,51,3.7,71,7.8,4240,4017,28.3,29,28.3,30.3,31.1,31.5,31.2,,
2013-8-30 19:00:00,28.7,23.6,29.3,28.7,1004.3,0,74,71,62,3,54,2.7,29,7,5171,5086,29,30,29,31,31.6,31.8,31.3,,
2013-8-30 18:00:00,29.3,23.3,29.9,29.3,1003.5,0,70,69,54,3.4,42,3.6,77,6.8,5602,5200,30,32.1,30,31.9,32.1,32,31.4,,
2013-8-30 17:00:00,29.9,23.6,31.2,29.9,1002.6,0,69,62,50,4.2,51,3.9,53,7.3,5320,5280,32.2,37.3,32.2,33,32.6,32,31.3,,
2013-8-30 16:00:00,31.2,23.1,31.9,31.2,1002.8,0,62,57,40,4.5,49,3.5,83,7.4,6116,5624,37.4,41.6,37.4,34.1,32.7,31.9,31.1,,
2013-8-30 15:00:00,31.7,22.1,32.2,31.6,1002.6,0,57,57,3,4.5,15,5.4,23,7.5,6724,5645,39.3,44.3,39.3,34.2,32.6,31.6,30.9,,
