time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23.5,,23.6,23.5,,0,,,347,0.9,32,1.7,49,5.5,,,,,,,,,,,
2013-9-1 00:00:00,23.5,,23.6,23.5,,0,,,355,2,32,2.8,38,6.1,,,,,,,,,,,
2013-8-31 23:00:00,23.6,,23.8,23.6,,0,,,15,2.2,22,2.3,38,5.7,,,,,,,,,,,
2013-8-31 22:00:00,23.8,,24,23.8,,0,,,358,1.9,21,2.2,40,6.3,,,,,,,,,,,
2013-8-31 21:00:00,24,,24.4,24,,0,,,347,3.1,28,3,15,6.9,,,,,,,,,,,
2013-8-31 20:00:00,24.4,,24.8,24.4,,0,,,68,2.2,64,1.4,54,7,,,,,,,,,,,
2013-8-31 19:00:00,24.8,,25.4,24.8,,0,,,49,1.4,53,1.9,38,8,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26,25.4,,0,,,7,4.7,38,2.9,12,9.9,,,,,,,,,,,
2013-8-31 17:00:00,25.9,,26.8,25.9,,0,,,63,3.2,44,2.6,38,7.9,,,,,,,,,,,
2013-8-31 16:00:00,26.6,,27.9,26.6,,0,,,15,3.5,34,3,1,9.6,,,,,,,,,,,
2013-8-31 15:00:00,27.7,,28,27.4,,0,,,57,2.6,21,3.9,29,8.4,,,,,,,,,,,
2013-8-31 14:00:00,27.4,,27.9,27,,0,,,7,1.5,22,2.9,15,7.1,,,,,,,,,,,
2013-8-31 13:00:00,27.3,,27.9,26.6,,0,,,77,2.2,19,2.9,15,6,,,,,,,,,,,
2013-8-31 12:00:00,27.9,,28.2,27.1,,0,,,7,1.9,28,1.7,38,5.7,,,,,,,,,,,
2013-8-31 11:00:00,27.3,,27.6,26.6,,0,,,12,0.1,4,1,40,5.9,,,,,,,,,,,
2013-8-31 10:00:00,26.5,,26.7,25.8,,0,,,344,1.1,32,2,40,6.3,,,,,,,,,,,
2013-8-31 9:00:00,25.9,,26,24.8,,0,,,29,1.5,13,3,38,5.7,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,25,24.7,,0,,,12,2,356,1.6,40,4.9,,,,,,,,,,,
2013-8-31 7:00:00,24.8,,24.8,24.5,,0,,,40,1.3,33,1.9,23,4.8,,,,,,,,,,,
2013-8-31 6:00:00,24.5,,24.5,24.4,,0,,,66,1.9,38,1.7,32,5.5,,,,,,,,,,,
2013-8-31 5:00:00,24.5,,24.5,24.3,,0,,,38,4,36,2.2,18,5.9,,,,,,,,,,,
2013-8-31 4:00:00,24.4,,24.6,24.4,,0,,,43,2.1,44,3,63,7,,,,,,,,,,,
2013-8-31 3:00:00,24.6,,24.8,24.6,,0,,,91,3.2,27,3.3,46,6.7,,,,,,,,,,,
2013-8-31 2:00:00,24.8,,25,24.8,,0,,,21,3.7,33,3.2,18,7.4,,,,,,,,,,,
2013-8-31 1:00:00,25,,25.4,25,,0,,,32,7.3,43,4.4,15,8.1,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.7,25.4,,0,,,46,3,25,4.1,4,7,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,25.8,25.7,,0,,,52,3.7,25,3.3,15,7.4,,,,,,,,,,,
2013-8-30 22:00:00,25.8,,26.1,25.8,,0,,,38,2,12,3.1,29,8.7,,,,,,,,,,,
2013-8-30 21:00:00,26.1,,26.6,26.1,,0,,,71,6,29,4.5,26,10.5,,,,,,,,,,,
2013-8-30 20:00:00,26.7,,27.5,26.7,,0,,,7,4.1,43,3.9,26,8.7,,,,,,,,,,,
2013-8-30 19:00:00,27.5,,28.3,27.5,,0,,,57,5.4,37,3.5,12,9.4,,,,,,,,,,,
2013-8-30 18:00:00,28.3,,29.4,28.3,,0,,,60,3.5,38,4.4,26,9.9,,,,,,,,,,,
2013-8-30 17:00:00,29.4,,30,29.4,,0,,,15,3.5,37,2,46,6,,,,,,,,,,,
2013-8-30 16:00:00,29.9,,30.8,29.9,,0,,,63,4.7,78,3.3,29,7.2,,,,,,,,,,,
2013-8-30 15:00:00,30.7,,31.2,30.5,,0,,,77,4.9,58,2.1,29,8.2,,,,,,,,,,,
2013-8-30 14:00:00,31.1,,31.3,30.6,,0,,,347,2.6,62,3,54,7.4,,,,,,,,,,,
2013-8-30 13:00:00,30.6,,31.2,30.4,,0,,,26,3.3,29,4,26,8.7,,,,,,,,,,,
2013-8-30 12:00:00,30.4,,30.9,29.7,,0,,,40,3.5,33,3.1,29,7.5,,,,,,,,,,,
2013-8-30 11:00:00,29.8,,29.9,29.2,,0,,,57,1.9,60,2.9,29,8.2,,,,,,,,,,,
2013-8-30 10:00:00,29.4,,29.7,29.2,,0,,,29,6.5,35,4.4,18,8.2,,,,,,,,,,,
2013-8-30 9:00:00,29.5,,29.8,29,,0,,,18,1.2,29,3.2,29,7.8,,,,,,,,,,,
