time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,20.3,,20.3,20.1,,0,,,322,0.6,324,0.5,324,0.9,,,,,,,,,,,
2013-9-1 00:00:00,20.2,,20.8,20,,0,,,316,0,0,0,324,0.8,,,,,,,,,,,
2013-8-31 23:00:00,20.8,,22,20.7,,0,,,32,0.3,13,0.3,38,1.2,,,,,,,,,,,
2013-8-31 22:00:00,22,,23.4,22,,0,,,341,0.5,345,0.4,29,3.8,,,,,,,,,,,
2013-8-31 21:00:00,23.4,,24.2,23.4,,0,,,91,1.6,55,2,60,5.1,,,,,,,,,,,
2013-8-31 20:00:00,24.1,,25.1,24,,0,,,71,1.2,40,2.8,40,6.3,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,26.1,25.1,,0,,,35,1.3,37,2.5,40,5.2,,,,,,,,,,,
2013-8-31 18:00:00,26.1,,27.1,26.1,,0,,,38,2.1,26,2.1,9,4.8,,,,,,,,,,,
2013-8-31 17:00:00,27.1,,29,27.1,,0,,,353,2.5,16,1.8,330,5.8,,,,,,,,,,,
2013-8-31 16:00:00,29.1,,30.2,29,,0,,,333,4.1,338,3.2,319,7.4,,,,,,,,,,,
2013-8-31 15:00:00,30,,30.6,28.9,,0,,,344,3.6,341,2.3,353,6.9,,,,,,,,,,,
2013-8-31 14:00:00,29.7,,30.4,28.7,,0,,,347,2.6,1,1.7,353,6.7,,,,,,,,,,,
2013-8-31 13:00:00,29.6,,30.6,28.4,,0,,,18,3.6,354,2.5,15,7,,,,,,,,,,,
2013-8-31 12:00:00,29.2,,29.6,28.1,,0,,,29,2.8,359,2.6,333,5.4,,,,,,,,,,,
2013-8-31 11:00:00,28.5,,28.8,27.5,,0,,,350,0.7,22,2.2,1,6.1,,,,,,,,,,,
2013-8-31 10:00:00,27.8,,28.1,26,,0,,,12,4.7,358,2.9,333,6.1,,,,,,,,,,,
2013-8-31 9:00:00,26,,26.2,25.3,,0,,,310,2.1,341,2.6,12,6.3,,,,,,,,,,,
2013-8-31 8:00:00,25.2,,25.2,24.3,,0,,,330,1.9,339,2.4,313,5.4,,,,,,,,,,,
2013-8-31 7:00:00,24.5,,24.5,23.5,,0,,,313,0.9,346,1.8,322,3.9,,,,,,,,,,,
2013-8-31 6:00:00,23.5,,23.6,23.4,,0,,,1,1.1,332,1.2,336,3.2,,,,,,,,,,,
2013-8-31 5:00:00,23.6,,24.1,23.6,,0,,,347,1.6,340,1.2,319,2.9,,,,,,,,,,,
2013-8-31 4:00:00,24.1,,24.4,24.1,,0,,,347,0.7,8,0.3,32,2.8,,,,,,,,,,,
2013-8-31 3:00:00,24.4,,24.7,24.4,,0,,,358,1,3,1.3,324,3.3,,,,,,,,,,,
2013-8-31 2:00:00,24.7,,24.7,24.5,,0,,,29,1.7,16,1.8,21,4.1,,,,,,,,,,,
2013-8-31 1:00:00,24.5,,25,24.4,,0,,,355,1.9,13,1.6,12,3.8,,,,,,,,,,,
2013-8-31 00:00:00,25.1,,25.6,25.1,,0,,,18,2.6,357,1.9,344,5.5,,,,,,,,,,,
2013-8-30 23:00:00,25.6,,26.2,25.6,,0,,,336,1.6,19,1.9,12,7.8,,,,,,,,,,,
2013-8-30 22:00:00,26.3,,27.4,26.3,,0,,,7,3.6,10,3.2,29,7.9,,,,,,,,,,,
2013-8-30 21:00:00,27.4,,28.1,27.4,,0,,,7,3.1,37,3,26,6.5,,,,,,,,,,,
2013-8-30 20:00:00,28.2,,28.8,28.1,,0,,,29,3.2,38,2.1,46,6.3,,,,,,,,,,,
2013-8-30 19:00:00,28.7,,29.2,28.7,,0,,,49,2.5,36,1.9,74,5.1,,,,,,,,,,,
