time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.3,,22.6,21.9,,0,,,7,0.1,152,0.2,122,3.3,,,,,,,,,,,
2013-9-1 00:00:00,21.9,,22.6,21.7,,0,,,240,0,0,0,206,2.9,,,,,,,,,,,
2013-8-31 23:00:00,22.3,,22.7,21.9,,0,,,60,0,0,0,94,2.9,,,,,,,,,,,
2013-8-31 22:00:00,22.7,,23.4,22.3,,0,,,324,0,0,0,97,3.5,,,,,,,,,,,
2013-8-31 21:00:00,22.7,,23.4,22.6,,0,,,105,1.9,56,0.3,119,3.5,,,,,,,,,,,
2013-8-31 20:00:00,23.2,,24.2,22.9,,0,,,173,0,0,0,128,4.1,,,,,,,,,,,
2013-8-31 19:00:00,24.1,,24.8,24,,0,,,74,0.3,60,1,341,4.9,,,,,,,,,,,
2013-8-31 18:00:00,24.7,,25.9,24.7,,0,,,257,0.1,221,0.7,57,4.6,,,,,,,,,,,
2013-8-31 17:00:00,26,,29,26,,0,,,133,0.1,194,0.4,282,4.9,,,,,,,,,,,
2013-8-31 16:00:00,27.3,,30.4,27.2,,0,,,263,1,203,0.8,341,4.8,,,,,,,,,,,
2013-8-31 15:00:00,29.7,,30.2,27,,0,,,74,0.1,117,1.2,265,4.9,,,,,,,,,,,
2013-8-31 14:00:00,27.1,,28.1,27,,0,,,285,2.3,322,1.5,293,5,,,,,,,,,,,
2013-8-31 13:00:00,27.4,,29.9,27.2,,0,,,274,1.3,287,1.5,358,4.7,,,,,,,,,,,
2013-8-31 12:00:00,28.5,,29.4,26.7,,0,,,192,0.8,212,0.9,12,5.7,,,,,,,,,,,
2013-8-31 11:00:00,28.8,,28.8,27,,0,,,18,0.2,108,0.9,353,4.7,,,,,,,,,,,
2013-8-31 10:00:00,26.9,,28.2,25.3,,0,,,254,3.2,317,1.8,277,3.8,,,,,,,,,,,
2013-8-31 9:00:00,25.2,,25.5,24.3,,0,,,265,0.1,0,0,15,3.2,,,,,,,,,,,
2013-8-31 8:00:00,24.5,,24.5,24.1,,0,,,46,0.9,347,1.7,347,3.6,,,,,,,,,,,
2013-8-31 7:00:00,24.2,,24.4,23.3,,0,,,150,0.1,0,0,52,3.4,,,,,,,,,,,
2013-8-31 6:00:00,23.3,,23.6,23.1,,0,,,206,0.8,223,0.2,116,2.3,,,,,,,,,,,
2013-8-31 5:00:00,23.5,,24,23.4,,0,,,128,0.1,0,0,128,2.5,,,,,,,,,,,
2013-8-31 4:00:00,24,,24.2,23.8,,0,,,198,0,346,0.2,32,2.7,,,,,,,,,,,
2013-8-31 3:00:00,24.2,,24.8,24.2,,0,,,206,0,0,0,254,3.1,,,,,,,,,,,
