time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.3,,22.7,22.3,,0,,,358,0.6,355,0.8,15,2.2,,,,,,,,,,,
2013-9-1 00:00:00,22.3,,22.3,21.8,,0,,,353,0.3,348,0.2,338,2,,,,,,,,,,,
2013-8-31 23:00:00,22.3,,23.2,22.3,,0,,,341,0,6,0.6,29,3.6,,,,,,,,,,,
2013-8-31 22:00:00,23.1,,23.7,23,,0,,,15,2.6,25,2,32,4.4,,,,,,,,,,,
2013-8-31 21:00:00,23.6,,24.7,23.6,,0,,,40,2.5,23,2.2,29,7,,,,,,,,,,,
2013-8-31 20:00:00,24.6,,25.4,24.6,,0,,,52,3.5,31,4.4,23,7,,,,,,,,,,,
2013-8-31 19:00:00,25.5,,26.2,25.5,,0,,,60,3,31,3.8,29,7.5,,,,,,,,,,,
2013-8-31 18:00:00,26.2,,27.4,26.2,,0,,,23,2.9,19,4,4,7.3,,,,,,,,,,,
2013-8-31 17:00:00,27.3,,28.4,27.3,,0,,,358,2.7,8,3.4,1,7.7,,,,,,,,,,,
2013-8-31 16:00:00,28.5,,28.9,27.9,,0,,,23,4.8,357,5.5,7,8.2,,,,,,,,,,,
2013-8-31 15:00:00,28.9,,29.4,28.5,,0,,,336,3.6,322,3.9,4,8.8,,,,,,,,,,,
2013-8-31 14:00:00,28.8,,29.7,28.4,,0,,,333,5.5,350,4.8,9,9.2,,,,,,,,,,,
2013-8-31 13:00:00,28.9,,29.2,27.7,,0,,,296,3.6,319,2.9,313,6.8,,,,,,,,,,,
2013-8-31 12:00:00,27.7,,28.6,27.2,,0,,,310,5.5,320,4,355,7.1,,,,,,,,,,,
2013-8-31 11:00:00,27.9,,27.9,26.2,,0,,,322,6.2,322,4.6,308,6.9,,,,,,,,,,,
2013-8-31 10:00:00,26.1,,26.5,25.8,,0,,,308,3.3,325,3.8,347,6,,,,,,,,,,,
2013-8-31 9:00:00,26,,26.1,24.7,,0,,,333,4.3,346,4,319,6.4,,,,,,,,,,,
2013-8-31 8:00:00,24.6,,24.7,23.6,,0,,,322,3.5,326,2.9,355,5,,,,,,,,,,,
2013-8-31 7:00:00,23.6,,23.6,23.5,,0,,,327,0.9,328,1.5,350,3.8,,,,,,,,,,,
2013-8-31 6:00:00,23.5,,23.5,23.2,,0,,,347,1,336,0.9,1,3.2,,,,,,,,,,,
2013-8-31 5:00:00,23.2,,23.6,23.2,,0,,,15,1.1,4,1.5,350,3.5,,,,,,,,,,,
2013-8-31 4:00:00,23.6,,24,23.5,,0,,,330,1.9,347,2,353,4.3,,,,,,,,,,,
2013-8-31 3:00:00,24,,24.3,24,,0,,,327,1.1,348,2.4,1,4.3,,,,,,,,,,,
2013-8-31 2:00:00,24.3,,24.4,24.2,,0,,,355,3.1,352,2.5,7,4.8,,,,,,,,,,,
2013-8-31 1:00:00,24.3,,25,24.3,,0,,,336,3.5,353,3.4,29,6,,,,,,,,,,,
2013-8-31 00:00:00,25,,25.6,25,,0,,,35,5.7,15,3.8,23,8.5,,,,,,,,,,,
2013-8-30 23:00:00,25.6,,26.2,25.6,,0,,,355,3.8,6,5.2,1,8.7,,,,,,,,,,,
2013-8-30 22:00:00,26.2,,26.8,26.1,,0,,,7,5,19,4.4,23,8.7,,,,,,,,,,,
2013-8-30 21:00:00,26.8,,27.9,26.8,,0,,,12,5.9,19,6.5,21,10.4,,,,,,,,,,,
2013-8-30 20:00:00,27.9,,28.7,27.9,,0,,,7,3.3,22,4.1,32,8.5,,,,,,,,,,,
2013-8-30 19:00:00,28.7,,29.8,28.7,,0,,,12,2.9,24,4,23,9.8,,,,,,,,,,,
2013-8-30 18:00:00,29.8,,30.3,29.8,,0,,,18,2.3,29,3.9,12,7.9,,,,,,,,,,,
