time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,25.1,,25.8,24.6,,0,,,310,0.8,295,1.2,268,3.9,,,,,,,,,,,
2013-9-1 00:00:00,25.5,,26.1,24.8,,0,,,322,1.3,338,0.8,26,3.4,,,,,,,,,,,
2013-8-31 23:00:00,25.4,,26.2,24.6,,0,,,77,0,79,0.2,308,4.8,,,,,,,,,,,
2013-8-31 22:00:00,26.2,,26.8,25,,0,,,330,2,338,1.2,49,3.9,,,,,,,,,,,
2013-8-31 21:00:00,25,,26.2,25,,0,,,99,0.4,302,1,29,4.4,,,,,,,,,,,
2013-8-31 20:00:00,25.7,,26.9,25.5,,0,,,293,1.3,1,0.8,299,4.9,,,,,,,,,,,
2013-8-31 19:00:00,26,,27.3,25.9,,0,,,302,0.2,351,0.8,60,4.2,,,,,,,,,,,
2013-8-31 18:00:00,26.9,,27.6,26.4,,0,,,175,0.7,24,0.6,305,5.7,,,,,,,,,,,
2013-8-31 17:00:00,27.3,,27.6,25.9,,0,,,313,2,305,1.7,38,4.8,,,,,,,,,,,
2013-8-31 16:00:00,28.1,,28.9,27.8,,0.3,,,310,0.8,307,0.8,308,6.1,,,,,,,,,,,
2013-8-31 15:00:00,28.1,,28.8,27.3,,0,,,18,1.3,7,1.2,319,4.7,,,,,,,,,,,
2013-8-31 14:00:00,28.5,,30.3,28.2,,0,,,310,0.5,326,1.3,21,4.8,,,,,,,,,,,
2013-8-31 13:00:00,29.8,,30.3,28.2,,0,,,299,0.8,327,0.6,302,3.9,,,,,,,,,,,
2013-8-31 12:00:00,28.5,,29.8,28.3,,0,,,288,1.3,296,2.1,299,4,,,,,,,,,,,
2013-8-31 11:00:00,28.8,,29,26.9,,0,,,277,0.3,2,0.9,38,3.5,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,28.2,26.7,,0,,,57,1.3,328,0.3,322,2.7,,,,,,,,,,,
2013-8-31 9:00:00,26.8,,27.3,25.9,,0,,,296,1.9,342,0.9,268,3.4,,,,,,,,,,,
2013-8-31 8:00:00,26.4,,27.4,25.6,,0,,,308,0.7,289,1,344,3,,,,,,,,,,,
2013-8-31 7:00:00,25.4,,27.3,25.3,,0,,,296,0.5,319,0.5,293,4.9,,,,,,,,,,,
2013-8-31 6:00:00,25.8,,26.8,25.1,,0,,,254,0.2,336,0.9,26,3.4,,,,,,,,,,,
2013-8-31 5:00:00,25.7,,26.7,25.1,,0,,,282,0.6,318,1.3,4,4.1,,,,,,,,,,,
2013-8-31 4:00:00,26.7,,26.7,25.5,,0,,,46,0.7,6,0.6,26,3.6,,,,,,,,,,,
2013-8-31 3:00:00,26.3,,27.4,26,,0,,,322,1.5,318,1,308,3.5,,,,,,,,,,,
2013-8-31 2:00:00,27.1,,27.5,26.6,,0,,,63,0.4,318,1.6,330,4.9,,,,,,,,,,,
2013-8-31 1:00:00,26.9,,28.3,26.7,,0,,,299,1,20,1.2,299,5.8,,,,,,,,,,,
2013-8-31 00:00:00,27.8,,28.5,27,,0,,,254,0.9,330,1.2,38,5.9,,,,,,,,,,,
2013-8-30 23:00:00,28.5,,29.2,27.4,,0,,,299,2,314,1.4,308,6.3,,,,,,,,,,,
2013-8-30 22:00:00,28.3,,28.6,27.5,,0,,,52,0.3,353,1.1,293,4.1,,,,,,,,,,,
2013-8-30 21:00:00,28,,28.8,27.8,,0,,,305,1,347,1.1,285,6,,,,,,,,,,,
2013-8-30 20:00:00,28.1,,29.6,28.1,,0,,,240,0,317,0.8,302,5.9,,,,,,,,,,,
2013-8-30 19:00:00,29.5,,30.2,29.2,,0,,,277,1.9,303,1.4,18,6,,,,,,,,,,,
2013-8-30 18:00:00,30,,30.8,29.7,,0,,,324,2.4,324,1.4,353,4.7,,,,,,,,,,,
2013-8-30 17:00:00,30.5,,31.3,30.4,,0,,,167,0.1,264,0.8,302,5.4,,,,,,,,,,,
2013-8-30 16:00:00,31,,31.6,30.8,,0,,,293,1,350,1.8,302,5.1,,,,,,,,,,,
2013-8-30 15:00:00,31.5,,31.8,31.2,,0,,,7,1,327,1.3,338,4.6,,,,,,,,,,,
2013-8-30 14:00:00,31.2,,32.2,31.2,,0,,,274,1.3,313,0.7,7,5.8,,,,,,,,,,,
2013-8-30 13:00:00,32,,32,31,,0,,,293,0.8,315,1.2,293,4.7,,,,,,,,,,,
2013-8-30 12:00:00,30.9,,31.5,30.5,,0,,,1,0.6,285,0.9,285,5.2,,,,,,,,,,,
2013-8-30 11:00:00,30.4,,31.2,30,,0,,,32,0.1,357,0.5,310,5.4,,,,,,,,,,,
2013-8-30 10:00:00,31.1,,31.1,30.4,,0,,,251,1.1,344,0.8,99,5.1,,,,,,,,,,,
2013-8-30 9:00:00,30.4,,30.8,29.8,,0,,,80,0.8,41,0.9,319,4.9,,,,,,,,,,,
2013-8-30 8:00:00,29.8,,30.2,29.4,,0,,,336,0.4,329,0.9,299,6.9,,,,,,,,,,,
2013-8-30 7:00:00,30,,30,28.9,,0,,,293,1.6,306,1.4,296,3.5,,,,,,,,,,,
2013-8-30 6:00:00,29,,29.5,28.8,,0,,,310,1,344,1.3,7,3.1,,,,,,,,,,,
2013-8-30 5:00:00,29.5,,29.7,28.7,,0,,,57,1.8,342,0.7,302,2.1,,,,,,,,,,,
2013-8-30 4:00:00,28.7,,28.7,28.3,,0,,,139,0,177,0.4,189,1.6,,,,,,,,,,,
2013-8-30 3:00:00,28.3,,28.4,28.3,,0,,,91,0,91,0,327,0.8,,,,,,,,,,,
2013-8-30 2:00:00,28.4,,28.6,28.3,,0,,,119,0,0,0,38,0.6,,,,,,,,,,,
2013-8-30 1:00:00,28.4,,28.5,28.2,,0,,,108,0,0,0,156,0.8,,,,,,,,,,,
2013-8-30 00:00:00,28.3,,28.8,28.3,,0,,,71,0,0,0,175,1.6,,,,,,,,,,,
2013-8-29 23:00:00,28.8,,28.9,28.3,,0,,,94,0,91,0.2,147,1.5,,,,,,,,,,,
2013-8-29 22:00:00,28.3,,28.5,28,,0,,,133,0.3,171,0.2,119,2,,,,,,,,,,,
2013-8-29 21:00:00,28.1,,28.1,27.3,,0.1,,,173,0.1,0,0,97,1.5,,,,,,,,,,,
2013-8-29 20:00:00,27.3,,27.6,27,,0.1,,,66,0,0,0,46,1.2,,,,,,,,,,,
2013-8-29 19:00:00,27.1,,27.7,27.1,,0,,,254,0.1,0,0,15,2.7,,,,,,,,,,,
2013-8-29 18:00:00,27.2,,27.2,26.4,,1.4,,,66,0.6,72,0.1,80,0.9,,,,,,,,,,,
2013-8-29 17:00:00,26.4,,27.6,26.4,,5.5,,,15,0,155,0.1,85,4.4,,,,,,,,,,,
2013-8-29 16:00:00,27.7,,34.1,27.6,,5,,,263,0.4,198,0.6,310,5.8,,,,,,,,,,,
2013-8-29 15:00:00,34.1,,34.7,34,,0,,,322,0.1,147,0.8,167,3.7,,,,,,,,,,,
2013-8-29 14:00:00,34.4,,34.4,33.8,,0,,,105,1.4,120,1.4,153,3.3,,,,,,,,,,,
