time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.1,,22.6,21.8,,0,,,347,0.6,358,1,13,3.8,,,,,,,,,,,
2013-9-1 00:00:00,22.3,,22.5,22.1,,0,,,11,2.5,25,1.8,26,3.6,,,,,,,,,,,
2013-8-31 23:00:00,22.3,,22.8,22.2,,0,,,17,1.2,9,1.5,10,3.4,,,,,,,,,,,
2013-8-31 22:00:00,22.7,,23.1,22.6,,0,,,7,1.4,11,1.5,64,4.8,,,,,,,,,,,
2013-8-31 21:00:00,23.1,,23.6,23,,0,,,52,1.1,26,2,49,4.8,,,,,,,,,,,
2013-8-31 20:00:00,23.6,,24.5,23.5,,0,,,35,2.2,25,2.1,19,4.4,,,,,,,,,,,
2013-8-31 19:00:00,23.9,,25.7,23.9,,0,,,38,3.1,37,3,25,6.3,,,,,,,,,,,
2013-8-31 18:00:00,25.7,,27.7,25.7,,0,,,27,3,16,2.7,22,7.3,,,,,,,,,,,
2013-8-31 17:00:00,27.7,,28.7,27.3,,0,,,32,6.7,7,4.2,10,7.6,,,,,,,,,,,
2013-8-31 16:00:00,28.7,,29.2,27.9,,0,,,343,4.3,9,2.5,355,7.5,,,,,,,,,,,
2013-8-31 15:00:00,29,,30.1,28.8,,0,,,7,5.9,12,4,36,9.2,,,,,,,,,,,
2013-8-31 14:00:00,29.5,,30.6,29.4,,0,,,7,3.4,11,4.2,14,7.7,,,,,,,,,,,
2013-8-31 13:00:00,30.1,,30.5,29,,0,,,313,2.7,324,1.8,325,8,,,,,,,,,,,
2013-8-31 12:00:00,30,,30,28.8,,0,,,23,4.3,349,3.9,337,7.4,,,,,,,,,,,
2013-8-31 11:00:00,29.1,,29.2,26.9,,0,,,1,2.5,342,2.2,37,6,,,,,,,,,,,
2013-8-31 10:00:00,27.1,,27.1,25.3,,0,,,355,5.4,348,3.3,353,5.8,,,,,,,,,,,
2013-8-31 9:00:00,25.6,,25.7,24.4,,0,,,311,2.6,335,2.2,358,6,,,,,,,,,,,
2013-8-31 8:00:00,25,,25,22.5,,0,,,319,2.8,339,3.8,335,6.2,,,,,,,,,,,
2013-8-31 7:00:00,22.7,,22.8,22.1,,0,,,318,1.3,318,1.6,334,2.7,,,,,,,,,,,
2013-8-31 6:00:00,22.4,,22.8,22,,0,,,331,2,324,2.1,330,3.2,,,,,,,,,,,
2013-8-31 5:00:00,22.8,,23.2,22.5,,0,,,328,2.5,323,2,331,3.3,,,,,,,,,,,
2013-8-31 4:00:00,23.1,,24.1,23,,0,,,342,0.9,336,0.9,28,3.2,,,,,,,,,,,
2013-8-31 3:00:00,24,,24.6,24,,0,,,17,1.8,2,1.4,360,4.1,,,,,,,,,,,
2013-8-31 2:00:00,24.6,,24.6,24.1,,0,,,1,1.7,6,1.8,343,5.1,,,,,,,,,,,
2013-8-31 1:00:00,24.4,,24.9,24.4,,0,,,354,2.2,353,1.9,348,4.4,,,,,,,,,,,
2013-8-31 00:00:00,24.7,,25.3,24.7,,0,,,3,2.8,343,2.7,353,6.7,,,,,,,,,,,
