time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24.4,14.6,24.5,24.2,,0,54,54,68,3.2,32,2.9,79,6.5,,,,,,,,,,,
2013-9-1 00:00:00,24.2,14.8,24.5,24.2,,0,55,53,28,1.2,340,1.4,124,5.2,,,,,,,,,,,
2013-8-31 23:00:00,24.5,15.3,24.8,24.4,,0,56,52,17,2.7,44,3.2,56,6.9,,,,,,,,,,,
2013-8-31 22:00:00,24.8,15.1,25,24.5,,0,55,52,62,1.4,30,1.4,73,6.1,,,,,,,,,,,
2013-8-31 21:00:00,25,15.6,25.1,24.8,,0,56,52,304,0.9,65,1.2,73,7.3,,,,,,,,,,,
2013-8-31 20:00:00,25,15.3,25.5,25,,0,55,50,11,1.5,47,3.4,73,7.4,,,,,,,,,,,
2013-8-31 19:00:00,25.5,15.2,26.2,25.5,,0,53,48,79,4.2,41,4.2,84,7.7,,,,,,,,,,,
2013-8-31 18:00:00,26.1,14.7,27.4,26,,0,49,47,287,1,3,1.2,68,9.3,,,,,,,,,,,
2013-8-31 17:00:00,27.5,16.5,28.1,27.3,,0,51,43,45,5,45,3,73,8.2,,,,,,,,,,,
2013-8-31 16:00:00,28.1,15.5,29.2,27.7,,0,46,39,73,2.3,36,3.4,96,8.1,,,,,,,,,,,
2013-8-31 15:00:00,28.9,15.2,29.8,28.1,,0,43,40,293,1.4,41,1.9,96,7.6,,,,,,,,,,,
2013-8-31 14:00:00,28.3,15,29.5,28,,0,44,44,23,2.5,355,2.2,51,6.6,,,,,,,,,,,
2013-8-31 13:00:00,28,15,29.6,28,,0,45,44,315,2.6,5,2.7,96,7,,,,,,,,,,,
2013-8-31 12:00:00,28.8,17.4,29.4,27.6,,0,50,47,287,1,23,2,96,6.3,20064,,,,,,,,,,
2013-8-31 11:00:00,28.4,17.7,28.7,27.4,,0,52,52,309,1.5,32,2.7,17,5.8,,,,,,,,,,,
2013-8-31 10:00:00,28.6,19.7,28.6,26.1,,0,58,58,39,4.3,54,2.7,56,8.3,,,,,,,,,,,
2013-8-31 9:00:00,26.1,21.6,26.3,25.6,,0,76,76,62,2.4,47,2.8,68,6.6,,,,,,,,,,,
2013-8-31 8:00:00,25.6,22.3,25.7,25,,0,82,81,51,2,39,2.4,56,5.4,21419,,,,,,,,,,
2013-8-31 7:00:00,25.2,22.5,25.3,25,,0,85,84,34,1.3,24,0.8,113,6.2,28822,,,,,,,,,,
2013-8-31 6:00:00,25.1,22.7,25.1,24.9,,0,87,85,51,2.2,45,3.8,79,5.7,25565,,,,,,,,,,
2013-8-31 5:00:00,25,22.4,25.1,24.8,,0,86,84,34,1.4,27,0.9,129,5.3,35220,,,,,,,,,,
2013-8-31 4:00:00,25,22.3,25.2,25,,0,85,84,56,1.2,36,1.6,56,6.8,23920,,,,,,,,,,
2013-8-31 3:00:00,25.2,22.6,25.7,25.1,,0,85,83,28,2.9,31,3.4,45,7.8,40643,,,,,,,,,,
2013-8-31 2:00:00,25.7,23.3,25.7,25.4,,0,87,82,51,3.3,47,3,219,7,24596,,,,,,,,,,
2013-8-31 1:00:00,25.8,22.6,26.1,25.7,,0,82,80,23,3.2,31,2.9,79,7.4,25395,,,,,,,,,,
2013-8-31 00:00:00,26.1,22.3,26.4,26,,0,80,79,343,4,7,2,28,8.4,33610,,,,,,,,,,
2013-8-30 23:00:00,26.3,22.7,26.6,26.3,,0,81,81,321,3.5,359,1.4,56,9.5,18944,,,,,,,,,,
2013-8-30 22:00:00,26.6,24.1,27,26.5,,0,86,84,349,2.8,22,2,79,7.6,13994,,,,,,,,,,
2013-8-30 21:00:00,27,24.1,27.4,26.8,,0,85,84,45,4.6,34,2.2,152,8.9,14362,,,,,,,,,,
2013-8-30 20:00:00,27.4,26.6,28.1,27.2,,0,95,91,28,4,52,2.7,73,10.1,7637,,,,,,,,,,
2013-8-30 19:00:00,28.1,26.4,29.4,28.1,,0,90,86,6,3.1,28,4.6,73,10.2,6722,,,,,,,,,,
2013-8-30 18:00:00,29.4,27,30.2,29.3,,0,87,77,6,4.2,42,2.8,84,9.1,6077,,,,,,,,,,
2013-8-30 17:00:00,30.1,26.1,30.4,30,,0,79,74,51,2.9,41,3.7,96,8.9,7324,,,,,,,,,,
2013-8-30 16:00:00,30.5,25.4,31.6,30.5,,0,74,67,62,3.3,62,4.8,34,9.9,7448,,,,,,,,,,
2013-8-30 15:00:00,31.2,24.5,32.2,31.2,,0,67,62,332,2.5,4,3.2,90,8,,,,,,,,,,,
2013-8-30 14:00:00,31.8,24.3,32.5,31.5,,0,64,63,56,3.6,49,3.5,96,10,,,,,,,,,,,
2013-8-30 13:00:00,32.1,25.8,32.1,31.4,,0,69,67,39,3.5,42,2.5,73,8.7,,,,,,,,,,,
2013-8-30 12:00:00,31.5,25.3,31.9,30.5,,0,70,69,39,4.9,40,3.7,84,8.6,,,,,,,,,,,
2013-8-30 11:00:00,30.4,27.3,31.3,30,,0,83,79,338,0.7,56,3.7,79,7.9,,,,,,,,,,,
2013-8-30 10:00:00,30,27.8,30.7,29.8,,0,88,82,354,3.1,348,4.2,68,8.9,6511,,,,,,,,,,
2013-8-30 9:00:00,30,26.5,30.3,29.8,,0,82,77,281,2.9,0,3,107,7.2,7486,,,,,,,,,,
2013-8-30 8:00:00,30,27.2,30.1,29,,0,85,85,360,1.1,33,2,56,7.2,10079,,,,,,,,,,
2013-8-30 7:00:00,28.9,,28.9,28.4,,0,,,315,1.4,340,1.6,39,3.9,10593,,,,,,,,,,
2013-8-30 6:00:00,28.5,,28.5,28.3,,0,,,51,1.6,39,1.6,11,4.9,5988,,,,,,,,,,
2013-8-30 5:00:00,28.4,,29.3,28.4,,0,,,23,1.4,5,1.6,6,4,6341,,,,,,,,,,
2013-8-30 4:00:00,29.3,,29.7,29.2,,0,,,84,0.4,91,0.5,332,2.2,17413,,,,,,,,,,
2013-8-30 3:00:00,29.6,,29.8,29.6,,0,,,6,0.2,143,1.1,298,2.5,19394,,,,,,,,,,
2013-8-30 2:00:00,29.6,,29.6,29.4,,0,,,11,0,25,0.7,39,1.9,10656,,,,,,,,,,
2013-8-30 1:00:00,29.6,,29.8,29.5,,0,,,354,0.1,1,0.1,242,2.3,20668,,,,,,,,,,
2013-8-30 00:00:00,29.6,,29.9,29.5,,0,,,174,0.5,172,1.5,191,3,19794,,,,,,,,,,
2013-8-29 23:00:00,29.8,,30.1,29.7,,0,,,107,0.7,109,0.7,248,3.6,19155,,,,,,,,,,
2013-8-29 22:00:00,30.1,,30.2,29.9,,0,,,158,1.7,188,2.3,236,4.3,18649,,,,,,,,,,
2013-8-29 21:00:00,29.8,,29.8,29.5,,0,,,158,1,159,1.5,197,3,10473,,,,,,,,,,
2013-8-29 20:00:00,29.5,,29.8,29.4,,0,,100,56,0.2,69,0.6,118,4.3,11282,,,,,,,,,,
2013-8-29 19:00:00,29.6,29.6,29.6,28.9,,0,100,100,73,4.1,75,2.7,84,4.6,11391,,,,,,,,,,
2013-8-29 18:00:00,28.8,,28.9,27.9,,0.8,,,62,2.7,36,2.9,62,4.6,10945,,,,,,,,,,
2013-8-29 17:00:00,27.9,,27.9,25.6,,15.8,,,304,1.2,298,1.5,191,12.9,10254,,,,,,,,,,
2013-8-29 16:00:00,26.2,,35.4,26,,28.8,,52,236,5.7,279,2.7,73,16.5,1141,,,,,,,,,,
2013-8-29 15:00:00,35.4,25.4,36.5,35.4,,0,56,53,84,1.8,137,1.3,298,5.2,,,,,,,,,,,
2013-8-29 14:00:00,35.8,25.3,36.2,35.1,,0,55,53,146,5.2,163,2,264,5.9,,,,,,,,,,,
2013-8-29 13:00:00,35.2,25.3,35.8,34.6,,0,57,56,174,1.6,169,3.5,259,7.5,,,,,,,,,,,
2013-8-29 12:00:00,34.8,26.6,35.4,34.7,,0,63,58,118,1.8,150,2.3,248,6.8,,,,,,,,,,,
2013-8-29 11:00:00,35,26.9,35.1,34.2,,0,63,61,141,1.6,149,1.4,338,6.6,,,,,,,,,,,
2013-8-29 10:00:00,34.3,27.6,34.3,33,,0,68,64,28,0.9,118,1.6,191,5.9,,,,,,,,,,,
2013-8-29 9:00:00,33,27.2,33.3,31.8,,0,72,71,6,0.6,148,2.7,225,5.5,,,,,,,,,,,
2013-8-29 8:00:00,31.7,28.7,31.7,30,,0,84,84,169,1.2,224,1.3,276,6.2,,,,,,,,,,,
2013-8-29 7:00:00,30.1,30.1,30.1,29.2,,0,100,98,158,3.5,139,1.9,281,6,29212,,,,,,,,,,
2013-8-29 6:00:00,29.2,29.2,29.2,28.9,,0,100,100,219,3.6,192,1.7,214,5.2,25527,,,,,,,,,,
2013-8-29 5:00:00,29.1,,29.1,28.9,,0,,,163,2.2,166,2.7,197,6.3,32021,,,,,,,,,,
2013-8-29 4:00:00,29,,29.2,29,,0,,,248,1.9,150,2.8,225,8,32244,,,,,,,,,,
2013-8-29 3:00:00,29.2,,29.3,29,,0,,,169,2.7,113,3,242,6.8,23134,,,,,,,,,,
2013-8-29 2:00:00,29.3,,29.5,29.2,,0,,,169,2.7,152,2.8,298,7.5,32493,,,,,,,,,,
2013-8-29 1:00:00,29.4,,29.5,29.2,,0,,,152,1.3,118,2.1,242,7.6,35622,,,,,,,,,,
2013-8-29 00:00:00,29.2,,29.4,29.1,,0,,,174,4.8,173,3.9,321,7.6,33446,,,,,,,,,,
