time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.8,,23.3,22.4,,0,,,122,0.2,170,0.5,57,2.1,,,,,,,,,,,
2013-9-1 00:00:00,22.4,,22.9,22.3,,0,,,308,0.4,304,0.4,198,2.3,,,,,,,,,,,
2013-8-31 23:00:00,22.5,,23.2,22.5,,0,,,223,1,162,1,293,3.5,,,,,,,,,,,
2013-8-31 22:00:00,23.3,,23.4,22.8,,0,,,277,0.3,203,0.5,187,2.4,,,,,,,,,,,
2013-8-31 21:00:00,22.8,,23.6,22.8,,0,,,57,0.1,145,0.7,178,2.2,,,,,,,,,,,
2013-8-31 20:00:00,23.6,,24.6,23.6,,0,,,173,0.4,233,0.3,105,2.7,,,,,,,,,,,
2013-8-31 19:00:00,24.6,,25.4,24.6,,0,,,218,0.6,111,0.6,156,3,,,,,,,,,,,
2013-8-31 18:00:00,25.4,,26,25.4,,0,,,102,0.8,228,0.5,203,2.9,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,28.3,26.1,,0,,,195,1.7,164,0.6,184,3.8,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,29.4,27.4,,0,,,23,0.3,186,0.8,74,4.3,,,,,,,,,,,
2013-8-31 15:00:00,28.9,,29.4,27.3,,0,,,57,0.4,222,0.6,268,5.3,,,,,,,,,,,
2013-8-31 14:00:00,28.7,,30.2,27.3,,0,,,229,0.7,294,0.7,263,4.1,,,,,,,,,,,
2013-8-31 13:00:00,29.7,,29.7,27.6,,0,,,60,0.1,190,0.5,308,6.3,,,,,,,,,,,
2013-8-31 12:00:00,27.8,,29.2,27.3,,0,,,209,1.3,42,0.8,91,4.6,,,,,,,,,,,
2013-8-31 11:00:00,27.9,,29.6,26.8,,0,,,234,0.3,139,0.3,263,5,,,,,,,,,,,
2013-8-31 10:00:00,27.9,,28.5,27.3,,0,,,161,0.8,188,0.6,220,3.1,,,,,,,,,,,
2013-8-31 9:00:00,27.6,,27.7,25.3,,0,,,355,0.3,197,0.8,198,2.8,,,,,,,,,,,
2013-8-31 8:00:00,25.4,,25.4,23.9,,0,,,274,0.8,299,0.6,164,2,,,,,,,,,,,
2013-8-31 7:00:00,23.9,,24.2,23.8,,0,,,274,0.8,302,0.4,277,2,,,,,,,,,,,
2013-8-31 6:00:00,23.9,,24.2,23.7,,0,,,192,0.6,201,0.3,133,1.5,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.7,24.2,,0,,,220,0.5,154,0.2,206,2.2,,,,,,,,,,,
2013-8-31 4:00:00,24.5,,25,24.5,,0,,,246,1.6,237,0.5,189,2.6,,,,,,,,,,,
2013-8-31 3:00:00,25,,25.1,25,,0,,,248,0.4,166,0.4,254,3.2,,,,,,,,,,,
2013-8-31 2:00:00,25.1,,25.1,24.8,,0,,,293,0.3,235,0.5,265,2.9,,,,,,,,,,,
2013-8-31 1:00:00,25.1,,25.5,25.1,,0,,,167,0.5,234,0.4,324,4.1,,,,,,,,,,,
2013-8-31 00:00:00,25.4,,25.7,25.4,,0,,,285,0.5,164,0.8,29,4.1,,,,,,,,,,,
2013-8-30 23:00:00,25.7,,26.1,25.7,,0,,,336,0.1,232,0.4,128,2.5,,,,,,,,,,,
2013-8-30 22:00:00,26.1,,26.3,26.1,,0,,,184,1.9,205,1.2,212,4.8,,,,,,,,,,,
2013-8-30 21:00:00,26.3,,27.1,26.3,,0,,,60,0.4,208,1.4,209,4,,,,,,,,,,,
