time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.7,,22.9,22.4,,0,,,18,1.8,7,1.9,26,4.2,,,,,,,,,,,
2013-9-1 00:00:00,22.5,,22.7,22.2,,0,,,302,0.8,340,1,108,4.6,,,,,,,,,,,
2013-8-31 23:00:00,22.4,,22.9,22.4,,0,,,32,1.6,17,1.5,293,4.9,,,,,,,,,,,
2013-8-31 22:00:00,22.7,,23.2,22.7,,0,,,338,1.4,348,1.7,344,5,,,,,,,,,,,
2013-8-31 21:00:00,23,,23.5,22.9,,0,,,12,3.1,27,1.9,26,6.1,,,,,,,,,,,
2013-8-31 20:00:00,23.5,,24.2,23.5,,0,,,23,1.9,13,1.9,23,6.8,,,,,,,,,,,
2013-8-31 19:00:00,24.2,,25,24.2,,0,,,347,1,20,1.7,29,5.7,,,,,,,,,,,
2013-8-31 18:00:00,25,,26.1,25,,0,,,330,3.1,359,2.5,29,6,,,,,,,,,,,
2013-8-31 17:00:00,25.9,,29.3,25.9,,0,,,203,1.1,349,1.7,330,7.7,,,,,,,,,,,
2013-8-31 16:00:00,29.4,,29.6,27.4,,0,,,285,2.9,311,2.6,347,6.5,,,,,,,,,,,
2013-8-31 15:00:00,29.3,,29.9,28.3,,0,,,18,4.5,336,1.4,333,6.7,,,,,,,,,,,
2013-8-31 14:00:00,29.6,,31,29.5,,0,,,15,1.8,332,2.4,336,6.1,,,,,,,,,,,
2013-8-31 13:00:00,30,,30.7,29.5,,0,,,336,2.2,333,2.3,333,7,,,,,,,,,,,
2013-8-31 12:00:00,29.9,,30,28.5,,0,,,336,1.6,310,3.9,293,7.1,,,,,,,,,,,
2013-8-31 11:00:00,28.6,,28.9,27.4,,0,,,347,1.6,303,1.8,330,4.6,,,,,,,,,,,
2013-8-31 10:00:00,27.4,,28.3,26.9,,0,,,251,0.4,299,1.7,291,5.1,,,,,,,,,,,
2013-8-31 9:00:00,27.2,,27.2,24.8,,0,,,299,2.1,318,1.8,341,5.2,,,,,,,,,,,
2013-8-31 8:00:00,24.9,,24.9,23,,0,,,282,1.8,309,2.3,299,4.7,,,,,,,,,,,
2013-8-31 7:00:00,23,,23.2,22.8,,0,,,285,1.7,313,0.7,338,3.3,,,,,,,,,,,
2013-8-31 6:00:00,22.9,,23.8,22.9,,0,,,344,0,0,0,344,4,,,,,,,,,,,
2013-8-31 5:00:00,23.8,,24.1,23.8,,0,,,285,0.8,323,0.5,338,4.3,,,,,,,,,,,
2013-8-31 4:00:00,24.1,,24.3,24,,0,,,254,0.5,349,0.7,341,5.5,,,,,,,,,,,
2013-8-31 3:00:00,24.3,,24.6,24.3,,0,,,18,1.3,19,1.9,330,6.1,,,,,,,,,,,
2013-8-31 2:00:00,24.5,,24.6,24.4,,0,,,344,1.9,354,1.7,336,5.7,,,,,,,,,,,
2013-8-31 1:00:00,24.6,,24.8,24.5,,0,,,251,2.3,359,0.9,330,5.7,,,,,,,,,,,
2013-8-31 00:00:00,24.8,,25.1,24.8,,0,,,15,1.1,343,1.9,347,7.3,,,,,,,,,,,
2013-8-30 23:00:00,25.1,,25.6,25.1,,0,,,344,3.6,359,2.3,341,8.8,,,,,,,,,,,
2013-8-30 22:00:00,25.5,,25.8,25.5,,0,,,257,0.4,346,2.4,23,7.1,,,,,,,,,,,
2013-8-30 21:00:00,25.7,,26.5,25.7,,0,,,293,4.1,10,2.5,15,7.7,,,,,,,,,,,
2013-8-30 20:00:00,26.5,,27.3,26.5,,0,,,344,3.3,356,3,18,11.5,,,,,,,,,,,
2013-8-30 19:00:00,27.3,,28.2,27.3,,0,,,293,0.9,355,2.8,60,9.6,,,,,,,,,,,
2013-8-30 18:00:00,28.2,,29.3,28.2,,0,,,18,5.7,344,3.2,29,7.7,,,,,,,,,,,
