time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,24,,24.1,23.8,,0,,,18,0.5,92,1.7,88,5.4,,,,,,,,,,,
2013-9-1 00:00:00,23.9,,24.1,23.9,,0,,,29,2.2,24,2.7,7,6,,,,,,,,,,,
2013-8-31 23:00:00,24.1,,24.3,24.1,,0,,,71,1.9,80,1.5,29,6.4,,,,,,,,,,,
2013-8-31 22:00:00,24.3,,24.5,24.3,,0,,,57,2,21,2.3,9,6.6,,,,,,,,,,,
2013-8-31 21:00:00,24.5,,24.8,24.5,,0,,,49,2.5,25,2.3,105,6.4,,,,,,,,,,,
2013-8-31 20:00:00,24.8,,25.3,24.8,,0,,,97,2.5,96,3.1,74,6.4,,,,,,,,,,,
2013-8-31 19:00:00,25.3,,25.7,25.3,,0,,,83,3.2,82,1.9,40,7.7,,,,,,,,,,,
2013-8-31 18:00:00,25.8,,26.9,25.8,,0,,,49,2,28,3.8,15,8.5,,,,,,,,,,,
2013-8-31 17:00:00,26.7,,27.8,26.7,,0,,,38,1.9,30,1.8,7,7.6,,,,,,,,,,,
2013-8-31 16:00:00,27.6,,27.9,27.4,,0,,,347,2.5,17,2,26,9,,,,,,,,,,,
2013-8-31 15:00:00,27.6,,28.6,27.5,,0,,,77,2.1,58,2.7,29,7.8,,,,,,,,,,,
2013-8-31 14:00:00,28.3,,29.1,27.7,,0,,,7,4.4,6,4.5,29,7.1,,,,,,,,,,,
2013-8-31 13:00:00,28.2,,28.8,28,,0,,,52,3.1,359,2.4,344,7.7,,,,,,,,,,,
2013-8-31 12:00:00,28.1,,28.6,27.4,,0,,,49,0.6,51,1.7,330,6.7,,,,,,,,,,,
2013-8-31 11:00:00,27.9,,28.1,26.6,,0,,,7,4.3,355,4.8,23,7.4,,,,,,,,,,,
2013-8-31 10:00:00,26.8,,27.5,26.1,,0,,,80,1.9,22,2.8,18,5.2,,,,,,,,,,,
2013-8-31 9:00:00,26.3,,26.8,25.5,,0,,,83,2.5,89,2.5,15,6.5,,,,,,,,,,,
2013-8-31 8:00:00,25.5,,25.5,25,,0,,,35,4,25,3,23,5.8,,,,,,,,,,,
2013-8-31 7:00:00,25,,25.2,24.8,,0,,,40,1.7,64,1,29,5.6,,,,,,,,,,,
2013-8-31 6:00:00,24.9,,24.9,24.7,,0,,,46,0,20,1.1,15,6,,,,,,,,,,,
2013-8-31 5:00:00,24.8,,24.9,24.8,,0,,,66,1.3,68,1.8,358,4.3,,,,,,,,,,,
2013-8-31 4:00:00,24.9,,25.2,24.9,,0,,,88,1.6,17,2.4,15,6.7,,,,,,,,,,,
2013-8-31 3:00:00,25.2,,25.5,25.2,,0,,,63,0.9,65,2,21,7.3,,,,,,,,,,,
2013-8-31 2:00:00,25.4,,25.5,25.3,,0,,,74,1.8,45,2.8,358,9.3,,,,,,,,,,,
