time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-8-26 10:00:00,27.3,24.3,27.3,26.5,1007.2,0,83,83,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 9:00:00,26.5,24,26.6,26.3,1007.1,0,86,85,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 8:00:00,26.2,23.7,26.3,25.7,1006.4,0,86,86,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 7:00:00,25.7,23.8,25.8,24.9,1006.3,0,89,89,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 6:00:00,24.9,23,24.9,24.7,1005.8,0,89,89,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 5:00:00,24.7,22.7,24.7,24.5,1005.7,0,89,87,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 4:00:00,24.6,22.4,24.8,24.5,1005.4,0,88,87,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 3:00:00,24.7,23,24.8,24.6,1005.5,0,90,90,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 2:00:00,24.8,23.4,24.9,24.7,1005.1,0,92,92,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 1:00:00,24.9,23.8,25.1,24.9,1005.4,0,94,94,299,0,299,0,299,0,,,,,,,,,,,
2013-8-26 00:00:00,25.1,24.1,25.3,25.1,1005.4,0,94,94,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 23:00:00,25.1,24.1,25.1,25,1006.1,0,94,94,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 22:00:00,25,24.1,25,24.9,1006.1,0.1,95,95,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 21:00:00,25,24.1,25,24.8,1006.3,0,95,95,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 20:00:00,24.8,24.1,24.9,24.7,1006.1,0,96,96,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 19:00:00,24.8,24.1,25,24.8,1005.7,0,96,96,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 18:00:00,25.1,24.4,26.1,25.1,1004.9,0.1,96,96,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 17:00:00,26.1,25.4,26.1,26,1004.4,0.3,96,95,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 16:00:00,26.1,25.3,26.2,25.6,1004.7,1.7,95,94,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 15:00:00,25.7,24.7,27,25.7,1005.2,5,94,93,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 14:00:00,26.4,25.2,27.7,26.2,1004.2,3,94,85,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 13:00:00,29.4,27.1,33.5,29.4,1004.4,0,87,65,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 12:00:00,32.4,26.5,33.7,32.4,1004.9,0,71,63,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 11:00:00,33.3,25.8,33.4,31.3,1005.3,0,65,65,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 10:00:00,31.3,26.8,32.4,30.7,1005.5,0,77,71,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 9:00:00,30.6,26.7,30.6,29.1,1005.8,0,79,79,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 8:00:00,29.1,26.1,29.1,27.7,1005.8,0,84,84,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 7:00:00,27.7,25.7,27.7,26.4,1005.7,0,89,89,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 6:00:00,26.4,25.4,26.4,26.2,1005.2,0,94,94,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 5:00:00,26.3,25.2,26.5,26.3,1005,0,94,93,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 4:00:00,26.5,25.3,26.7,26.5,1004.9,0,93,93,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 3:00:00,26.7,25.6,27,26.7,1005,0,93,93,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 2:00:00,27,25.8,27,26.9,1004.9,0,93,92,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 1:00:00,26.9,25.5,27.2,26.9,1004.8,0,92,91,299,0,299,0,299,0,,,,,,,,,,,
2013-8-25 00:00:00,27.2,25.5,27.3,27.2,1005.3,0,90,90,299,0,299,0,299,0,,,,,,,,,,,
2013-8-24 23:00:00,27.3,25.5,27.8,27.3,1005.8,0,90,89,299,0,299,0,299,0,,,,,,,,,,,
2013-8-24 22:00:00,27.7,25.7,28.2,27.7,1005.9,0,89,85,299,0,299,0,299,0,,,,,,,,,,,
2013-8-24 21:00:00,28.3,25.5,29.4,28.3,1005.5,0,85,84,299,0,299,0,299,0,,,,,,,,,,,
