time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,22.3,,22.3,22,,0,,,355,1.3,0,1.2,347,1.9,,,,,,,,,,,
2013-9-1 00:00:00,22,,22.5,21.6,,0,,,327,1.3,344,1.2,12,2.3,,,,,,,,,,,
2013-8-31 23:00:00,22.6,,23.5,22.6,,0,,,344,0.9,6,1,32,4.4,,,,,,,,,,,
2013-8-31 22:00:00,23.5,,24.2,23.5,,0,,,344,1.9,30,1.1,29,5.6,,,,,,,,,,,
2013-8-31 21:00:00,24.2,,24.9,24.2,,0,,,40,2.6,32,2.5,49,5.7,,,,,,,,,,,
2013-8-31 20:00:00,24.9,,25.7,24.9,,0,,,15,1.7,33,2.6,38,7,,,,,,,,,,,
2013-8-31 19:00:00,25.7,,26.8,25.7,,0,,,40,4.1,34,3.7,32,7.6,,,,,,,,,,,
2013-8-31 18:00:00,26.8,,27.7,26.8,,0,,,52,3.2,16,2.6,32,8.2,,,,,,,,,,,
2013-8-31 17:00:00,27.7,,28.9,27.7,,0,,,12,3.1,357,2.9,358,7.7,,,,,,,,,,,
2013-8-31 16:00:00,28.9,,29.4,28.8,,0,,,338,4.9,347,3.6,7,8.1,,,,,,,,,,,
2013-8-31 15:00:00,29.2,,30.3,28.8,,0,,,350,2,342,4.2,353,7.5,,,,,,,,,,,
2013-8-31 14:00:00,30.1,,30.1,28.3,,0,,,316,6.4,333,3.1,12,6.6,,,,,,,,,,,
2013-8-31 13:00:00,28.3,,29.3,28.3,,0,,,9,3.8,336,3.5,327,6.9,,,,,,,,,,,
2013-8-31 12:00:00,28.9,,29.2,27.8,,0,,,347,3.1,329,3.1,341,6.6,,,,,,,,,,,
2013-8-31 11:00:00,27.8,,27.8,26.6,,0,,,15,1.9,355,3.3,322,6.8,,,,,,,,,,,
2013-8-31 10:00:00,26.5,,26.5,25.5,,0,,,302,2.5,326,3.2,322,5.6,,,,,,,,,,,
2013-8-31 9:00:00,25.5,,25.5,24.4,,0,,,308,2.3,344,1.8,341,4.6,,,,,,,,,,,
