time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,19.8,,20.5,19.8,,0,,,344,0.8,342,0.6,336,1,,,,,,,,,,,
2013-9-1 00:00:00,20.5,,21,20.5,,0,,,353,0.6,349,0.7,29,1.5,,,,,,,,,,,
2013-8-31 23:00:00,21.1,,22.1,21.1,,0,,,7,0.8,10,0.8,7,3.2,,,,,,,,,,,
2013-8-31 22:00:00,22.1,,23.2,22.1,,0,,,15,1.3,19,1.2,40,5.2,,,,,,,,,,,
2013-8-31 21:00:00,23,,23.7,23,,0,,,4,2,23,2.6,29,5.8,,,,,,,,,,,
2013-8-31 20:00:00,23.7,,24.4,23.7,,0,,,29,2.2,20,2.5,35,6.8,,,,,,,,,,,
2013-8-31 19:00:00,24.4,,25.1,24.4,,0,,,21,3.1,31,2.9,54,8.1,,,,,,,,,,,
2013-8-31 18:00:00,25.1,,26.2,25.1,,0,,,7,2.5,25,2.1,7,8.3,,,,,,,,,,,
2013-8-31 17:00:00,26.1,,28.1,26.1,,0,,,18,4.5,44,4.3,46,9.4,,,,,,,,,,,
2013-8-31 16:00:00,28,,29.5,28,,0,,,60,3.5,49,4.3,60,9.4,,,,,,,,,,,
2013-8-31 15:00:00,28.8,,29.7,28.1,,0,,,52,2.7,29,2.6,15,8.9,,,,,,,,,,,
2013-8-31 14:00:00,28,,30.2,27.9,,0,,,85,1.2,11,2,46,7.1,,,,,,,,,,,
2013-8-31 13:00:00,29.7,,30.8,28.6,,0,,,38,2.7,58,2.5,52,6.2,,,,,,,,,,,
2013-8-31 12:00:00,29.5,,31.5,29.4,,0,,,347,1.6,356,1.9,38,4.8,,,,,,,,,,,
2013-8-31 11:00:00,30.6,,30.6,28.3,,0,,,302,1.4,357,2.1,9,5.2,,,,,,,,,,,
