time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,23,,23,22.7,,0,,,91,1.3,42,1.1,83,4.3,,,,,,,,,,,
2013-9-1 00:00:00,23,,23.1,22.5,,0,,,133,0.3,46,1.1,63,5.3,,,,,,,,,,,
2013-8-31 23:00:00,22.5,,23.7,22.5,,0,,,71,1.4,48,1.8,74,4.9,,,,,,,,,,,
2013-8-31 22:00:00,23.7,,23.9,23.4,,0,,,9,3.2,47,2.6,74,5.5,,,,,,,,,,,
2013-8-31 21:00:00,23.8,,24.5,23.8,,0,,,74,2.9,49,2.9,74,7.7,,,,,,,,,,,
2013-8-31 20:00:00,24.5,,25.2,24.5,,0,,,68,6.6,55,3.6,63,7.8,,,,,,,,,,,
2013-8-31 19:00:00,25.1,,26,25.1,,0,,,40,2.2,61,3.4,38,7.5,,,,,,,,,,,
2013-8-31 18:00:00,26,,26.8,26,,0,,,38,2.9,34,3.2,57,6.8,,,,,,,,,,,
2013-8-31 17:00:00,26.9,,28.5,26.9,,0,,,63,5.4,54,3.8,66,8.8,,,,,,,,,,,
2013-8-31 16:00:00,28.4,,29,28.1,,0,,,77,2.4,55,3.3,23,6.7,,,,,,,,,,,
2013-8-31 15:00:00,28.2,,29.8,28.2,,0,,,83,2.4,52,3.2,66,6.4,,,,,,,,,,,
2013-8-31 14:00:00,29.9,,31.4,29.2,,0,,,52,2.4,34,2.5,313,6.9,,,,,,,,,,,
2013-8-31 13:00:00,29.6,,30.7,29.6,,0,,,12,1.9,36,2.7,324,6.9,,,,,,,,,,,
2013-8-31 12:00:00,30.1,,30.3,29.1,,0,,,344,2.4,329,2.1,29,7.3,,,,,,,,,,,
2013-8-31 11:00:00,28.8,,29.2,27.4,,0,,,85,0.9,45,1,29,5.1,,,,,,,,,,,
2013-8-31 10:00:00,27.9,,28,26.2,,0,,,322,1.7,335,1.3,336,4.1,,,,,,,,,,,
2013-8-31 9:00:00,26.3,,26.3,25.4,,0,,,23,0.8,3,1.5,288,4.6,,,,,,,,,,,
2013-8-31 8:00:00,25.6,,26.1,25.6,,0,,,296,2.8,294,2.6,57,4.4,,,,,,,,,,,
2013-8-31 7:00:00,25.5,,25.6,24.3,,0,,,74,0.7,46,1.1,60,4.1,,,,,,,,,,,
2013-8-31 6:00:00,24.3,,24.3,24.1,,0,,,63,0.4,30,0.7,18,4,,,,,,,,,,,
2013-8-31 5:00:00,24.3,,24.7,24.2,,0,,,32,0.9,40,1.3,344,4.7,,,,,,,,,,,
2013-8-31 4:00:00,24.8,,25.1,24.8,,0,,,338,0.8,48,1.1,38,5.2,,,,,,,,,,,
2013-8-31 3:00:00,25.1,,25.3,25.1,,0,,,91,1.5,18,1.9,12,5.9,,,,,,,,,,,
2013-8-31 2:00:00,25.2,,25.4,25.2,,0,,,12,3.1,25,2.7,29,7.2,,,,,,,,,,,
2013-8-31 1:00:00,25.3,,25.6,25.3,,0,,,52,2,62,3.6,29,6.8,,,,,,,,,,,
2013-8-31 00:00:00,25.6,,26.1,25.5,,0,,,52,2.1,18,2.2,9,6.8,,,,,,,,,,,
2013-8-30 23:00:00,26.1,,26.3,26,,0,,,74,1.8,43,2.4,32,10.2,,,,,,,,,,,
2013-8-30 22:00:00,26.3,,26.9,26.3,,0,,,355,4.8,21,3.4,7,8.8,,,,,,,,,,,
2013-8-30 21:00:00,26.9,,27.8,26.9,,0,,,60,2.9,49,3,66,8,,,,,,,,,,,
2013-8-30 20:00:00,27.8,,28.7,27.8,,0,,,46,4.9,59,4.6,60,8.3,,,,,,,,,,,
2013-8-30 19:00:00,28.7,,29.4,28.7,,0,,,46,3.8,25,3.5,26,7.9,,,,,,,,,,,
2013-8-30 18:00:00,29.4,,30,29.4,,0,,,9,2,46,2.7,52,7.7,,,,,,,,,,,
2013-8-30 17:00:00,30,,31.2,30,,0,,,60,3,56,4.5,57,7.9,,,,,,,,,,,
2013-8-30 16:00:00,31.3,,32.2,31.3,,0,,,83,2,57,3.5,60,7.2,,,,,,,,,,,
2013-8-30 15:00:00,32,,32.4,31.8,,0,,,88,1.6,81,1.2,60,6.8,,,,,,,,,,,
2013-8-30 14:00:00,32.3,,33.4,32,,0,,,46,3.2,58,3.1,52,7.9,,,,,,,,,,,
2013-8-30 13:00:00,33.1,,33.4,31.3,,0,,,15,4.5,48,3.6,15,8.8,,,,,,,,,,,
2013-8-30 12:00:00,31.3,,31.3,30.6,,0,,,12,4.4,22,3.1,29,7.4,,,,,,,,,,,
2013-8-30 11:00:00,30.6,,31,30.6,,0,,,341,2.4,29,2.9,57,7.2,,,,,,,,,,,
2013-8-30 10:00:00,31,,31.8,30.7,,0,,,52,2.5,25,2.9,353,8,,,,,,,,,,,
2013-8-30 9:00:00,31.3,,31.3,29.5,,0,,,74,3.1,62,4.8,49,7.4,,,,,,,,,,,
2013-8-30 8:00:00,29.4,,29.4,27.8,,0,,,74,1.9,47,1.8,12,6.5,,,,,,,,,,,
2013-8-30 7:00:00,27.8,,28.1,27.8,,1.1,,,15,1.2,33,1.6,23,4.1,,,,,,,,,,,
2013-8-30 6:00:00,27.8,,27.8,27.5,,0.2,,,341,0,0,0,341,0,,,,,,,,,,,
2013-8-30 5:00:00,27.5,,27.7,27.3,,0,,,57,0,0,0,85,2.1,,,,,,,,,,,
2013-8-30 4:00:00,27.7,,28.1,27.6,,0,,,83,1.1,97,1.2,113,1.9,,,,,,,,,,,
2013-8-30 3:00:00,28.1,,28.4,28.1,,0,,,128,1.1,122,1,122,2.7,,,,,,,,,,,
2013-8-30 2:00:00,28.3,,28.4,28.3,,0,,,144,0.9,118,0.8,139,2.1,,,,,,,,,,,
2013-8-30 1:00:00,28.4,,28.4,28.1,,0,,,105,0,79,0,105,0,,,,,,,,,,,
2013-8-30 00:00:00,28.1,,28.5,28.1,,0,,,88,0,0,0,136,1.3,,,,,,,,,,,
2013-8-29 23:00:00,28.5,,28.9,28.5,,0,,,139,0.6,137,1,142,3.2,,,,,,,,,,,
2013-8-29 22:00:00,28.9,,29.1,28.6,,0,,,119,1.7,136,1.6,130,3.1,,,,,,,,,,,
2013-8-29 21:00:00,29,,29.1,28.5,,0,,,139,1,135,1.7,147,4.1,,,,,,,,,,,
2013-8-29 20:00:00,28.4,,28.4,28.2,,0,,,108,0.4,109,0.8,18,3.6,,,,,,,,,,,
2013-8-29 19:00:00,28.1,,29.1,28,,0.5,,,7,1.9,30,1.6,198,3.7,,,,,,,,,,,
2013-8-29 18:00:00,29.2,,31.3,29.2,,0.1,,,243,1.9,246,1.8,333,5.1,,,,,,,,,,,
2013-8-29 17:00:00,31.3,,34.1,31.3,,0,,,322,0.8,42,0.8,21,7.2,,,,,,,,,,,
2013-8-29 16:00:00,34.1,,36.6,34.1,,0,,,153,1.9,166,2.5,167,4.8,,,,,,,,,,,
2013-8-29 15:00:00,36.6,,37.2,35.8,,0,,,156,1.5,181,1.7,203,4.6,,,,,,,,,,,
2013-8-29 14:00:00,36.6,,36.8,35,,0,,,116,1.4,169,2.1,167,6.6,,,,,,,,,,,
2013-8-29 13:00:00,35.6,,35.7,34.5,,0,,,164,1.7,171,2.7,150,5.7,,,,,,,,,,,
2013-8-29 12:00:00,35.1,,35.5,34.4,,0,,,133,2.5,157,2.8,164,5.6,,,,,,,,,,,
2013-8-29 11:00:00,34.8,,34.8,34,,0,,,178,3.5,167,2.7,178,6,,,,,,,,,,,
2013-8-29 10:00:00,34.3,,34.7,33.2,,0,,,192,3.8,187,3,181,5.2,,,,,,,,,,,
2013-8-29 9:00:00,33.3,,33.4,32,,0,,,189,1.7,175,2.8,184,4.6,,,,,,,,,,,
2013-8-29 8:00:00,32,,32.1,29.9,,0,,,170,2.4,168,1.9,181,5.5,,,,,,,,,,,
2013-8-29 7:00:00,29.8,,29.8,28.1,,0,,,150,2.4,170,2.1,175,4.6,,,,,,,,,,,
2013-8-29 6:00:00,28.1,,28.1,27.9,,0,,,161,1.5,163,1,153,4.8,,,,,,,,,,,
2013-8-29 5:00:00,28.1,,28.3,28.1,,0,,,150,1.6,157,1.9,173,6,,,,,,,,,,,
2013-8-29 4:00:00,28.3,,28.6,28.3,,0,,,167,4,173,3.2,184,6,,,,,,,,,,,
2013-8-29 3:00:00,28.6,,28.6,28.5,,0,,,144,1.7,177,3.3,158,6.5,,,,,,,,,,,
2013-8-29 2:00:00,28.5,,28.8,28.5,,0,,,173,3.3,172,3.4,164,5.6,,,,,,,,,,,
2013-8-29 1:00:00,28.8,,28.9,28.7,,0,,,150,1.4,178,2.1,164,6.5,,,,,,,,,,,
2013-8-29 00:00:00,28.9,,28.9,28.7,,0,,,167,1.7,163,2.2,164,6.9,,,,,,,,,,,
2013-8-28 23:00:00,28.8,,28.8,28.7,,0,,,97,1.5,168,2.5,158,7.4,,,,,,,,,,,
2013-8-28 22:00:00,28.7,,29,28.7,,0,,,150,2.3,160,2.9,173,6.6,,,,,,,,,,,
2013-8-28 21:00:00,29.1,,29.3,29.1,,0,,,153,1.8,143,3,142,5.5,,,,,,,,,,,
2013-8-28 20:00:00,29.3,,29.9,29.3,,0,,,150,2.5,147,2.4,150,6.4,,,,,,,,,,,
2013-8-28 19:00:00,29.9,,30.9,29.9,,0,,,144,2.7,149,3.2,153,6.2,,,,,,,,,,,
2013-8-28 18:00:00,30.9,,32.6,30.9,,0,,,111,2,140,2.7,153,6.6,,,,,,,,,,,
2013-8-28 17:00:00,32.7,,34.1,32.6,,0,,,142,4.3,160,3.7,142,7.4,,,,,,,,,,,
2013-8-28 16:00:00,34.1,,35,34,,0,,,97,2.6,154,3.2,178,6.6,,,,,,,,,,,
2013-8-28 15:00:00,35,,35.7,34.7,,0,,,229,2.7,178,3.4,153,5.5,,,,,,,,,,,
2013-8-28 14:00:00,34.6,,35.2,34,,0.1,,,161,3.7,165,3.4,175,5.6,,,,,,,,,,,
2013-8-28 13:00:00,35.1,,35.1,33.7,,0,,,187,2.5,208,2.5,150,5.5,,,,,,,,,,,
2013-8-28 12:00:00,34.7,,34.7,33.2,,0,,,209,2.5,189,2,187,5.1,,,,,,,,,,,
2013-8-28 11:00:00,33.5,,33.5,31.2,,0,,,232,0.9,196,2.3,173,4.9,,,,,,,,,,,
2013-8-28 10:00:00,31.5,,31.7,30.6,,0,,,195,2.6,222,1.8,153,5.1,,,,,,,,,,,
2013-8-28 9:00:00,30.5,,30.5,29.3,,0,,,192,2.1,164,1.9,178,5.2,,,,,,,,,,,
2013-8-28 8:00:00,29.3,,29.3,26.9,,0,,,116,1.7,128,2.2,97,6,,,,,,,,,,,
2013-8-28 7:00:00,26.9,,26.9,26.3,,0,,,111,0.5,109,1.3,116,4.2,,,,,,,,,,,
2013-8-28 6:00:00,26.2,,26.2,26.2,,0,,,136,1.3,112,1.5,94,4,,,,,,,,,,,
2013-8-28 5:00:00,26.2,,26.2,26.1,,0,,,88,1.7,122,1.7,99,3.9,,,,,,,,,,,
2013-8-28 4:00:00,26.1,,26.2,26.1,,0,,,77,2,112,2.1,83,4.8,,,,,,,,,,,
2013-8-28 3:00:00,26.2,,26.5,26.2,,0,,,85,1.8,110,2.6,128,4.9,,,,,,,,,,,
2013-8-28 2:00:00,26.4,,26.4,26.4,,0,,,108,3.8,107,2.3,122,4.5,,,,,,,,,,,
2013-8-28 1:00:00,26.4,,26.4,26.2,,0,,,108,1.9,103,2.1,74,3.9,,,,,,,,,,,
2013-8-28 00:00:00,26.2,,26.3,26.2,,0,,,122,1.5,105,1.8,108,4.6,,,,,,,,,,,
2013-8-27 23:00:00,26.2,,26.4,26.2,,0,,,94,2.5,106,1.8,74,3.9,,,,,,,,,,,
2013-8-27 22:00:00,26.4,,26.8,26.4,,0,,,108,1.9,113,1.3,85,4.9,,,,,,,,,,,
2013-8-27 21:00:00,26.8,,26.9,26.8,,0,,,108,1.6,108,2.3,128,4.6,,,,,,,,,,,
2013-8-27 20:00:00,26.9,,27.3,26.9,,0,,,119,2.4,113,2,91,4.5,,,,,,,,,,,
2013-8-27 19:00:00,27.3,,28,27.3,,0,,,77,3.7,111,3,105,5.8,,,,,,,,,,,
2013-8-27 18:00:00,28.1,,29.1,28.1,,0,,,99,2.6,133,3.8,130,6.9,,,,,,,,,,,
2013-8-27 17:00:00,29.1,,29.8,29.1,,0,,,128,2.9,130,2.4,94,6.1,,,,,,,,,,,
2013-8-27 16:00:00,29.2,,30.3,29,,0,,,125,2.1,129,3.1,113,6.3,,,,,,,,,,,
2013-8-27 15:00:00,29.6,,29.7,29,,0,,,91,2.7,102,2.9,130,6.2,,,,,,,,,,,
2013-8-27 14:00:00,28.9,,29.2,28.4,,0,,,128,1.9,110,2.2,144,6.4,,,,,,,,,,,
2013-8-27 13:00:00,29.3,,30.6,29.3,,0,,,119,3.2,104,2.8,91,7.6,,,,,,,,,,,
2013-8-27 12:00:00,30.7,,30.9,29,,0.1,,,130,2.9,119,4.1,153,8,,,,,,,,,,,
2013-8-27 11:00:00,30.2,,31.2,29.6,,0,,,105,4.6,129,4.4,136,6.3,,,,,,,,,,,
2013-8-27 10:00:00,29.5,,29.5,28.2,,0,,,46,2.5,89,1.8,136,4.7,,,,,,,,,,,
2013-8-27 9:00:00,28.3,,28.6,27.2,,0,,,57,2.3,104,2.7,97,4.6,,,,,,,,,,,
2013-8-27 8:00:00,27.2,,27.2,26.5,,0,,,102,3.3,89,2.8,91,5.2,,,,,,,,,,,
2013-8-27 7:00:00,26.6,,26.6,25.5,,0,,,32,1.6,91,2.6,105,4.1,,,,,,,,,,,
2013-8-27 6:00:00,25.5,,25.5,25.3,,0,,,102,1.5,101,1.1,85,3.3,,,,,,,,,,,
2013-8-27 5:00:00,25.4,,25.4,25.3,,0,,,77,1.3,84,1,71,3.2,,,,,,,,,,,
2013-8-27 4:00:00,25.3,,25.3,25.1,,0,,,46,1,72,0.8,46,2.1,,,,,,,,,,,
2013-8-27 3:00:00,25.1,,25.1,24.9,,0,,,32,0.4,84,0.9,108,2.6,,,,,,,,,,,
2013-8-27 2:00:00,25,,25,24.2,,0,,,71,0.5,86,1.2,77,2.7,,,,,,,,,,,
2013-8-27 1:00:00,24.2,,24.2,23.2,,0,,,102,0.9,73,1.3,68,2.2,,,,,,,,,,,
2013-8-27 00:00:00,23.2,,23.6,23.1,,0,,,102,0,0,0,74,1.1,,,,,,,,,,,
2013-8-26 23:00:00,23.6,,24.3,23.6,,0,,,83,0.6,81,0.7,105,1.3,,,,,,,,,,,
2013-8-26 22:00:00,24.4,,25,24.4,,0,,,83,0,0,0,71,1.8,,,,,,,,,,,
2013-8-26 21:00:00,25,,25.4,25,,0,,,63,0.6,83,0.7,119,2.7,,,,,,,,,,,
2013-8-26 20:00:00,25.4,,25.5,25.2,,0,,,94,2,101,1.1,94,2.7,,,,,,,,,,,
2013-8-26 19:00:00,25.4,,26.5,25.4,,0,,,85,0.7,110,0.8,97,2.7,,,,,,,,,,,
2013-8-26 18:00:00,26.5,,27,26.5,,0,,,94,1.3,107,0.8,57,3.2,,,,,,,,,,,
2013-8-26 17:00:00,27,,27.1,26.7,,0,,,57,2.2,82,2.4,66,4.2,,,,,,,,,,,
2013-8-26 16:00:00,26.7,,26.7,26.3,,0,,,108,1.5,123,1.3,102,3.5,,,,,,,,,,,
2013-8-26 15:00:00,26.3,,26.3,26,,0.1,,,94,1.6,112,0.8,83,3.2,,,,,,,,,,,
2013-8-26 14:00:00,26.1,,26.1,25.7,,0.5,,,105,1.3,108,1,130,2.8,,,,,,,,,,,
2013-8-26 13:00:00,25.7,,26.6,25.7,,0.4,,,80,1.8,91,2,49,4.7,,,,,,,,,,,
2013-8-26 12:00:00,26.6,,27.2,26.6,,0,,,38,3.2,51,2.9,85,6.4,,,,,,,,,,,
2013-8-26 11:00:00,27.2,,27.3,26.1,,0,,,18,1.5,51,1.2,85,5,,,,,,,,,,,
2013-8-26 10:00:00,26.1,,26.2,25.5,,0,,,57,2.1,61,1.7,74,3.9,,,,,,,,,,,
2013-8-26 9:00:00,25.5,,25.9,25.5,,0.9,,,63,1.3,74,1.3,38,3.1,,,,,,,,,,,
2013-8-26 8:00:00,25.9,,26.6,25.9,,0.6,,,66,0.8,57,1.7,54,3.8,,,,,,,,,,,
2013-8-26 7:00:00,26.6,,26.9,26.6,,0.1,,,57,2.3,36,1.1,74,3.3,,,,,,,,,,,
2013-8-26 6:00:00,26.9,,26.9,26.8,,0,,,66,1.9,65,1.5,74,2.5,,,,,,,,,,,
2013-8-26 5:00:00,26.9,,26.9,26.8,,0,,,88,2.1,108,1.4,105,2.8,,,,,,,,,,,
2013-8-26 4:00:00,26.8,,27,26.8,,0,,,130,0.8,98,0.7,83,1.9,,,,,,,,,,,
2013-8-26 3:00:00,27,,27.7,27,,0,,,133,0.3,87,0.2,116,2.2,,,,,,,,,,,
2013-8-26 2:00:00,27.7,,27.9,27.5,,0,,,77,0,0,0,77,0,,,,,,,,,,,
2013-8-26 1:00:00,27.5,,27.7,27.4,,0,,,313,0,0,0,316,1.1,,,,,,,,,,,
2013-8-26 00:00:00,27.7,,27.8,27.3,,0,,,18,0.2,349,0.7,336,2.3,,,,,,,,,,,
2013-8-25 23:00:00,27.4,,27.4,27,,0,,,128,0,0,0,232,2.4,,,,,,,,,,,
2013-8-25 22:00:00,27,,27,27,,0,,,215,0.8,232,0.5,220,2.3,,,,,,,,,,,
2013-8-25 21:00:00,27,,27,26.9,,0,,,209,2.2,209,1.6,212,2.7,,,,,,,,,,,
2013-8-25 20:00:00,26.9,,27.1,26.9,,0,,,139,1.8,134,1.2,128,2.8,,,,,,,,,,,
2013-8-25 19:00:00,27.1,,27.5,27.1,,0,,,142,1.9,144,1.6,97,2.5,,,,,,,,,,,
2013-8-25 18:00:00,27.5,,28.2,27.5,,0,,,102,1.8,97,1.9,142,4,,,,,,,,,,,
2013-8-25 17:00:00,28.2,,28.2,28,,0,,,40,0.8,11,0.4,29,4.1,,,,,,,,,,,
2013-8-25 16:00:00,27.9,,28.3,27.8,,0,,,52,1.9,42,2.1,18,7.4,,,,,,,,,,,
2013-8-25 15:00:00,28.3,,35.9,28.3,,4.5,,,336,3.6,358,2.7,308,9.2,,,,,,,,,,,
2013-8-25 14:00:00,35.9,,36.8,35.4,,0,,,355,2.6,319,3.1,285,8.4,,,,,,,,,,,
2013-8-25 13:00:00,35.2,,36.5,35.2,,0,,,260,4.3,281,3.1,338,7,,,,,,,,,,,
2013-8-25 12:00:00,36,,36,34.8,,0,,,327,3.3,277,3.7,299,7,,,,,,,,,,,
2013-8-25 11:00:00,35.2,,35.2,34.2,,0,,,271,1.3,331,2.3,310,6.9,,,,,,,,,,,
2013-8-25 10:00:00,34.2,,34.6,32.6,,0,,,271,1.4,296,2.7,293,6.3,,,,,,,,,,,
2013-8-25 9:00:00,32.6,,32.6,30.2,,0,,,271,3.8,281,3.4,327,5.4,,,,,,,,,,,
2013-8-25 8:00:00,30.1,,30.1,28.7,,0,,,313,1.8,322,2,327,3.5,,,,,,,,,,,
2013-8-25 7:00:00,28.7,,28.8,27.8,,0,,,319,2.2,307,1.6,277,3.7,,,,,,,,,,,
2013-8-25 6:00:00,27.8,,27.9,27.8,,0,,,293,0.3,255,0.5,319,2.8,,,,,,,,,,,
2013-8-25 5:00:00,27.8,,28,27.7,,0,,,274,1.3,279,1.3,277,2.5,,,,,,,,,,,
2013-8-25 4:00:00,28,,28.1,27.9,,0,,,282,1.3,286,1.6,302,3.2,,,,,,,,,,,
2013-8-25 3:00:00,28.1,,28.2,28.1,,0,,,302,1.1,288,1.7,296,3.7,,,,,,,,,,,
2013-8-25 2:00:00,28.2,,28.4,28.2,,0,,,274,0.8,286,0.8,299,3.9,,,,,,,,,,,
2013-8-25 1:00:00,28.5,,29,28.5,,0,,,285,1.8,281,1.7,299,3.8,,,,,,,,,,,
2013-8-25 00:00:00,29,,29.5,29,,0,,,299,1.6,306,1.5,277,4.5,,,,,,,,,,,
2013-8-24 23:00:00,29.6,,29.9,29.6,,0,,,327,1.3,288,2,285,3.9,,,,,,,,,,,
2013-8-24 22:00:00,29.9,,30.2,29.9,,0,,,293,1.8,290,1.2,293,2.5,,,,,,,,,,,
2013-8-24 21:00:00,30.2,,31.1,30.2,,0,,,263,0.5,0,0,336,3.9,,,,,,,,,,,
2013-8-24 20:00:00,30.9,,31.5,30.9,,0,,,274,0,0,0,178,3.9,,,,,,,,,,,
2013-8-24 19:00:00,31.5,,32.5,31.5,,0,,,277,1.9,233,2,226,6,,,,,,,,,,,
2013-8-24 18:00:00,32.5,,34.6,32.5,,0,,,173,3,174,3.3,178,6.9,,,,,,,,,,,
2013-8-24 17:00:00,34.6,,35.2,34.6,,0,,,203,4.3,191,3.6,184,6.7,,,,,,,,,,,
2013-8-24 16:00:00,35.1,,36.8,35.1,,0,,,187,2.1,172,3.6,178,8.5,,,,,,,,,,,
2013-8-24 15:00:00,36.8,,37,36.2,,0,,,195,3,199,2.2,175,7.9,,,,,,,,,,,
2013-8-24 14:00:00,36.6,,36.6,35.6,,0,,,187,1.4,208,3.1,167,5.9,,,,,,,,,,,
2013-8-24 13:00:00,36.2,,36.2,35.3,,0,,,184,0.9,219,2.1,246,6.4,,,,,,,,,,,
2013-8-24 12:00:00,35.4,,35.8,34.6,,0,,,240,1,258,2.4,164,7.7,,,,,,,,,,,
2013-8-24 11:00:00,34.8,,34.9,33.3,,0,,,243,2.3,196,3.6,201,9.2,,,,,,,,,,,
2013-8-24 10:00:00,33.6,,33.6,32.6,,0,,,80,1.9,200,3.3,170,7.8,,,,,,,,,,,
2013-8-24 9:00:00,32.6,,32.6,31,,0,,,173,2.8,183,3.1,153,8.7,,,,,,,,,,,
2013-8-24 8:00:00,31,,31,29.8,,0,,,184,4.9,174,4.3,195,10.1,,,,,,,,,,,
2013-8-24 7:00:00,29.9,,30,28.3,,0,,,195,4.4,179,5.9,173,9,,,,,,,,,,,
2013-8-24 6:00:00,28.3,,28.3,27.9,,0,,,164,4.7,161,4.6,187,7.1,,,,,,,,,,,
2013-8-24 5:00:00,28,,28.2,27.9,,0,,,158,3.5,165,3.6,161,6.2,,,,,,,,,,,
2013-8-24 4:00:00,28.1,,28.2,28,,0,,,150,4,170,3.8,181,7.9,,,,,,,,,,,
2013-8-24 3:00:00,28.2,,28.4,28.1,,0,,,175,2.2,156,2.1,195,7.2,,,,,,,,,,,
2013-8-24 2:00:00,28.4,,28.6,28.4,,0,,,161,4.8,163,4.2,139,8.3,,,,,,,,,,,
2013-8-24 1:00:00,28.6,,28.8,28.5,,0,,,175,5.8,160,4.6,150,9,,,,,,,,,,,
2013-8-24 00:00:00,28.6,,28.8,28.6,,0,,,156,1.6,158,2,170,8.6,,,,,,,,,,,
2013-8-23 23:00:00,28.7,,29,28.7,,0,,,167,3,157,3,175,7.9,,,,,,,,,,,
2013-8-23 22:00:00,29,,29.1,29,,0,,,161,2.9,140,4.2,147,7.8,,,,,,,,,,,
2013-8-23 21:00:00,29.1,,29.5,29,,0,,,164,4,148,3.8,133,7.9,,,,,,,,,,,
2013-8-23 20:00:00,29.5,,29.8,29.5,,0,,,156,5.2,153,4.8,122,8.8,,,,,,,,,,,
2013-8-23 19:00:00,29.7,,30.3,29.7,,0,,,119,4.9,140,4.6,164,8.6,,,,,,,,,,,
2013-8-23 18:00:00,30.3,,31.4,30.3,,0,,,173,3.9,142,3.8,164,10.1,,,,,,,,,,,
2013-8-23 17:00:00,31.4,,32.2,31.4,,0,,,164,4.2,151,4.8,136,9.1,,,,,,,,,,,
2013-8-23 16:00:00,32.1,,34.3,32.1,,0,,,130,5.2,134,3.7,108,9.7,,,,,,,,,,,
2013-8-23 15:00:00,34.3,,34.3,33.7,,0,,,113,6.4,147,4.5,142,9.9,,,,,,,,,,,
2013-8-23 14:00:00,34,,34.1,32.4,,0,,,206,4.2,148,5,147,10.7,,,,,,,,,,,
2013-8-23 13:00:00,32.5,,34.3,32.5,,0,,,184,7.8,168,6,167,12.3,,,,,,,,,,,
2013-8-23 12:00:00,33.4,,33.4,32.4,,0,,,164,5.5,159,4.8,142,11.4,,,,,,,,,,,
2013-8-23 11:00:00,33.2,,33.6,32.2,,0,,,128,4.3,150,6,130,12.6,,,,,,,,,,,
2013-8-23 10:00:00,32.2,,33,31.4,,0,,,142,5.3,133,5.8,175,10.7,,,,,,,,,,,
2013-8-23 9:00:00,31.4,,31.5,29.8,,0,,,119,5.2,145,4,144,10.1,,,,,,,,,,,
2013-8-23 8:00:00,29.8,,30.3,29.7,,0,,,164,6.7,155,4.9,164,9.7,,,,,,,,,,,
2013-8-23 7:00:00,29.8,,29.8,28.2,,0,,,133,4.2,143,6.8,130,10.1,,,,,,,,,,,
2013-8-23 6:00:00,28.1,,28.2,27.8,,0,,,125,3.9,129,3.8,150,6.6,,,,,,,,,,,
2013-8-23 5:00:00,27.9,,27.9,27.5,,0,,,133,1.3,130,2.1,147,5,,,,,,,,,,,
2013-8-23 4:00:00,27.6,,27.6,27.1,,0,,,139,2.8,134,2.8,119,5.7,,,,,,,,,,,
