time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,18.5,18.5,19.4,18.5,,0,100,96,9,1.6,8,1.7,355,2.6,,,,,,,,,,,
2013-9-1 00:00:00,19.5,18.8,20.1,19.4,,0,96,93,353,1.6,0,2.1,15,3.3,,,,,,,,,,,
2013-8-31 23:00:00,20.1,19,20.1,19.9,,0,93,93,9,2.2,6,2.2,4,3.1,,,,,,,,,,,
2013-8-31 22:00:00,19.9,18.9,20.6,19.9,,0,94,86,7,2.5,8,2.4,15,3.1,,,,,,,,,,,
2013-8-31 21:00:00,20.6,18.1,21.6,20.6,,0,85,78,40,2,30,1.7,38,3.2,,,,,,,,,,,
2013-8-31 20:00:00,21.7,17.7,22.9,21.7,,0,78,70,21,3.2,31,2.4,43,4.8,,,,,,,,,,,
2013-8-31 19:00:00,22.9,17.2,24.1,22.9,,0,70,62,35,2.8,41,2.7,32,6.5,,,,,,,,,,,
2013-8-31 18:00:00,24.2,16.5,25.6,24.2,,0,62,56,23,3.8,34,4.5,18,8.5,,,,,,,,,,,
2013-8-31 17:00:00,25.6,16.3,26.7,25.4,,0,56,55,9,5.5,25,5.2,9,9.8,,,,,,,,,,,
2013-8-31 16:00:00,26.7,17.3,27.4,26.2,,0,56,53,9,8.5,9,6.5,38,10.2,,,,,,,,,,,
2013-8-31 15:00:00,27,17.2,27.6,26.4,,0,55,49,26,5.9,25,5.5,29,11.2,,,,,,,,,,,
2013-8-31 14:00:00,26.8,17.5,28,26.6,,0,57,52,35,6.1,29,5,29,10,,,,,,,,,,,
2013-8-31 13:00:00,27.5,18.9,28.2,26.4,,0,59,54,358,8,14,4.7,23,9.7,,,,,,,,,,,
2013-8-31 12:00:00,27.8,19,28.2,26.5,,0,59,56,15,3.6,13,4.1,347,9.6,,,,,,,,,,,
2013-8-31 11:00:00,28.1,19.6,28.1,26.3,,0,60,60,344,5,5,5,9,8.2,,,,,,,,,,,
2013-8-31 10:00:00,26.8,21.1,27.2,25.8,,0,71,66,344,3.1,3,3.4,310,7.1,,,,,,,,,,,
2013-8-31 9:00:00,26,20.9,26.1,23.9,,0,74,72,43,3.4,4,3.4,353,6.7,,,,,,,,,,,
2013-8-31 8:00:00,23.8,21.8,23.9,22,,0,88,88,12,2.1,348,2.5,341,5.6,,,,,,,,,,,
2013-8-31 7:00:00,22,22,22,21.1,,0,100,100,336,3.7,332,3.3,344,4.4,,,,,,,,,,,
2013-8-31 6:00:00,21.1,21.1,21.1,20.9,,0,100,100,310,0.7,334,1.9,341,3.5,,,,,,,,,,,
2013-8-31 5:00:00,21.1,21.1,21.2,21.1,,0,100,100,327,2,329,2.4,336,4.2,,,,,,,,,,,
2013-8-31 4:00:00,21.1,21.1,21.3,21,,0,100,100,327,2,328,2.2,316,3.5,,,,,,,,,,,
2013-8-31 3:00:00,21.3,21.3,21.6,21.2,,0,100,100,296,0,0,0,350,1.9,,,,,,,,,,,
2013-8-31 2:00:00,21.7,21.6,22.2,21.6,,0,100,99,330,0.8,349,0.3,353,2.8,,,,,,,,,,,
2013-8-31 1:00:00,22.3,22.1,22.9,22.3,,0,99,95,358,1.9,346,1.9,1,3.5,,,,,,,,,,,
2013-8-31 00:00:00,22.9,22.1,23.6,22.9,,0,95,91,355,1.1,5,2,353,4.8,,,,,,,,,,,
2013-8-30 23:00:00,23.6,21.9,24.1,23.6,,0,91,89,7,2,14,2.4,15,7.1,,,,,,,,,,,
2013-8-30 22:00:00,24.1,22.4,24.6,24.1,,0,90,90,1,3.4,13,4.2,23,6.6,,,,,,,,,,,
2013-8-30 21:00:00,24.6,23,25.1,24.6,,0,91,90,18,2.6,19,2.7,43,7.9,,,,,,,,,,,
2013-8-30 20:00:00,25.1,23.4,26.2,25.1,,0,90,89,35,6.3,30,5.4,26,11.2,,,,,,,,,,,
2013-8-30 19:00:00,26.2,24.7,27.1,26.2,,0,91,91,35,5.8,28,6,18,11.2,,,,,,,,,,,
2013-8-30 18:00:00,27.1,25.7,28.2,27.1,,0,92,87,38,9.2,29,8.5,38,11.5,,,,,,,,,,,
2013-8-30 17:00:00,28.2,26,29.8,28.2,,0,87,75,23,6.7,35,6.4,29,10.7,,,,,,,,,,,
2013-8-30 16:00:00,29.8,25,30,29.4,,0,75,75,49,4.9,45,5.3,35,9.7,,,,,,,,,,,
